model,condition,candidate_top_n,weight_name,baseline_avg_recall,baseline_avg_violation,safe_max_beta_over_weight_strict_all_k,safe_max_beta_over_weight_avg_recall,tradeoff_start_beta_over_weight_strict_all_k,tradeoff_start_beta_over_weight_avg_recall,min_avg_violation_ratio_any,best_safe_strict_method,best_safe_strict_avg_recall,best_safe_strict_avg_violation,best_safe_avg_method,best_safe_avg_avg_recall,best_safe_avg_avg_violation
text-embedding-3-small,baseline - q_trap,10,alpha,0.946,0.88225,0.133333,0.333333,0.15,0.375,0.0779258,score_anti_rrf_no_target_c10_a0.75_b0.1,0.947,0.84025,score_anti_rrf_no_target_c10_a1.5_b0.5,0.94625,0.755
text-embedding-3-small,baseline - q_trap,20,alpha,0.946,0.88225,0.1,0.266667,0.133333,0.3,0.0331539,score_anti_rrf_no_target_c20_a1_b0.1,0.9465,0.84775,score_anti_rrf_no_target_c20_a0.75_b0.2,0.94625,0.7745
text-embedding-3-small,baseline - q_trap,5,alpha,0.946,0.88225,,0.266667,,0.3,0.778691,,,,score_anti_rrf_no_target_c5_a0.75_b0.2,0.946,0.8545
text-embedding-3-small,baseline - q_trap,all,alpha,0.946,0.88225,0.133333,0.25,0.0666667,0.2,0.00765089,score_anti_rrf_no_target_call_a0.75_b0.1,0.94775,0.78125,score_anti_rrf_no_target_call_a2_b0.5,0.94625,0.63475
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,10,alpha,0.94575,0.7415,,,0.05,0.05,0.059002,,,,,,
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,20,alpha,0.94575,0.7415,0.05,0.0666667,0.0666667,0.1,0.0279838,score_anti_rrf_no_target_c20_a2_b0.1,0.946,0.71475,score_anti_rrf_no_target_c20_a1.5_b0.1,0.94575,0.70625
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,5,alpha,0.94575,0.7415,,0.0666667,,0.1,0.786581,,,,score_anti_rrf_no_target_c5_a1.5_b0.1,0.94575,0.734
Qwen/Qwen3-Embedding-0.6B,baseline - q_trap,all,alpha,0.94575,0.7415,0.0666667,0.0666667,0.05,0.1,0,score_anti_rrf_no_target_call_a1.5_b0.1,0.9465,0.663,score_anti_rrf_no_target_call_a1.5_b0.1,0.9465,0.663
Qwen/Qwen3-Embedding-4B,baseline - q_trap,10,alpha,0.94525,0.75175,,0.2,0.05,0.25,0.0585301,,,,score_anti_rrf_no_target_c10_a0.5_b0.1,0.94625,0.6455
Qwen/Qwen3-Embedding-4B,baseline - q_trap,20,alpha,0.94525,0.75175,,0.2,0.05,0.25,0.023279,,,,score_anti_rrf_no_target_c20_a0.5_b0.1,0.94525,0.63275
Qwen/Qwen3-Embedding-4B,baseline - q_trap,5,alpha,0.94525,0.75175,,0.25,,0.05,0.780845,,,,score_anti_rrf_no_target_c5_a2_b0.5,0.9455,0.7175
Qwen/Qwen3-Embedding-4B,baseline - q_trap,all,alpha,0.94525,0.75175,,0.1,0.05,0.133333,0,,,,score_anti_rrf_no_target_call_a1_b0.1,0.9455,0.65325
text-embedding-3-small,q_target - q_trap,10,gamma,0.946,0.88225,,,0.05,0.05,0.0677246,,,,,,
text-embedding-3-small,q_target - q_trap,20,gamma,0.946,0.88225,,,0.05,0.05,0.0283366,,,,,,
text-embedding-3-small,q_target - q_trap,5,gamma,0.946,0.88225,,,,0.05,0.778691,,,,,,
text-embedding-3-small,q_target - q_trap,all,gamma,0.946,0.88225,,,0.05,0.05,0.00765089,,,,,,
Qwen/Qwen3-Embedding-0.6B,q_target - q_trap,10,gamma,0.94575,0.7415,,,0.05,0.05,0.054619,,,,,,
Qwen/Qwen3-Embedding-0.6B,q_target - q_trap,20,gamma,0.94575,0.7415,,,0.05,0.05,0.0252866,,,,,,
Qwen/Qwen3-Embedding-0.6B,q_target - q_trap,5,gamma,0.94575,0.7415,,,,0.05,0.786581,,,,,,
Qwen/Qwen3-Embedding-0.6B,q_target - q_trap,all,gamma,0.94575,0.7415,,,0.05,0.05,0,,,,,,
Qwen/Qwen3-Embedding-4B,q_target - q_trap,10,gamma,0.94525,0.75175,,,0.05,0.05,0.0545394,,,,,,
Qwen/Qwen3-Embedding-4B,q_target - q_trap,20,gamma,0.94525,0.75175,,,0.05,0.05,0.0199534,,,,,,
Qwen/Qwen3-Embedding-4B,q_target - q_trap,5,gamma,0.94525,0.75175,,,,0.05,0.779514,,,,,,
Qwen/Qwen3-Embedding-4B,q_target - q_trap,all,gamma,0.94525,0.75175,,,0.05,0.05,0,,,,,,
