embedding_model	condition	candidate_top_n	alpha	beta_before	beta_after	avg_violation_before	avg_violation_after	avg_violation_drop	relative_violation_drop	avg_recall_before	avg_recall_after	avg_recall_delta	recall@3_before	recall@3_after	violation@3_before	violation@3_after	recall@9_before	recall@9_after	violation@9_before	violation@9_after
text-embedding-3-small	baseline - q_trap	all	0.25	0.1	0.2	0.418	0.0575	0.3605	0.86244	0.94075	0.87975	-0.061	0.93	0.864	0.322	0.049	0.95	0.894	0.482	0.063
text-embedding-3-small	baseline - q_trap	20	0.5	0.3	0.5	0.5675	0.23	0.3375	0.594714	0.9415	0.92375	-0.01775	0.926	0.908	0.477	0.097	0.95	0.939	0.641	0.356
text-embedding-3-small	baseline - q_trap	20	0.25	0.2	0.3	0.41525	0.088	0.32725	0.788079	0.93625	0.90175	-0.0345	0.923	0.886	0.304	0.048	0.948	0.918	0.498	0.137
text-embedding-3-small	baseline - q_trap	all	0.75	0.3	0.5	0.418	0.1065	0.3115	0.745215	0.94075	0.913	-0.02775	0.93	0.898	0.322	0.082	0.95	0.923	0.482	0.123
text-embedding-3-small	baseline - q_trap	all	1	0.3	0.5	0.567	0.25925	0.30775	0.542769	0.945	0.932	-0.013	0.933	0.92	0.492	0.193	0.951	0.942	0.625	0.307
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.25	0.1	0.2	0.34175	0.0445	0.29725	0.869788	0.93725	0.89075	-0.0465	0.928	0.873	0.286	0.04	0.946	0.902	0.382	0.049
text-embedding-3-small	baseline - q_trap	20	0.75	0.5	0.75	0.5185	0.23	0.2885	0.556413	0.93925	0.92375	-0.0155	0.926	0.908	0.422	0.097	0.947	0.939	0.596	0.356
text-embedding-3-small	baseline - q_trap	all	0.5	0.1	0.2	0.70025	0.418	0.28225	0.40307	0.94525	0.94075	-0.0045	0.931	0.93	0.617	0.322	0.953	0.95	0.756	0.482
text-embedding-3-small	baseline - q_trap	all	0.5	0.2	0.3	0.418	0.144	0.274	0.655502	0.94075	0.92225	-0.0185	0.93	0.914	0.322	0.109	0.95	0.93	0.482	0.175
text-embedding-3-small	baseline - q_trap	20	0.25	0.1	0.2	0.68775	0.41525	0.2725	0.39622	0.94475	0.93625	-0.0085	0.931	0.923	0.614	0.304	0.954	0.948	0.744	0.498
text-embedding-3-small	baseline - q_trap	10	0.25	0.2	0.3	0.505	0.236	0.269	0.532673	0.941	0.917	-0.024	0.923	0.888	0.355	0.062	0.956	0.943	0.668	0.483
text-embedding-3-small	baseline - q_trap	all	1.5	0.5	0.75	0.52075	0.25925	0.2615	0.50216	0.94475	0.932	-0.01275	0.932	0.92	0.434	0.193	0.952	0.942	0.581	0.307
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.25	0.1	0.2	0.29775	0.0395	0.25825	0.867338	0.93575	0.866	-0.06975	0.923	0.843	0.241	0.036	0.945	0.884	0.342	0.045
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.25	0.2	0.3	0.3295	0.0725	0.257	0.77997	0.936	0.894	-0.042	0.922	0.849	0.264	0.043	0.945	0.925	0.38	0.109
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.25	0.2	0.3	0.314	0.06575	0.24825	0.790605	0.93425	0.887	-0.04725	0.927	0.859	0.247	0.036	0.942	0.915	0.364	0.093
Qwen/Qwen3-Embedding-4B	baseline - q_trap	all	0.75	0.3	0.5	0.34175	0.09425	0.2475	0.724214	0.93725	0.9165	-0.02075	0.928	0.907	0.286	0.07	0.946	0.927	0.382	0.115
text-embedding-3-small	baseline - q_trap	10	0.5	0.3	0.5	0.619	0.37425	0.24475	0.395396	0.94475	0.93175	-0.013	0.928	0.905	0.5	0.163	0.957	0.953	0.74	0.585
Qwen/Qwen3-Embedding-4B	baseline - q_trap	20	0.5	0.3	0.5	0.4135	0.17875	0.23475	0.567715	0.93725	0.9195	-0.01775	0.927	0.892	0.359	0.075	0.946	0.939	0.455	0.267
text-embedding-3-small	baseline - q_trap	10	0.5	0.5	0.75	0.37425	0.14225	0.232	0.619906	0.93175	0.89975	-0.032	0.905	0.864	0.163	0.04	0.953	0.934	0.585	0.326
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	20	0.5	0.3	0.5	0.41925	0.18875	0.2305	0.549791	0.94	0.925	-0.015	0.929	0.901	0.358	0.085	0.948	0.939	0.464	0.279
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.75	0.3	0.5	0.29775	0.072	0.22575	0.758186	0.93575	0.903	-0.03275	0.923	0.882	0.241	0.056	0.945	0.915	0.342	0.087
text-embedding-3-small	baseline - q_trap	20	1	0.75	1	0.4535	0.23	0.2235	0.492834	0.93825	0.92375	-0.0145	0.926	0.908	0.35	0.097	0.948	0.939	0.528	0.356
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	0.5	0.1	0.2	0.51775	0.29775	0.22	0.424915	0.94175	0.93575	-0.006	0.93	0.923	0.453	0.241	0.949	0.945	0.564	0.342
Qwen/Qwen3-Embedding-0.6B	baseline - q_trap	all	1	0.3	0.5	0.4045	0.1855	0.219	0.541409	0.9405	0.92825	-0.01225	0.928	0.913	0.344	0.144	0.95	0.938	0.449	0.221
text-embedding-3-small	baseline - q_trap	10	0.25	0.1	0.2	0.7215	0.505	0.2165	0.300069	0.94575	0.941	-0.00475	0.931	0.923	0.622	0.355	0.958	0.956	0.815	0.668
