retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.874,884.976,18227.761,0.685,0.099,0.5860000000000001,0.722,0.115,0.607,0.746,0.129,0.617,0.758,0.135,0.623,0.60825,1.0,0.75,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.857,443.15,10363.637,0.79,0.182,0.6080000000000001,0.82,0.214,0.606,0.839,0.236,0.603,0.847,0.251,0.596,0.60325,0.75,0.5,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.857,443.15,10363.637,0.79,0.182,0.6080000000000001,0.82,0.214,0.606,0.839,0.236,0.603,0.847,0.251,0.596,0.60325,1.5,1.0,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.846,263.936,6091.816,0.861,0.251,0.61,0.88,0.294,0.5860000000000001,0.891,0.328,0.563,0.898,0.344,0.554,0.57825,0.5,0.3,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.878,1408.357,24728.261,0.605,0.06,0.5449999999999999,0.637,0.074,0.5630000000000001,0.654,0.08,0.5740000000000001,0.662,0.084,0.5780000000000001,0.5650000000000001,0.25,0.2,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.847,39.126,69.053,0.737,0.147,0.59,0.842,0.277,0.565,0.887,0.372,0.515,0.91,0.429,0.48100000000000004,0.53775,0.5,0.5,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.847,39.126,69.053,0.737,0.147,0.59,0.842,0.277,0.565,0.887,0.372,0.515,0.91,0.429,0.48100000000000004,0.53775,0.75,0.75,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.847,39.126,69.053,0.737,0.147,0.59,0.842,0.277,0.565,0.887,0.372,0.515,0.91,0.429,0.48100000000000004,0.53775,1.0,1.0,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.834,42.452,72.429,0.545,0.055,0.49000000000000005,0.591,0.081,0.51,0.629,0.118,0.511,0.667,0.169,0.498,0.5022500000000001,0.25,0.3,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.81,43.678,73.637,0.509,0.042,0.467,0.546,0.057,0.48900000000000005,0.575,0.075,0.49999999999999994,0.598,0.102,0.496,0.488,0.75,1.0,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.79,40.813,66.406,0.51,0.049,0.461,0.564,0.082,0.48199999999999993,0.631,0.139,0.492,0.798,0.364,0.43400000000000005,0.46725000000000005,0.5,0.75,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.75,1000,0.801,44.622,74.481,0.468,0.032,0.43600000000000005,0.504,0.04,0.464,0.536,0.058,0.47800000000000004,0.557,0.07,0.48700000000000004,0.46625000000000005,0.5,0.75,20
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.5,1000,0.828,126.198,2426.016,0.89,0.369,0.521,0.906,0.441,0.465,0.915,0.471,0.44400000000000006,0.92,0.494,0.42600000000000005,0.4640000000000001,1.0,0.5,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.75,1000,0.828,126.198,2426.016,0.89,0.369,0.521,0.906,0.441,0.465,0.915,0.471,0.44400000000000006,0.92,0.494,0.42600000000000005,0.4640000000000001,1.5,0.75,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b1,1000,0.828,126.198,2426.016,0.89,0.369,0.521,0.906,0.441,0.465,0.915,0.471,0.44400000000000006,0.92,0.494,0.42600000000000005,0.4640000000000001,2.0,1.0,all
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.806,40.446,66.112,0.543,0.064,0.47900000000000004,0.597,0.116,0.481,0.678,0.195,0.48300000000000004,0.832,0.425,0.407,0.4625,0.75,1.0,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.3,1000,0.814,40.016,65.688,0.573,0.076,0.49699999999999994,0.664,0.159,0.505,0.746,0.285,0.461,0.868,0.497,0.371,0.4585,0.25,0.3,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.841,38.513,64.332,0.794,0.22,0.5740000000000001,0.886,0.386,0.5,0.917,0.488,0.42900000000000005,0.937,0.61,0.32700000000000007,0.4575,0.5,0.5,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.841,38.513,64.332,0.794,0.22,0.5740000000000001,0.886,0.386,0.5,0.917,0.488,0.42900000000000005,0.937,0.61,0.32700000000000007,0.4575,0.75,0.75,10
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b1,1000,0.841,38.513,64.332,0.794,0.22,0.5740000000000001,0.886,0.386,0.5,0.917,0.488,0.42900000000000005,0.937,0.61,0.32700000000000007,0.4575,1.0,1.0,10
