retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini,baseline,1000,0.67,37.848,60.27,0.922,0.819,0.10300000000000009,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.06574999999999998,,,
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.707,39.889,62.659,0.352,0.058,0.294,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11349999999999995,0.0,0.1,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.707,39.889,62.659,0.352,0.058,0.294,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11349999999999995,0.0,0.2,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.707,39.889,62.659,0.352,0.058,0.294,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11349999999999995,0.0,0.3,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.707,39.889,62.659,0.352,0.058,0.294,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11349999999999995,0.0,0.5,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.707,39.889,62.659,0.352,0.058,0.294,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11349999999999995,0.0,0.75,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.707,39.889,62.659,0.352,0.058,0.294,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.11349999999999995,0.0,1.0,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.732,37.795,60.788,0.913,0.665,0.248,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.10199999999999995,0.25,0.1,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.811,37.785,61.419,0.898,0.479,0.41900000000000004,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.14474999999999996,0.25,0.2,5
bge-m3-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.811,38.671,62.347,0.691,0.189,0.502,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.16549999999999995,0.25,0.3,5
