retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.942,666.137,28011.482,0.864,0.087,0.777,0.89,0.102,0.788,0.9,0.112,0.788,0.908,0.12,0.788,0.78525,0.25,0.25,0.1,all
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.942,666.137,28011.482,0.864,0.087,0.777,0.89,0.102,0.788,0.9,0.112,0.788,0.908,0.12,0.788,0.78525,0.5,0.5,0.2,all
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.942,666.137,28011.483,0.864,0.087,0.777,0.89,0.102,0.788,0.9,0.112,0.788,0.908,0.12,0.788,0.78525,0.75,0.75,0.3,all
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.941,629.197,25373.728,0.874,0.094,0.78,0.897,0.114,0.783,0.906,0.124,0.782,0.912,0.135,0.777,0.7805000000000001,2.0,2.0,0.75,all
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.5,1000,0.941,568.422,21364.668,0.889,0.107,0.782,0.905,0.13,0.775,0.914,0.138,0.776,0.921,0.145,0.776,0.77725,1.5,1.5,0.5,all
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.3,1000,0.939,518.554,18505.382,0.894,0.121,0.773,0.908,0.138,0.77,0.919,0.15,0.769,0.926,0.157,0.769,0.7702500000000001,1.0,1.0,0.3,all
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.5,1000,0.921,38.194,73.051,0.866,0.101,0.765,0.9,0.129,0.771,0.919,0.148,0.771,0.931,0.162,0.769,0.769,1.0,1.0,0.5,20
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b0.75,1000,0.921,38.194,73.051,0.866,0.101,0.765,0.9,0.129,0.771,0.919,0.148,0.771,0.931,0.162,0.769,0.769,1.5,1.5,0.75,20
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g2_b1,1000,0.921,38.194,73.051,0.866,0.101,0.765,0.9,0.129,0.771,0.919,0.148,0.771,0.931,0.162,0.769,0.769,2.0,2.0,1.0,20
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.948,861.135,39833.544,0.818,0.064,0.754,0.839,0.073,0.766,0.851,0.081,0.77,0.867,0.087,0.78,0.7675000000000001,1.0,1.0,0.5,all
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.948,861.135,39833.545,0.818,0.064,0.754,0.839,0.073,0.766,0.851,0.081,0.77,0.867,0.087,0.78,0.7675000000000001,1.5,1.5,0.75,all
