retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
bge-m3-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.67,37.848,60.27,0.922,0.819,0.10300000000000009,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.06574999999999998,,,,
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.899,37.705,62.347,0.911,0.192,0.7190000000000001,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21974999999999997,0.25,0.25,0.1,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.907,38.115,62.633,0.853,0.101,0.752,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.22799999999999995,0.25,0.25,0.2,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.889,38.689,62.781,0.67,0.053,0.617,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.19424999999999995,0.25,0.25,0.3,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.807,39.17,62.757,0.55,0.041,0.509,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.16724999999999995,0.25,0.25,0.5,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.769,39.401,62.726,0.488,0.042,0.446,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.15149999999999997,0.25,0.25,0.75,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.753,39.535,62.712,0.446,0.046,0.4,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.13999999999999996,0.25,0.25,1.0,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.893,37.656,62.149,0.918,0.256,0.662,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.20549999999999996,0.5,0.5,0.1,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.899,37.705,62.347,0.911,0.192,0.7190000000000001,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21974999999999997,0.5,0.5,0.2,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.902,37.847,62.498,0.895,0.146,0.749,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.22724999999999995,0.5,0.5,0.3,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.5,1000,0.903,38.398,62.726,0.777,0.069,0.708,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21699999999999994,0.5,0.5,0.5,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.75,1000,0.845,38.926,62.774,0.609,0.043,0.566,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.18149999999999994,0.5,0.5,0.75,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b1,1000,0.807,39.17,62.757,0.55,0.041,0.509,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.16724999999999995,0.5,0.5,1.0,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.1,1000,0.891,37.651,62.074,0.919,0.283,0.6360000000000001,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.19899999999999998,0.75,0.75,0.1,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.2,1000,0.896,37.667,62.218,0.917,0.234,0.683,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21074999999999997,0.75,0.75,0.2,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.3,1000,0.899,37.705,62.347,0.911,0.192,0.7190000000000001,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21974999999999997,0.75,0.75,0.3,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.5,1000,0.903,37.937,62.542,0.887,0.131,0.756,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.22899999999999995,0.75,0.75,0.5,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.75,1000,0.903,38.398,62.726,0.777,0.069,0.708,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21699999999999994,0.75,0.75,0.75,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b1,1000,0.866,38.79,62.776,0.643,0.047,0.596,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.18899999999999995,0.75,0.75,1.0,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.1,1000,0.888,37.648,62.039,0.919,0.294,0.625,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.19624999999999995,1.0,1.0,0.1,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.2,1000,0.893,37.656,62.149,0.918,0.256,0.662,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.20549999999999996,1.0,1.0,0.2,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.3,1000,0.895,37.677,62.247,0.914,0.222,0.6920000000000001,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21299999999999997,1.0,1.0,0.3,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.5,1000,0.902,37.762,62.421,0.905,0.167,0.738,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.22449999999999995,1.0,1.0,0.5,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.75,1000,0.906,38.04,62.6,0.867,0.113,0.754,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.22849999999999995,1.0,1.0,0.75,5
bge-m3-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b1,1000,0.903,38.398,62.726,0.777,0.069,0.708,0.94,0.876,0.06399999999999995,0.948,0.898,0.04999999999999993,0.954,0.908,0.04599999999999993,0.21699999999999994,1.0,1.0,1.0,5
