retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.952,38.667,75.221,0.861,0.003,0.858,0.885,0.005,0.88,0.907,0.013,0.894,0.926,0.031,0.895,0.88175,0.75,1.0,20
bge-m3,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.947,38.433,73.947,0.885,0.006,0.879,0.905,0.016,0.889,0.923,0.05,0.873,0.937,0.103,0.8340000000000001,0.86875,0.25,0.3,20
bge-m3,score_anti_rrf_no_target_c20_a0.5_b0.75,1000,0.959,38.975,76.149,0.827,0.001,0.826,0.866,0.002,0.864,0.881,0.004,0.877,0.903,0.006,0.897,0.8660000000000001,0.5,0.75,20
bge-m3,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.965,147.575,23904.913,0.87,0.016,0.854,0.881,0.027,0.854,0.896,0.034,0.862,0.903,0.041,0.862,0.858,0.75,0.5,all
bge-m3,score_anti_rrf_no_target_call_a1_b0.75,1000,0.981,256.169,34668.625,0.834,0.001,0.833,0.853,0.001,0.852,0.866,0.003,0.863,0.871,0.003,0.868,0.854,1.0,0.75,all
bge-m3,score_anti_rrf_no_target_c10_a0.25_b0.5,1000,0.957,39.017,67.927,0.773,0.001,0.772,0.838,0.001,0.837,0.901,0.016,0.885,0.949,0.123,0.826,0.83,0.25,0.5,10
bge-m3,score_anti_rrf_no_target_c10_a0.5_b1,1000,0.957,39.017,67.927,0.773,0.001,0.772,0.838,0.001,0.837,0.901,0.016,0.885,0.949,0.123,0.826,0.83,0.5,1.0,10
bge-m3,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.953,102.674,16438.917,0.891,0.051,0.84,0.905,0.076,0.8290000000000001,0.913,0.092,0.8210000000000001,0.918,0.108,0.81,0.8250000000000001,0.5,0.3,all
bge-m3,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.948,38.531,67.559,0.842,0.004,0.838,0.891,0.014,0.877,0.927,0.068,0.859,0.952,0.282,0.6699999999999999,0.8109999999999999,0.5,0.75,10
bge-m3,score_anti_rrf_no_target_c20_a0.25_b0.5,1000,0.966,40.096,77.04,0.705,0.0,0.705,0.783,0.001,0.782,0.827,0.001,0.826,0.847,0.001,0.846,0.7897500000000001,0.25,0.5,20
bge-m3,score_anti_rrf_no_target_c20_a0.5_b1,1000,0.966,40.096,77.04,0.705,0.0,0.705,0.783,0.001,0.782,0.827,0.001,0.826,0.847,0.001,0.846,0.7897500000000001,0.5,1.0,20
bge-m3,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.945,38.382,67.235,0.872,0.005,0.867,0.91,0.038,0.872,0.934,0.134,0.8,0.952,0.366,0.586,0.7812499999999999,0.75,1.0,10
bge-m3,score_anti_rrf_no_target_c10_a0.25_b0.75,1000,0.957,39.861,68.047,0.634,0.0,0.634,0.743,0.001,0.742,0.834,0.001,0.833,0.946,0.05,0.8959999999999999,0.7762499999999999,0.25,0.75,10
bge-m3,score_anti_rrf_no_target_c10_a0.25_b1,1000,0.957,40.33,68.08,0.563,0.0,0.563,0.686,0.0,0.686,0.784,0.0,0.784,0.943,0.023,0.9199999999999999,0.7382500000000001,0.25,1.0,10
bge-m3,score_anti_rrf_no_target_c10_a0.25_b0.3,1000,0.939,38.273,66.764,0.891,0.015,0.876,0.921,0.103,0.8180000000000001,0.938,0.246,0.692,0.951,0.441,0.51,0.724,0.25,0.3,10
bge-m3,score_anti_rrf_no_target_call_a1_b0.5,1000,0.924,67.479,8257.263,0.911,0.156,0.755,0.921,0.208,0.7130000000000001,0.928,0.233,0.6950000000000001,0.933,0.251,0.682,0.71125,1.0,0.5,all
bge-m3,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.937,38.186,71.194,0.914,0.092,0.8220000000000001,0.928,0.209,0.7190000000000001,0.938,0.302,0.6359999999999999,0.944,0.348,0.596,0.69325,0.5,0.5,20
bge-m3,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.937,38.186,71.194,0.914,0.092,0.8220000000000001,0.928,0.209,0.7190000000000001,0.938,0.302,0.6359999999999999,0.944,0.348,0.596,0.69325,0.75,0.75,20
bge-m3,score_anti_rrf_no_target_c20_a1_b1,1000,0.937,38.186,71.194,0.914,0.092,0.8220000000000001,0.928,0.209,0.7190000000000001,0.938,0.302,0.6359999999999999,0.944,0.348,0.596,0.69325,1.0,1.0,20
bge-m3,score_anti_rrf_no_target_call_a0.5_b0.5,1000,0.993,1631.706,72328.471,0.648,0.0,0.648,0.68,0.0,0.68,0.705,0.0,0.705,0.716,0.0,0.716,0.6872499999999999,0.5,0.5,all
bge-m3,score_anti_rrf_no_target_call_a0.75_b0.75,1000,0.993,1631.706,72328.471,0.648,0.0,0.648,0.68,0.0,0.68,0.705,0.0,0.705,0.716,0.0,0.716,0.6872499999999999,0.75,0.75,all
bge-m3,score_anti_rrf_no_target_call_a1_b1,1000,0.993,1631.706,72328.471,0.648,0.0,0.648,0.68,0.0,0.68,0.705,0.0,0.705,0.716,0.0,0.716,0.6872499999999999,1.0,1.0,all
bge-m3,score_anti_rrf_no_target_c20_a0.25_b0.75,1000,0.968,42.022,77.267,0.555,0.0,0.555,0.628,0.0,0.628,0.687,0.0,0.687,0.727,0.0,0.727,0.64925,0.25,0.75,20
bge-m3,score_anti_rrf_no_target_call_a0.75_b0.3,1000,0.895,50.328,3603.14,0.921,0.29,0.631,0.929,0.334,0.595,0.94,0.359,0.581,0.943,0.384,0.5589999999999999,0.5914999999999999,0.75,0.3,all
bge-m3,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.922,38.131,65.569,0.911,0.157,0.754,0.928,0.32,0.6080000000000001,0.942,0.409,0.5329999999999999,0.954,0.524,0.42999999999999994,0.58125,0.5,0.5,10
bge-m3,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.922,38.131,65.569,0.911,0.157,0.754,0.928,0.32,0.6080000000000001,0.942,0.409,0.5329999999999999,0.954,0.524,0.42999999999999994,0.58125,0.75,0.75,10
bge-m3,score_anti_rrf_no_target_c10_a1_b1,1000,0.922,38.131,65.569,0.911,0.157,0.754,0.928,0.32,0.6080000000000001,0.942,0.409,0.5329999999999999,0.954,0.524,0.42999999999999994,0.58125,1.0,1.0,10
bge-m3,score_anti_rrf_no_target_c20_a0.25_b1,1000,0.968,43.259,77.318,0.469,0.0,0.469,0.549,0.0,0.549,0.614,0.0,0.614,0.665,0.0,0.665,0.57425,0.25,1.0,20
bge-m3,score_anti_rrf_no_target_c10_a0_b0.3,1000,0.956,42.128,68.098,0.311,0.0,0.311,0.442,0.0,0.442,0.611,0.0,0.611,0.928,0.008,0.92,0.571,0.0,0.3,10
bge-m3,score_anti_rrf_no_target_c10_a0_b0.5,1000,0.956,42.128,68.098,0.311,0.0,0.311,0.442,0.0,0.442,0.611,0.0,0.611,0.928,0.008,0.92,0.571,0.0,0.5,10
bge-m3,score_anti_rrf_no_target_c10_a0_b0.75,1000,0.956,42.128,68.098,0.311,0.0,0.311,0.442,0.0,0.442,0.611,0.0,0.611,0.928,0.008,0.92,0.571,0.0,0.75,10
bge-m3,score_anti_rrf_no_target_c10_a0_b1,1000,0.956,42.128,68.098,0.311,0.0,0.311,0.442,0.0,0.442,0.611,0.0,0.611,0.928,0.008,0.92,0.571,0.0,1.0,10
bge-m3,score_anti_rrf_no_target_call_a0.25_b0.3,1000,0.996,5284.148,87965.175,0.482,0.0,0.482,0.521,0.0,0.521,0.538,0.0,0.538,0.551,0.0,0.551,0.523,0.25,0.3,all
bge-m3,score_anti_rrf_no_target_c20_a1_b0.75,1000,0.889,38.092,68.412,0.927,0.35,0.5770000000000001,0.938,0.422,0.516,0.943,0.449,0.49399999999999994,0.947,0.478,0.469,0.514,1.0,0.75,20
bge-m3,score_anti_rrf_no_target_c20_a0.75_b0.5,1000,0.864,38.091,67.608,0.93,0.401,0.529,0.938,0.46,0.4779999999999999,0.943,0.496,0.44699999999999995,0.948,0.523,0.42499999999999993,0.4697499999999999,0.75,0.5,20
bge-m3,score_anti_rrf_no_target_call_a1_b0.3,1000,0.842,42.169,1415.546,0.928,0.414,0.514,0.939,0.481,0.45799999999999996,0.942,0.509,0.43299999999999994,0.951,0.531,0.41999999999999993,0.45624999999999993,1.0,0.3,all
bge-m3,score_anti_rrf_no_target_c10_a1_b0.75,1000,0.881,38.08,64.326,0.927,0.386,0.541,0.937,0.452,0.48500000000000004,0.943,0.509,0.43399999999999994,0.954,0.607,0.347,0.45175,1.0,0.75,10
bge-m3,score_anti_rrf_no_target_c20_a0.5_b0.3,1000,0.845,38.094,66.947,0.929,0.446,0.48300000000000004,0.938,0.505,0.43299999999999994,0.943,0.526,0.4169999999999999,0.949,0.555,0.3939999999999999,0.4317499999999999,0.5,0.3,20
bge-m3,score_anti_rrf_no_target_call_a0.75_b1,1000,0.998,8760.162,89800.721,0.379,0.0,0.379,0.408,0.0,0.408,0.434,0.0,0.434,0.446,0.0,0.446,0.41674999999999995,0.75,1.0,all
bge-m3,score_anti_rrf_no_target_c10_a0.75_b0.5,1000,0.853,38.093,63.944,0.926,0.437,0.48900000000000005,0.938,0.494,0.44399999999999995,0.944,0.538,0.4059999999999999,0.954,0.649,0.30499999999999994,0.411,0.75,0.5,10
bge-m3,score_anti_rrf_no_target_c10_a0.5_b0.3,1000,0.833,38.105,63.663,0.928,0.468,0.46,0.937,0.529,0.40800000000000003,0.944,0.573,0.371,0.954,0.671,0.2829999999999999,0.3805,0.5,0.3,10
bge-m3,score_anti_rrf_no_target_c20_a1_b0.5,1000,0.805,38.116,65.915,0.929,0.504,0.42500000000000004,0.94,0.563,0.377,0.945,0.595,0.35,0.952,0.616,0.33599999999999997,0.372,1.0,0.5,20
bge-m3,score_anti_rrf_no_target_c10_a1_b0.5,1000,0.801,38.126,63.23,0.927,0.519,0.40800000000000003,0.94,0.582,0.358,0.946,0.623,0.32299999999999995,0.953,0.71,0.243,0.33299999999999996,1.0,0.5,10
bge-m3,score_anti_rrf_no_target_c20_a0.75_b0.3,1000,0.78,38.123,64.863,0.927,0.566,0.3610000000000001,0.942,0.611,0.33099999999999996,0.947,0.648,0.29899999999999993,0.955,0.676,0.2789999999999999,0.3175,0.75,0.3,20
bge-m3,score_anti_rrf_no_target_call_a0.5_b0.75,1000,0.999,14115.933,90269.481,0.284,0.0,0.284,0.302,0.0,0.302,0.325,0.0,0.325,0.337,0.0,0.337,0.312,0.5,0.75,all
bge-m3,score_anti_rrf_no_target_c10_a0.75_b0.3,1000,0.774,38.152,62.806,0.927,0.576,0.3510000000000001,0.941,0.62,0.32099999999999995,0.946,0.674,0.2719999999999999,0.954,0.749,0.20499999999999996,0.28725,0.75,0.3,10
bge-m3,score_anti_rrf_no_target_c20_a0_b0.3,1000,0.967,47.747,77.344,0.178,0.0,0.178,0.259,0.0,0.259,0.326,0.0,0.326,0.377,0.0,0.377,0.28500000000000003,0.0,0.3,20
bge-m3,score_anti_rrf_no_target_c20_a0_b0.5,1000,0.967,47.747,77.344,0.178,0.0,0.178,0.259,0.0,0.259,0.326,0.0,0.326,0.377,0.0,0.377,0.28500000000000003,0.0,0.5,20
bge-m3,score_anti_rrf_no_target_c20_a0_b0.75,1000,0.967,47.747,77.344,0.178,0.0,0.178,0.259,0.0,0.259,0.326,0.0,0.326,0.377,0.0,0.377,0.28500000000000003,0.0,0.75,20
bge-m3,score_anti_rrf_no_target_c20_a0_b1,1000,0.967,47.747,77.344,0.178,0.0,0.178,0.259,0.0,0.259,0.326,0.0,0.326,0.377,0.0,0.377,0.28500000000000003,0.0,1.0,20
