retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
bge-m3,baseline,1000,0.671,38.269,60.897,0.924,0.82,0.10400000000000009,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.06499999999999997,,,
bge-m3,score_anti_rrf_c5_a0_b0.3,1000,0.666,38.394,61.162,0.896,0.73,0.16600000000000004,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.08049999999999996,0.0,0.3,5
bge-m3,score_anti_rrf_c5_a0_b0.5,1000,0.738,38.322,61.489,0.901,0.648,0.253,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.10224999999999995,0.0,0.5,5
bge-m3,score_anti_rrf_c5_a0_b0.75,1000,0.837,38.24,62.04,0.906,0.505,0.401,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.13924999999999996,0.0,0.75,5
bge-m3,score_anti_rrf_c5_a0_b1,1000,0.903,38.232,62.677,0.908,0.304,0.6040000000000001,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.18999999999999997,0.0,1.0,5
bge-m3,score_anti_rrf_c5_a0.25_b0.3,1000,0.685,38.29,61.073,0.913,0.765,0.14800000000000002,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.07599999999999996,0.25,0.3,5
bge-m3,score_anti_rrf_c5_a0.25_b0.5,1000,0.757,38.205,61.342,0.92,0.696,0.2240000000000001,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.09499999999999997,0.25,0.5,5
bge-m3,score_anti_rrf_c5_a0.25_b0.75,1000,0.825,38.132,61.749,0.924,0.585,0.3390000000000001,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.12374999999999997,0.25,0.75,5
bge-m3,score_anti_rrf_c5_a0.25_b1,1000,0.899,38.085,62.278,0.926,0.444,0.48200000000000004,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.15949999999999998,0.25,1.0,5
bge-m3,score_anti_rrf_c5_a0.5_b0.3,1000,0.689,38.247,61.017,0.925,0.78,0.14500000000000002,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.07524999999999996,0.5,0.3,5
bge-m3,score_anti_rrf_c5_a0.5_b0.5,1000,0.756,38.168,61.242,0.929,0.735,0.19400000000000006,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.08749999999999997,0.5,0.5,5
bge-m3,score_anti_rrf_c5_a0.5_b0.75,1000,0.822,38.09,61.583,0.931,0.637,0.29400000000000004,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.11249999999999996,0.5,0.75,5
bge-m3,score_anti_rrf_c5_a0.5_b1,1000,0.874,38.053,61.978,0.933,0.526,0.40700000000000003,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.14074999999999996,0.5,1.0,5
bge-m3,score_anti_rrf_c5_a0.75_b0.3,1000,0.701,38.216,60.991,0.93,0.795,0.135,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.07274999999999995,0.75,0.3,5
bge-m3,score_anti_rrf_c5_a0.75_b0.5,1000,0.743,38.166,61.162,0.931,0.75,0.18100000000000005,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.08424999999999996,0.75,0.5,5
bge-m3,score_anti_rrf_c5_a0.75_b0.75,1000,0.809,38.091,61.466,0.932,0.674,0.258,0.94,0.878,0.061999999999999944,0.945,0.897,0.04799999999999993,0.955,0.909,0.04599999999999993,0.10349999999999995,0.75,0.75,5
