retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.964,15.165,52.608,0.903,0.002,0.901,0.924,0.009,0.915,0.941,0.026,0.9149999999999999,0.954,0.049,0.9049999999999999,0.9089999999999999,0.25,0.3,20
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.968,15.425,53.618,0.882,0.0,0.882,0.907,0.002,0.905,0.924,0.006,0.918,0.935,0.015,0.92,0.90625,0.75,1.0,20
inf-retriever-v1,score_anti_rrf_no_target_call_a1_b0.75,1000,0.98,151.376,38699.156,0.912,0.02,0.892,0.926,0.027,0.899,0.932,0.035,0.897,0.939,0.039,0.8999999999999999,0.8969999999999999,1.0,0.75,all
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.5_b0.75,1000,0.972,15.83,54.154,0.844,0.0,0.844,0.875,0.0,0.875,0.905,0.001,0.904,0.913,0.004,0.909,0.883,0.5,0.75,20
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.967,15.242,45.258,0.876,0.0,0.876,0.912,0.006,0.906,0.944,0.032,0.9119999999999999,0.965,0.155,0.8099999999999999,0.876,0.5,0.75,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.25_b0.5,1000,0.97,15.85,45.452,0.779,0.0,0.779,0.853,0.001,0.852,0.908,0.003,0.905,0.96,0.062,0.8979999999999999,0.8585,0.25,0.5,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.5_b1,1000,0.97,15.85,45.452,0.779,0.0,0.779,0.853,0.001,0.852,0.908,0.003,0.905,0.96,0.062,0.8979999999999999,0.8585,0.5,1.0,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.964,15.076,45.036,0.898,0.003,0.895,0.932,0.015,0.917,0.952,0.073,0.879,0.962,0.237,0.725,0.854,0.75,1.0,10
inf-retriever-v1,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.967,101.148,26668.427,0.935,0.064,0.871,0.941,0.087,0.854,0.948,0.099,0.849,0.951,0.11,0.841,0.85375,0.75,0.5,all
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.25_b0.3,1000,0.959,14.951,44.681,0.912,0.008,0.904,0.946,0.049,0.8969999999999999,0.957,0.15,0.8069999999999999,0.964,0.316,0.6479999999999999,0.8139999999999998,0.25,0.3,10
inf-retriever-v1,score_anti_rrf_no_target_call_a0.5_b0.5,1000,0.994,1005.637,74566.264,0.773,0.0,0.773,0.801,0.0,0.801,0.82,0.0,0.82,0.828,0.0,0.828,0.8055,0.5,0.5,all
inf-retriever-v1,score_anti_rrf_no_target_call_a0.75_b0.75,1000,0.994,1005.636,74566.264,0.773,0.0,0.773,0.801,0.0,0.801,0.82,0.0,0.82,0.828,0.0,0.828,0.8055,0.75,0.75,all
inf-retriever-v1,score_anti_rrf_no_target_call_a1_b1,1000,0.994,1005.637,74566.264,0.773,0.0,0.773,0.801,0.0,0.801,0.82,0.0,0.82,0.828,0.0,0.828,0.8055,1.0,1.0,all
inf-retriever-v1,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.959,75.482,18292.285,0.941,0.112,0.829,0.946,0.143,0.8029999999999999,0.952,0.161,0.7909999999999999,0.955,0.176,0.7789999999999999,0.8005,0.5,0.3,all
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.25_b0.5,1000,0.977,17.153,54.602,0.717,0.0,0.717,0.77,0.0,0.77,0.817,0.0,0.817,0.835,0.001,0.834,0.7845000000000001,0.25,0.5,20
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.5_b1,1000,0.977,17.153,54.602,0.717,0.0,0.717,0.77,0.0,0.77,0.817,0.0,0.817,0.835,0.001,0.834,0.7845000000000001,0.5,1.0,20
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.954,14.925,49.861,0.938,0.048,0.8899999999999999,0.949,0.134,0.815,0.955,0.217,0.738,0.958,0.272,0.6859999999999999,0.7822499999999999,0.5,0.5,20
inf-retriever-v1,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.954,14.925,49.861,0.938,0.048,0.8899999999999999,0.949,0.134,0.815,0.955,0.217,0.738,0.958,0.272,0.6859999999999999,0.7822499999999999,0.75,0.75,20
inf-retriever-v1,score_anti_rrf_no_target_c20_a1_b1,1000,0.954,14.925,49.861,0.938,0.048,0.8899999999999999,0.949,0.134,0.815,0.955,0.217,0.738,0.958,0.272,0.6859999999999999,0.7822499999999999,1.0,1.0,20
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.25_b0.75,1000,0.971,16.865,45.512,0.619,0.0,0.619,0.733,0.0,0.733,0.828,0.001,0.827,0.955,0.017,0.938,0.77925,0.25,0.75,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.25_b1,1000,0.97,17.465,45.519,0.542,0.0,0.542,0.652,0.0,0.652,0.777,0.0,0.777,0.951,0.012,0.939,0.7275,0.25,1.0,10
inf-retriever-v1,score_anti_rrf_no_target_call_a1_b0.5,1000,0.934,50.416,9381.46,0.946,0.207,0.739,0.953,0.255,0.698,0.959,0.276,0.6829999999999999,0.962,0.299,0.663,0.6957499999999999,1.0,0.5,all
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.952,14.811,43.528,0.939,0.105,0.834,0.954,0.248,0.706,0.962,0.332,0.6299999999999999,0.968,0.433,0.5349999999999999,0.67625,0.5,0.5,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.952,14.811,43.528,0.939,0.105,0.834,0.954,0.248,0.706,0.962,0.332,0.6299999999999999,0.968,0.433,0.5349999999999999,0.67625,0.75,0.75,10
inf-retriever-v1,score_anti_rrf_no_target_c10_a1_b1,1000,0.952,14.811,43.528,0.939,0.105,0.834,0.954,0.248,0.706,0.962,0.332,0.6299999999999999,0.968,0.433,0.5349999999999999,0.67625,1.0,1.0,10
