retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,beta,candidate_top_n
inf-retriever-v1,baseline,1000,0.719,14.933,38.457,0.949,0.818,0.131,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.09474999999999997,,,
inf-retriever-v1,score_anti_rrf_c5_a0_b0.3,1000,0.707,15.052,38.606,0.922,0.761,0.16100000000000003,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.10224999999999998,0.0,0.3,5
inf-retriever-v1,score_anti_rrf_c5_a0_b0.5,1000,0.794,14.967,38.933,0.925,0.681,0.244,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.12299999999999997,0.0,0.5,5
inf-retriever-v1,score_anti_rrf_c5_a0_b0.75,1000,0.876,14.907,39.483,0.927,0.532,0.395,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.16074999999999998,0.0,0.75,5
inf-retriever-v1,score_anti_rrf_c5_a0_b1,1000,0.933,14.929,40.241,0.932,0.264,0.668,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.22899999999999998,0.0,1.0,5
inf-retriever-v1,score_anti_rrf_c5_a0.25_b0.3,1000,0.722,14.966,38.542,0.946,0.789,0.15699999999999992,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.10124999999999995,0.25,0.3,5
inf-retriever-v1,score_anti_rrf_c5_a0.25_b0.5,1000,0.803,14.877,38.808,0.948,0.726,0.22199999999999998,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.11749999999999997,0.25,0.5,5
inf-retriever-v1,score_anti_rrf_c5_a0.25_b0.75,1000,0.877,14.812,39.236,0.947,0.599,0.348,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.14899999999999997,0.25,0.75,5
inf-retriever-v1,score_anti_rrf_c5_a0.25_b1,1000,0.931,14.786,39.803,0.945,0.427,0.518,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.19149999999999998,0.25,1.0,5
inf-retriever-v1,score_anti_rrf_c5_a0.5_b0.3,1000,0.739,14.916,38.521,0.953,0.797,0.15599999999999992,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.10099999999999995,0.5,0.3,5
inf-retriever-v1,score_anti_rrf_c5_a0.5_b0.5,1000,0.805,14.847,38.734,0.954,0.751,0.20299999999999996,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.11274999999999996,0.5,0.5,5
inf-retriever-v1,score_anti_rrf_c5_a0.5_b0.75,1000,0.87,14.784,39.09,0.954,0.654,0.29999999999999993,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.13699999999999996,0.5,0.75,5
inf-retriever-v1,score_anti_rrf_c5_a0.5_b1,1000,0.908,14.753,39.515,0.955,0.519,0.43599999999999994,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.17099999999999996,0.5,1.0,5
inf-retriever-v1,score_anti_rrf_c5_a0.75_b0.3,1000,0.75,14.893,38.493,0.955,0.806,0.1489999999999999,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.09924999999999995,0.75,0.3,5
inf-retriever-v1,score_anti_rrf_c5_a0.75_b0.5,1000,0.798,14.845,38.687,0.956,0.758,0.19799999999999995,0.958,0.857,0.10099999999999998,0.964,0.885,0.07899999999999996,0.968,0.9,0.06799999999999995,0.11149999999999996,0.75,0.5,5
