retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini,baseline,1000,0.728,54.586,241.057,0.931,0.666,0.265,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20474999999999996,,,,
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.743,56.863,242.982,0.309,0.05,0.259,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20324999999999996,0.0,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.743,56.863,242.982,0.309,0.05,0.259,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20324999999999996,0.0,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.743,56.863,242.982,0.309,0.05,0.259,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20324999999999996,0.0,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.743,56.863,242.982,0.309,0.05,0.259,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20324999999999996,0.0,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.743,56.863,242.982,0.309,0.05,0.259,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20324999999999996,0.0,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.743,56.863,242.982,0.309,0.05,0.259,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20324999999999996,0.0,,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.783,54.547,241.545,0.925,0.515,0.41000000000000003,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.24099999999999996,0.25,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.837,54.552,241.982,0.915,0.403,0.512,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.26649999999999996,0.25,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.828,55.592,242.762,0.668,0.135,0.533,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.27174999999999994,0.25,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.788,56.162,242.97,0.497,0.064,0.433,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.24674999999999997,0.25,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.75,1000,0.766,56.385,242.978,0.441,0.059,0.382,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.23399999999999996,0.25,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b1,1000,0.757,56.506,242.98,0.411,0.053,0.358,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.22799999999999995,0.25,,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.1,1000,0.752,54.565,241.274,0.93,0.605,0.32500000000000007,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.21974999999999997,0.5,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.2,1000,0.783,54.547,241.545,0.925,0.515,0.41000000000000003,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.24099999999999996,0.5,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.3,1000,0.815,54.528,241.762,0.921,0.451,0.47000000000000003,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.25599999999999995,0.5,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.5,1000,0.85,54.901,242.364,0.887,0.296,0.591,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.28624999999999995,0.5,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.75,1000,0.812,55.892,242.906,0.565,0.089,0.476,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.25749999999999995,0.5,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b1,1000,0.788,56.162,242.97,0.497,0.064,0.433,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.24674999999999997,0.5,,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.1,1000,0.743,54.574,241.204,0.929,0.621,0.30800000000000005,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.21549999999999997,0.75,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.2,1000,0.766,54.555,241.371,0.928,0.574,0.3540000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.22699999999999998,0.75,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.3,1000,0.783,54.547,241.545,0.925,0.515,0.41000000000000003,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.24099999999999996,0.75,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.5,1000,0.817,54.54,241.821,0.916,0.436,0.48000000000000004,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.25849999999999995,0.75,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.75,1000,0.85,54.901,242.364,0.887,0.296,0.591,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.28624999999999995,0.75,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b1,1000,0.821,55.748,242.853,0.609,0.104,0.505,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.26474999999999993,0.75,,1.0,5
