retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.89,547.945,29140.837,0.806,0.146,0.66,0.827,0.168,0.6589999999999999,0.839,0.182,0.657,0.854,0.19,0.6639999999999999,0.6599999999999999,1.0,,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.879,273.63,20710.703,0.865,0.206,0.659,0.889,0.233,0.656,0.902,0.246,0.656,0.912,0.265,0.647,0.6545000000000001,0.75,,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.879,273.63,20710.703,0.865,0.206,0.659,0.889,0.233,0.656,0.902,0.246,0.656,0.912,0.265,0.647,0.6545000000000001,1.5,,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.892,851.164,35143.805,0.757,0.109,0.648,0.779,0.13,0.649,0.796,0.138,0.658,0.805,0.144,0.661,0.654,0.25,,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.869,177.94,15143.402,0.892,0.25,0.642,0.917,0.291,0.6260000000000001,0.924,0.316,0.6080000000000001,0.927,0.332,0.595,0.61775,0.5,,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.87,55.949,249.336,0.738,0.119,0.619,0.831,0.198,0.633,0.89,0.268,0.622,0.913,0.318,0.595,0.6172500000000001,0.5,,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.87,55.949,249.336,0.738,0.119,0.619,0.831,0.198,0.633,0.89,0.268,0.622,0.913,0.318,0.595,0.6172500000000001,0.75,,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.87,55.949,249.336,0.738,0.119,0.619,0.831,0.198,0.633,0.89,0.268,0.622,0.913,0.318,0.595,0.6172500000000001,1.0,,1.0,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.871,55.399,244.719,0.775,0.156,0.619,0.884,0.288,0.5960000000000001,0.927,0.373,0.554,0.942,0.478,0.46399999999999997,0.55825,0.5,,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.871,55.399,244.719,0.775,0.156,0.619,0.884,0.288,0.5960000000000001,0.927,0.373,0.554,0.942,0.478,0.46399999999999997,0.55825,0.75,,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b1,1000,0.871,55.399,244.719,0.775,0.156,0.619,0.884,0.288,0.5960000000000001,0.927,0.373,0.554,0.942,0.478,0.46399999999999997,0.55825,1.0,,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.5,1000,0.862,133.944,8854.769,0.912,0.324,0.5880000000000001,0.93,0.374,0.556,0.933,0.399,0.534,0.937,0.418,0.5190000000000001,0.54925,1.0,,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.75,1000,0.862,133.944,8854.767,0.912,0.324,0.5880000000000001,0.93,0.374,0.556,0.933,0.399,0.534,0.937,0.418,0.5190000000000001,0.54925,1.5,,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b1,1000,0.862,133.944,8854.769,0.912,0.324,0.5880000000000001,0.93,0.374,0.556,0.933,0.399,0.534,0.937,0.418,0.5190000000000001,0.54925,2.0,,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.2,1000,0.85,54.761,247.079,0.909,0.336,0.573,0.925,0.386,0.539,0.931,0.412,0.5190000000000001,0.938,0.438,0.49999999999999994,0.5327500000000001,0.25,,0.2,20
