retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.946,645.037,32210.315,0.898,0.084,0.8140000000000001,0.914,0.097,0.8170000000000001,0.918,0.107,0.811,0.925,0.114,0.811,0.81325,0.25,0.25,0.1,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.946,645.037,32210.315,0.898,0.084,0.8140000000000001,0.914,0.097,0.8170000000000001,0.918,0.107,0.811,0.925,0.114,0.811,0.81325,0.5,0.5,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.946,645.037,32210.315,0.898,0.084,0.8140000000000001,0.914,0.097,0.8170000000000001,0.918,0.107,0.811,0.925,0.114,0.811,0.81325,0.75,0.75,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.953,788.943,44023.33,0.873,0.074,0.799,0.893,0.082,0.811,0.903,0.082,0.8210000000000001,0.912,0.091,0.8210000000000001,0.8130000000000001,1.0,1.0,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.953,788.943,44023.33,0.873,0.074,0.799,0.893,0.082,0.811,0.903,0.082,0.8210000000000001,0.912,0.091,0.8210000000000001,0.8130000000000001,1.5,1.5,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.953,788.943,44023.33,0.873,0.074,0.799,0.893,0.082,0.811,0.903,0.082,0.8210000000000001,0.912,0.091,0.8210000000000001,0.8130000000000001,2.0,2.0,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.944,618.829,29360.815,0.9,0.091,0.809,0.918,0.104,0.8140000000000001,0.921,0.113,0.808,0.927,0.12,0.807,0.8095,2.0,2.0,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.5,1000,0.942,575.842,24792.967,0.908,0.097,0.811,0.924,0.119,0.805,0.927,0.126,0.801,0.931,0.135,0.796,0.80325,1.5,1.5,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.955,1098.547,55791.391,0.841,0.055,0.7859999999999999,0.86,0.063,0.7969999999999999,0.877,0.066,0.8109999999999999,0.885,0.074,0.811,0.8012499999999999,0.5,0.5,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.3,1000,0.94,537.89,21375.49,0.911,0.106,0.805,0.925,0.132,0.793,0.929,0.142,0.787,0.933,0.151,0.782,0.7917500000000001,1.0,1.0,0.3,all
