retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.728,54.586,241.057,0.931,0.666,0.265,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.20474999999999996,,,,
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.902,54.501,242.74,0.917,0.151,0.766,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.32999999999999996,0.25,0.25,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.91,54.891,242.963,0.847,0.088,0.759,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.32824999999999993,0.25,0.25,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.893,55.632,243.088,0.635,0.048,0.587,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.28524999999999995,0.25,0.25,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.829,56.167,243.084,0.492,0.036,0.456,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.25249999999999995,0.25,0.25,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.797,56.4,243.051,0.439,0.039,0.4,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.23849999999999996,0.25,0.25,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.779,56.53,243.036,0.404,0.04,0.36400000000000005,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.22949999999999998,0.25,0.25,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.893,54.455,242.584,0.924,0.205,0.7190000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3182499999999999,0.5,0.5,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.902,54.501,242.74,0.917,0.151,0.766,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.32999999999999996,0.5,0.5,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.905,54.646,242.858,0.903,0.116,0.787,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.33524999999999994,0.5,0.5,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.5,1000,0.904,55.253,243.043,0.765,0.063,0.702,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.31399999999999995,0.5,0.5,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.75,1000,0.858,55.9,243.089,0.562,0.04,0.522,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.26899999999999996,0.5,0.5,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b1,1000,0.829,56.167,243.084,0.492,0.036,0.456,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.25249999999999995,0.5,0.5,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.1,1000,0.891,54.451,242.529,0.926,0.221,0.7050000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.31475,0.75,0.75,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.2,1000,0.897,54.46,242.644,0.922,0.183,0.7390000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3232499999999999,0.75,0.75,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.3,1000,0.902,54.501,242.74,0.917,0.151,0.766,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.32999999999999996,0.75,0.75,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.5,1000,0.906,54.716,242.891,0.887,0.108,0.779,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.33324999999999994,0.75,0.75,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.75,1000,0.904,55.253,243.043,0.765,0.063,0.702,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.31399999999999995,0.75,0.75,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b1,1000,0.874,55.778,243.091,0.588,0.043,0.5449999999999999,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.27474999999999994,0.75,0.75,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.1,1000,0.89,54.447,242.493,0.927,0.227,0.7000000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3135,1.0,1.0,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.2,1000,0.893,54.455,242.584,0.924,0.205,0.7190000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3182499999999999,1.0,1.0,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.3,1000,0.9,54.467,242.665,0.921,0.177,0.744,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3244999999999999,1.0,1.0,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.5,1000,0.902,54.56,242.805,0.91,0.13,0.78,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3334999999999999,1.0,1.0,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.75,1000,0.909,54.816,242.936,0.867,0.098,0.769,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.33075,1.0,1.0,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b1,1000,0.904,55.253,243.043,0.765,0.063,0.702,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.31399999999999995,1.0,1.0,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.1,1000,0.887,54.448,242.462,0.928,0.239,0.6890000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.31074999999999997,1.5,1.5,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.2,1000,0.891,54.451,242.529,0.926,0.221,0.7050000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.31475,1.5,1.5,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.3,1000,0.893,54.455,242.584,0.924,0.205,0.7190000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3182499999999999,1.5,1.5,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.5,1000,0.9,54.478,242.687,0.92,0.169,0.751,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.32624999999999993,1.5,1.5,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.75,1000,0.902,54.56,242.805,0.91,0.13,0.78,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3334999999999999,1.5,1.5,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b1,1000,0.906,54.716,242.891,0.887,0.108,0.779,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.33324999999999994,1.5,1.5,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.1,1000,0.887,54.448,242.448,0.928,0.245,0.683,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3092499999999999,2.0,2.0,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.2,1000,0.89,54.447,242.493,0.927,0.227,0.7000000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3135,2.0,2.0,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.3,1000,0.891,54.451,242.545,0.926,0.215,0.7110000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3162499999999999,2.0,2.0,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.5,1000,0.897,54.458,242.628,0.924,0.19,0.734,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.32199999999999995,2.0,2.0,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.75,1000,0.9,54.493,242.715,0.918,0.161,0.757,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.32775,2.0,2.0,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b1,1000,0.902,54.56,242.805,0.91,0.13,0.78,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.786,0.17099999999999993,0.3334999999999999,2.0,2.0,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.1,1000,0.912,54.59,245.574,0.915,0.121,0.794,0.93,0.167,0.763,0.941,0.204,0.737,0.949,0.338,0.611,0.7262500000000001,0.25,0.25,0.1,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.2,1000,0.929,55.578,246.272,0.75,0.064,0.6859999999999999,0.827,0.086,0.741,0.879,0.117,0.762,0.943,0.207,0.736,0.73125,0.25,0.25,0.2,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.3,1000,0.912,57.352,246.694,0.527,0.023,0.504,0.597,0.033,0.564,0.667,0.058,0.609,0.885,0.141,0.744,0.6052500000000001,0.25,0.25,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.5,1000,0.837,58.615,246.756,0.384,0.016,0.368,0.466,0.026,0.44,0.533,0.04,0.49300000000000005,0.763,0.164,0.599,0.47500000000000003,0.25,0.25,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.75,1000,0.8,59.232,246.749,0.309,0.015,0.294,0.392,0.023,0.369,0.469,0.038,0.431,0.707,0.187,0.52,0.4035,0.25,0.25,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b1,1000,0.777,59.553,246.73,0.267,0.015,0.252,0.359,0.024,0.33499999999999996,0.435,0.039,0.396,0.676,0.207,0.4690000000000001,0.363,0.25,0.25,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.1,1000,0.901,54.499,245.102,0.926,0.168,0.758,0.937,0.216,0.7210000000000001,0.944,0.273,0.6709999999999999,0.949,0.424,0.5249999999999999,0.66875,0.5,0.5,0.1,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.2,1000,0.912,54.59,245.574,0.915,0.121,0.794,0.93,0.167,0.763,0.941,0.204,0.737,0.949,0.338,0.611,0.7262500000000001,0.5,0.5,0.2,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.3,1000,0.918,54.917,245.964,0.859,0.091,0.768,0.905,0.121,0.784,0.927,0.153,0.774,0.944,0.264,0.6799999999999999,0.7515000000000001,0.5,0.5,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.5,1000,0.923,56.555,246.531,0.611,0.035,0.576,0.693,0.051,0.6419999999999999,0.792,0.091,0.7010000000000001,0.94,0.168,0.7719999999999999,0.67275,0.5,0.5,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.75,1000,0.88,57.971,246.744,0.465,0.02,0.445,0.534,0.027,0.507,0.593,0.049,0.5439999999999999,0.828,0.145,0.6829999999999999,0.54475,0.5,0.5,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b1,1000,0.837,58.615,246.756,0.384,0.016,0.368,0.466,0.026,0.44,0.533,0.04,0.49300000000000005,0.763,0.164,0.599,0.47500000000000003,0.5,0.5,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.1,1000,0.9,54.486,244.884,0.927,0.181,0.746,0.938,0.242,0.696,0.945,0.316,0.629,0.95,0.446,0.504,0.6437499999999999,0.75,0.75,0.1,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.2,1000,0.906,54.516,245.282,0.923,0.15,0.773,0.934,0.198,0.736,0.944,0.246,0.698,0.949,0.385,0.564,0.69275,0.75,0.75,0.2,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.3,1000,0.912,54.59,245.574,0.915,0.121,0.794,0.93,0.167,0.763,0.941,0.204,0.737,0.949,0.338,0.611,0.7262500000000001,0.75,0.75,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.5,1000,0.922,55.114,246.086,0.824,0.081,0.743,0.879,0.109,0.77,0.917,0.139,0.778,0.944,0.237,0.707,0.7494999999999999,0.75,0.75,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.75,1000,0.923,56.555,246.531,0.611,0.035,0.576,0.693,0.051,0.6419999999999999,0.792,0.091,0.7010000000000001,0.94,0.168,0.7719999999999999,0.67275,0.75,0.75,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b1,1000,0.897,57.666,246.723,0.496,0.021,0.475,0.557,0.031,0.526,0.633,0.051,0.582,0.856,0.138,0.718,0.5752499999999999,0.75,0.75,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b0.1,1000,0.897,54.486,244.769,0.926,0.188,0.738,0.938,0.261,0.6769999999999999,0.945,0.33,0.615,0.95,0.463,0.48699999999999993,0.6292500000000001,1.0,1.0,0.1,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b0.2,1000,0.901,54.499,245.102,0.926,0.168,0.758,0.937,0.216,0.7210000000000001,0.944,0.273,0.6709999999999999,0.949,0.424,0.5249999999999999,0.66875,1.0,1.0,0.2,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b0.3,1000,0.909,54.532,245.36,0.921,0.14,0.781,0.933,0.19,0.7430000000000001,0.945,0.235,0.71,0.949,0.375,0.574,0.702,1.0,1.0,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b0.5,1000,0.914,54.7,245.767,0.9,0.111,0.789,0.92,0.143,0.777,0.934,0.176,0.758,0.948,0.304,0.6439999999999999,0.742,1.0,1.0,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b0.75,1000,0.926,55.391,246.211,0.786,0.07,0.716,0.845,0.09,0.755,0.897,0.124,0.773,0.943,0.223,0.72,0.7410000000000001,1.0,1.0,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g1_b1,1000,0.923,56.555,246.531,0.611,0.035,0.576,0.693,0.051,0.6419999999999999,0.792,0.091,0.7010000000000001,0.94,0.168,0.7719999999999999,0.67275,1.0,1.0,1.0,10
