retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.827,491.241,22527.024,0.8,0.23,0.5700000000000001,0.818,0.255,0.563,0.829,0.278,0.5509999999999999,0.849,0.285,0.5640000000000001,0.562,1.0,,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.832,873.65,28550.633,0.729,0.171,0.5579999999999999,0.759,0.198,0.5609999999999999,0.771,0.213,0.558,0.783,0.223,0.56,0.55925,0.25,,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.823,216.86,14999.668,0.865,0.304,0.5609999999999999,0.887,0.346,0.541,0.897,0.364,0.533,0.905,0.38,0.525,0.5399999999999999,0.75,,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.823,216.86,14999.668,0.865,0.304,0.5609999999999999,0.887,0.346,0.541,0.897,0.364,0.533,0.905,0.38,0.525,0.5399999999999999,1.5,,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.813,58.261,252.079,0.611,0.148,0.46299999999999997,0.747,0.22,0.527,0.839,0.299,0.54,0.88,0.351,0.529,0.51475,0.5,,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.813,58.261,252.079,0.611,0.148,0.46299999999999997,0.747,0.22,0.527,0.839,0.299,0.54,0.88,0.351,0.529,0.51475,0.75,,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.813,58.261,252.079,0.611,0.148,0.46299999999999997,0.747,0.22,0.527,0.839,0.299,0.54,0.88,0.351,0.529,0.51475,1.0,,1.0,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.816,155.524,10508.544,0.891,0.359,0.532,0.912,0.407,0.5050000000000001,0.919,0.434,0.48500000000000004,0.927,0.445,0.48200000000000004,0.5010000000000001,0.5,,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.806,57.304,247.565,0.687,0.199,0.48800000000000004,0.836,0.303,0.5329999999999999,0.904,0.392,0.512,0.93,0.482,0.44800000000000006,0.49524999999999997,0.5,,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.806,57.304,247.565,0.687,0.199,0.48800000000000004,0.836,0.303,0.5329999999999999,0.904,0.392,0.512,0.93,0.482,0.44800000000000006,0.49524999999999997,0.75,,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b1,1000,0.806,57.304,247.565,0.687,0.199,0.48800000000000004,0.836,0.303,0.5329999999999999,0.904,0.392,0.512,0.93,0.482,0.44800000000000006,0.49524999999999997,1.0,,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.2,1000,0.809,56.314,249.522,0.888,0.373,0.515,0.907,0.415,0.49200000000000005,0.916,0.451,0.465,0.926,0.472,0.45400000000000007,0.48150000000000004,0.25,,0.2,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b0.75,1000,0.801,56.23,249.055,0.895,0.398,0.497,0.912,0.442,0.47000000000000003,0.924,0.478,0.44600000000000006,0.935,0.503,0.43200000000000005,0.46125000000000005,1.0,,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.2,1000,0.807,56.078,246.398,0.89,0.384,0.506,0.913,0.45,0.463,0.933,0.492,0.44100000000000006,0.947,0.561,0.3859999999999999,0.449,0.25,,0.2,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.5,1000,0.793,134.812,5773.876,0.908,0.43,0.47800000000000004,0.931,0.482,0.44900000000000007,0.933,0.502,0.43100000000000005,0.941,0.517,0.42399999999999993,0.4455,1.0,,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.75,1000,0.793,134.812,5773.876,0.908,0.43,0.47800000000000004,0.931,0.482,0.44900000000000007,0.933,0.502,0.43100000000000005,0.941,0.517,0.42399999999999993,0.4455,1.5,,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b1,1000,0.793,134.812,5773.876,0.908,0.43,0.47800000000000004,0.931,0.482,0.44900000000000007,0.933,0.502,0.43100000000000005,0.941,0.517,0.42399999999999993,0.4455,2.0,,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b0.75,1000,0.803,56.043,246.222,0.895,0.407,0.48800000000000004,0.919,0.464,0.455,0.937,0.512,0.42500000000000004,0.948,0.579,0.369,0.43425,1.0,,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.5,1000,0.789,56.11,248.347,0.906,0.441,0.465,0.926,0.488,0.43800000000000006,0.935,0.517,0.41800000000000004,0.94,0.541,0.3989999999999999,0.43000000000000005,0.75,,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b1,1000,0.789,56.11,248.347,0.906,0.441,0.465,0.926,0.488,0.43800000000000006,0.935,0.517,0.41800000000000004,0.94,0.541,0.3989999999999999,0.43000000000000005,1.5,,1.0,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.3,1000,0.778,56.05,247.852,0.912,0.464,0.448,0.931,0.518,0.41300000000000003,0.939,0.55,0.3889999999999999,0.944,0.567,0.377,0.40675,0.5,,0.3,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.5,1000,0.787,56.002,245.921,0.903,0.445,0.458,0.928,0.506,0.42200000000000004,0.941,0.543,0.3979999999999999,0.949,0.602,0.347,0.40625,0.75,,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1.5_b1,1000,0.787,56.002,245.921,0.903,0.445,0.458,0.928,0.506,0.42200000000000004,0.941,0.543,0.3979999999999999,0.949,0.602,0.347,0.40625,1.5,,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.1,1000,0.777,120.13,2962.195,0.917,0.484,0.43300000000000005,0.938,0.54,0.3979999999999999,0.943,0.57,0.373,0.948,0.594,0.354,0.38949999999999996,0.25,,0.1,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.2,1000,0.777,120.13,2962.195,0.917,0.484,0.43300000000000005,0.938,0.54,0.3979999999999999,0.943,0.57,0.373,0.948,0.594,0.354,0.38949999999999996,0.5,,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.3,1000,0.777,120.13,2962.194,0.917,0.484,0.43300000000000005,0.938,0.54,0.3979999999999999,0.943,0.57,0.373,0.948,0.594,0.354,0.38949999999999996,0.75,,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.3,1000,0.78,55.968,245.714,0.912,0.475,0.43700000000000006,0.933,0.53,0.403,0.941,0.566,0.375,0.951,0.627,0.32399999999999995,0.38475000000000004,0.5,,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b0.75,1000,0.772,114.353,2486.863,0.916,0.494,0.42200000000000004,0.939,0.558,0.3809999999999999,0.945,0.585,0.36,0.948,0.604,0.344,0.3767499999999999,2.0,,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b0.5,1000,0.768,55.98,247.106,0.921,0.501,0.42000000000000004,0.938,0.559,0.3789999999999999,0.946,0.593,0.353,0.95,0.612,0.33799999999999997,0.37249999999999994,1.0,,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b0.75,1000,0.768,55.98,247.106,0.921,0.501,0.42000000000000004,0.938,0.559,0.3789999999999999,0.946,0.593,0.353,0.95,0.612,0.33799999999999997,0.37249999999999994,1.5,,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a2_b1,1000,0.768,55.98,247.106,0.921,0.501,0.42000000000000004,0.938,0.559,0.3789999999999999,0.946,0.593,0.353,0.95,0.612,0.33799999999999997,0.37249999999999994,2.0,,1.0,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b0.5,1000,0.767,55.935,245.42,0.92,0.503,0.41700000000000004,0.938,0.565,0.373,0.945,0.605,0.33999999999999997,0.954,0.657,0.29699999999999993,0.35674999999999996,1.0,,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1.5_b0.75,1000,0.767,55.935,245.42,0.92,0.503,0.41700000000000004,0.938,0.565,0.373,0.945,0.605,0.33999999999999997,0.954,0.657,0.29699999999999993,0.35674999999999996,1.5,,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a2_b1,1000,0.767,55.935,245.42,0.92,0.503,0.41700000000000004,0.938,0.565,0.373,0.945,0.605,0.33999999999999997,0.954,0.657,0.29699999999999993,0.35674999999999996,2.0,,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.3,1000,0.779,59.824,248.784,0.372,0.088,0.28400000000000003,0.455,0.124,0.331,0.569,0.193,0.37599999999999995,0.781,0.367,0.41400000000000003,0.35124999999999995,0.25,,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.5,1000,0.772,103.486,1853.106,0.92,0.521,0.399,0.938,0.581,0.357,0.947,0.62,0.32699999999999996,0.952,0.636,0.31599999999999995,0.34975,1.5,,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.1,1000,0.765,55.936,246.394,0.925,0.542,0.383,0.939,0.605,0.33399999999999996,0.949,0.631,0.31799999999999995,0.954,0.653,0.30099999999999993,0.33399999999999996,0.25,,0.1,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.2,1000,0.765,55.936,246.394,0.925,0.542,0.383,0.939,0.605,0.33399999999999996,0.949,0.631,0.31799999999999995,0.954,0.653,0.30099999999999993,0.33399999999999996,0.5,,0.2,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.3,1000,0.765,55.936,246.394,0.925,0.542,0.383,0.939,0.605,0.33399999999999996,0.949,0.631,0.31799999999999995,0.954,0.653,0.30099999999999993,0.33399999999999996,0.75,,0.3,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.3,1000,0.773,94.785,1465.026,0.923,0.537,0.386,0.939,0.601,0.33799999999999997,0.948,0.637,0.31099999999999994,0.953,0.654,0.29899999999999993,0.33349999999999996,1.0,,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a2_b0.75,1000,0.762,55.932,246.227,0.927,0.546,0.381,0.94,0.617,0.32299999999999995,0.95,0.645,0.30499999999999994,0.954,0.664,0.2899999999999999,0.32475,2.0,,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.1,1000,0.761,55.911,245.112,0.924,0.548,0.376,0.94,0.61,0.32999999999999996,0.95,0.643,0.30699999999999994,0.954,0.688,0.266,0.31975,0.25,,0.1,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.2,1000,0.761,55.911,245.112,0.924,0.548,0.376,0.94,0.61,0.32999999999999996,0.95,0.643,0.30699999999999994,0.954,0.688,0.266,0.31975,0.5,,0.2,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.3,1000,0.761,55.911,245.112,0.924,0.548,0.376,0.94,0.61,0.32999999999999996,0.95,0.643,0.30699999999999994,0.954,0.688,0.266,0.31975,0.75,,0.3,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.2,1000,0.768,86.544,1160.106,0.927,0.561,0.366,0.941,0.617,0.32399999999999995,0.949,0.654,0.29499999999999993,0.955,0.671,0.2839999999999999,0.3172499999999999,0.75,,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a2_b0.75,1000,0.758,55.911,245.049,0.924,0.552,0.372,0.941,0.62,0.32099999999999995,0.95,0.653,0.29699999999999993,0.954,0.692,0.262,0.31299999999999994,2.0,,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.762,60.477,249.069,0.315,0.067,0.248,0.376,0.098,0.278,0.474,0.148,0.32599999999999996,0.712,0.314,0.39799999999999996,0.3125,0.75,,1.0,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b0.5,1000,0.766,82.651,1033.992,0.927,0.568,0.3590000000000001,0.941,0.631,0.30999999999999994,0.951,0.66,0.2909999999999999,0.956,0.678,0.2779999999999999,0.3095,2.0,,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b0.5,1000,0.758,55.922,245.964,0.929,0.569,0.3600000000000001,0.941,0.63,0.31099999999999994,0.95,0.66,0.2899999999999999,0.954,0.681,0.2729999999999999,0.3085,1.5,,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1.5_b0.5,1000,0.758,55.903,244.939,0.927,0.568,0.3590000000000001,0.941,0.635,0.30599999999999994,0.95,0.667,0.2829999999999999,0.955,0.7,0.255,0.30074999999999996,1.5,,0.5,10
