retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini,baseline,1000,0.727,55.917,244.106,0.931,0.669,0.262,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.20324999999999996,,,,
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.644,58.669,245.904,0.154,0.074,0.08,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.15774999999999995,0.0,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.644,58.669,245.904,0.154,0.074,0.08,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.15774999999999995,0.0,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.644,58.669,245.904,0.154,0.074,0.08,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.15774999999999995,0.0,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.644,58.669,245.904,0.154,0.074,0.08,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.15774999999999995,0.0,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.644,58.669,245.904,0.154,0.074,0.08,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.15774999999999995,0.0,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.644,58.669,245.904,0.154,0.074,0.08,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.15774999999999995,0.0,,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.76,55.897,244.475,0.927,0.553,0.374,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.23124999999999996,0.25,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.804,55.938,244.927,0.906,0.422,0.48400000000000004,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.2587499999999999,0.25,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.774,57.534,245.749,0.503,0.148,0.355,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.22649999999999995,0.25,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.708,58.214,245.906,0.298,0.091,0.207,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.18949999999999995,0.25,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.75,1000,0.68,58.408,245.91,0.238,0.084,0.15399999999999997,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.17624999999999996,0.25,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b1,1000,0.666,58.483,245.906,0.208,0.078,0.13,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.17024999999999996,0.25,,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.1,1000,0.743,55.902,244.279,0.929,0.616,0.31300000000000006,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.21599999999999997,0.5,,0.1,5
