retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.727,55.917,244.106,0.931,0.669,0.262,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.20324999999999996,,,,
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.896,55.849,245.791,0.915,0.151,0.764,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.32874999999999993,0.25,0.25,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.905,56.379,246.024,0.811,0.087,0.7240000000000001,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.31875,0.25,0.25,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.874,57.554,246.135,0.472,0.049,0.423,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.24349999999999997,0.25,0.25,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.773,58.143,246.079,0.311,0.042,0.269,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.20499999999999996,0.25,0.25,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.725,58.362,246.03,0.242,0.048,0.194,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.18624999999999997,0.25,0.25,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.7,58.453,245.998,0.214,0.051,0.163,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.17849999999999996,0.25,0.25,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.889,55.794,245.649,0.923,0.201,0.722,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.31825,0.5,0.5,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.896,55.849,245.791,0.915,0.151,0.764,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.32874999999999993,0.5,0.5,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.9,56.043,245.913,0.891,0.115,0.776,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.33174999999999993,0.5,0.5,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.5,1000,0.891,56.926,246.089,0.697,0.068,0.629,0.942,0.74,0.20199999999999996,0.953,0.772,0.18099999999999994,0.957,0.789,0.16799999999999993,0.295,0.5,0.5,0.5,5
