retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.946,857.1,41044.338,0.879,0.084,0.795,0.896,0.101,0.795,0.91,0.106,0.804,0.915,0.111,0.804,0.7995000000000001,1.0,1.0,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.946,857.1,41044.336,0.879,0.084,0.795,0.896,0.101,0.795,0.91,0.106,0.804,0.915,0.111,0.804,0.7995000000000001,1.5,1.5,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.946,857.1,41044.338,0.879,0.084,0.795,0.896,0.101,0.795,0.91,0.106,0.804,0.915,0.111,0.804,0.7995000000000001,2.0,2.0,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.939,681.063,28996.219,0.899,0.099,0.8,0.916,0.121,0.795,0.923,0.131,0.792,0.926,0.137,0.789,0.7940000000000002,0.25,0.25,0.1,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.939,681.063,28996.219,0.899,0.099,0.8,0.916,0.121,0.795,0.923,0.131,0.792,0.926,0.137,0.789,0.7940000000000002,0.5,0.5,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.939,681.063,28996.219,0.899,0.099,0.8,0.916,0.121,0.795,0.923,0.131,0.792,0.926,0.137,0.789,0.7940000000000002,0.75,0.75,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.949,1180.29,53727.408,0.848,0.07,0.778,0.869,0.075,0.794,0.879,0.082,0.797,0.89,0.089,0.801,0.7925000000000001,0.5,0.5,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.936,648.014,26244.23,0.901,0.107,0.794,0.918,0.128,0.79,0.925,0.137,0.788,0.928,0.141,0.787,0.78975,2.0,2.0,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.5,1000,0.934,596.814,21990.637,0.907,0.117,0.79,0.922,0.138,0.784,0.928,0.146,0.782,0.933,0.157,0.776,0.7829999999999999,1.5,1.5,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.5,1000,0.916,56.351,255.23,0.873,0.1,0.773,0.903,0.119,0.784,0.916,0.134,0.782,0.932,0.148,0.784,0.78075,1.0,1.0,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b0.75,1000,0.916,56.351,255.23,0.873,0.1,0.773,0.903,0.119,0.784,0.916,0.134,0.782,0.932,0.148,0.784,0.78075,1.5,1.5,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g2_b1,1000,0.916,56.351,255.23,0.873,0.1,0.773,0.903,0.119,0.784,0.916,0.134,0.782,0.932,0.148,0.784,0.78075,2.0,2.0,1.0,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.3,1000,0.932,553.411,18934.493,0.912,0.126,0.786,0.923,0.151,0.772,0.933,0.16,0.773,0.936,0.168,0.768,0.77475,1.0,1.0,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.25_b0.1,1000,0.912,56.138,254.678,0.899,0.119,0.78,0.923,0.142,0.781,0.932,0.164,0.768,0.94,0.179,0.7609999999999999,0.7725,0.25,0.25,0.1,20
