retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini,baseline,1000,0.728,55.44,243.469,0.931,0.669,0.262,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.20424999999999996,,,,
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.917,56.973,245.597,0.556,0.027,0.529,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.27099999999999996,0.0,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.917,56.973,245.597,0.556,0.027,0.529,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.27099999999999996,0.0,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.917,56.973,245.597,0.556,0.027,0.529,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.27099999999999996,0.0,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.917,56.973,245.597,0.556,0.027,0.529,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.27099999999999996,0.0,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.917,56.973,245.597,0.556,0.027,0.529,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.27099999999999996,0.0,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.917,56.973,245.597,0.556,0.027,0.529,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.27099999999999996,0.0,,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.805,55.375,244.091,0.926,0.477,0.44900000000000007,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.251,0.25,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.892,55.324,244.607,0.925,0.349,0.5760000000000001,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.28274999999999995,0.25,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.915,55.561,245.246,0.892,0.117,0.775,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.33249999999999996,0.25,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.918,55.898,245.509,0.812,0.049,0.763,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.32949999999999996,0.25,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.75,1000,0.918,56.145,245.549,0.756,0.039,0.717,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.31799999999999995,0.25,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b1,1000,0.918,56.305,245.569,0.718,0.036,0.6819999999999999,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.3092499999999999,0.25,,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.1,1000,0.767,55.411,243.793,0.928,0.57,0.3580000000000001,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.22824999999999998,0.5,,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.2,1000,0.805,55.375,244.091,0.926,0.477,0.44900000000000007,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.251,0.5,,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.3,1000,0.851,55.339,244.355,0.927,0.409,0.518,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.26825,0.5,,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.5,1000,0.91,55.411,244.923,0.921,0.259,0.662,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.30424999999999996,0.5,,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.75,1000,0.918,55.688,245.419,0.85,0.069,0.7809999999999999,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.33399999999999996,0.5,,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b1,1000,0.918,55.898,245.509,0.812,0.049,0.763,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.32949999999999996,0.5,,1.0,5
