retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.957,661.76,40822.221,0.863,0.038,0.825,0.882,0.044,0.838,0.89,0.046,0.844,0.898,0.051,0.847,0.8384999999999999,1.0,,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.95,415.689,31283.767,0.882,0.056,0.826,0.904,0.068,0.8360000000000001,0.911,0.077,0.8340000000000001,0.915,0.087,0.8280000000000001,0.831,0.75,,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.95,415.689,31283.767,0.882,0.056,0.826,0.904,0.068,0.8360000000000001,0.911,0.077,0.8340000000000001,0.915,0.087,0.8280000000000001,0.831,1.5,,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.961,874.097,46448.468,0.843,0.036,0.8069999999999999,0.862,0.038,0.824,0.875,0.039,0.836,0.884,0.045,0.839,0.8264999999999999,0.25,,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.931,56.001,254.539,0.849,0.043,0.8059999999999999,0.892,0.06,0.8320000000000001,0.91,0.078,0.8320000000000001,0.925,0.109,0.8160000000000001,0.8214999999999999,0.25,,0.3,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.935,56.263,255.321,0.83,0.038,0.7919999999999999,0.869,0.05,0.819,0.893,0.061,0.8320000000000001,0.905,0.068,0.837,0.8199999999999998,0.75,,1.0,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.943,292.031,23942.923,0.896,0.088,0.808,0.915,0.105,0.81,0.921,0.121,0.8,0.922,0.139,0.783,0.80025,0.5,,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.75,1000,0.935,56.606,255.912,0.798,0.031,0.767,0.84,0.043,0.7969999999999999,0.864,0.052,0.8119999999999999,0.884,0.059,0.825,0.8002499999999999,0.5,,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.93,56.007,248.783,0.816,0.036,0.7799999999999999,0.872,0.058,0.814,0.916,0.098,0.8180000000000001,0.94,0.263,0.6769999999999999,0.77225,0.5,,0.75,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.5,1000,0.93,56.532,249.051,0.737,0.026,0.711,0.813,0.039,0.7739999999999999,0.866,0.06,0.806,0.925,0.169,0.756,0.7617499999999999,0.25,,0.5,10
qwen3-embedding-0.6b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b1,1000,0.93,56.532,249.051,0.737,0.026,0.711,0.813,0.039,0.7739999999999999,0.866,0.06,0.806,0.925,0.169,0.756,0.7617499999999999,0.5,,1.0,10
