retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.728,55.44,243.469,0.931,0.669,0.262,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.20424999999999996,,,,
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.904,55.321,245.131,0.92,0.154,0.766,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.33024999999999993,0.25,0.25,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.915,55.4,245.344,0.915,0.098,0.8170000000000001,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.34299999999999997,0.25,0.25,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.919,55.664,245.491,0.878,0.052,0.826,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.34524999999999995,0.25,0.25,0.3,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.918,56.042,245.559,0.789,0.039,0.75,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.32624999999999993,0.25,0.25,0.5,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.918,56.282,245.568,0.733,0.036,0.697,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.31299999999999994,0.25,0.25,0.75,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.917,56.429,245.577,0.701,0.036,0.6649999999999999,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.30499999999999994,0.25,0.25,1.0,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.893,55.315,244.973,0.921,0.212,0.7090000000000001,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.31599999999999995,0.5,0.5,0.1,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.904,55.321,245.131,0.92,0.154,0.766,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.33024999999999993,0.5,0.5,0.2,5
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.909,55.34,245.252,0.918,0.125,0.793,0.942,0.739,0.20299999999999996,0.953,0.771,0.18199999999999994,0.957,0.787,0.16999999999999993,0.33699999999999997,0.5,0.5,0.3,5
