retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.5,1000,0.94,56.14,256.03,0.847,0.03,0.817,0.895,0.051,0.844,0.911,0.059,0.8520000000000001,0.921,0.068,0.853,0.8414999999999999,0.5,0.5,0.5,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.75,1000,0.94,56.14,256.03,0.847,0.03,0.817,0.895,0.051,0.844,0.911,0.059,0.8520000000000001,0.921,0.068,0.853,0.8414999999999999,0.75,0.75,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b1,1000,0.94,56.14,256.03,0.847,0.03,0.817,0.895,0.051,0.844,0.911,0.059,0.8520000000000001,0.921,0.068,0.853,0.8414999999999999,1.0,1.0,1.0,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.25_b0.2,1000,0.937,55.805,255.481,0.89,0.056,0.834,0.917,0.075,0.8420000000000001,0.924,0.089,0.8350000000000001,0.93,0.097,0.8330000000000001,0.8360000000000001,0.25,0.25,0.2,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.958,734.99,46843.981,0.88,0.06,0.8200000000000001,0.904,0.071,0.8330000000000001,0.914,0.075,0.8390000000000001,0.917,0.078,0.8390000000000001,0.83275,1.0,1.0,0.5,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.958,734.99,46843.981,0.88,0.06,0.8200000000000001,0.904,0.071,0.8330000000000001,0.914,0.075,0.8390000000000001,0.917,0.078,0.8390000000000001,0.83275,1.5,1.5,0.75,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.958,734.99,46843.981,0.88,0.06,0.8200000000000001,0.904,0.071,0.8330000000000001,0.914,0.075,0.8390000000000001,0.917,0.078,0.8390000000000001,0.83275,2.0,2.0,1.0,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.75,1000,0.937,55.758,255.337,0.894,0.059,0.835,0.918,0.081,0.8370000000000001,0.925,0.094,0.8310000000000001,0.931,0.104,0.8270000000000001,0.8325,1.0,1.0,0.75,20
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.952,604.072,35936.686,0.902,0.074,0.8280000000000001,0.918,0.085,0.8330000000000001,0.925,0.092,0.8330000000000001,0.927,0.103,0.8240000000000001,0.8295000000000001,0.25,0.25,0.1,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.952,604.072,35936.686,0.902,0.074,0.8280000000000001,0.918,0.085,0.8330000000000001,0.925,0.092,0.8330000000000001,0.927,0.103,0.8240000000000001,0.8295000000000001,0.5,0.5,0.2,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.952,604.072,35936.687,0.902,0.074,0.8280000000000001,0.918,0.085,0.8330000000000001,0.925,0.092,0.8330000000000001,0.927,0.103,0.8240000000000001,0.8295000000000001,0.75,0.75,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.963,1006.279,57195.308,0.854,0.044,0.8099999999999999,0.879,0.055,0.824,0.894,0.063,0.831,0.901,0.065,0.8360000000000001,0.82525,0.5,0.5,0.3,all
qwen3-embedding-0.6b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.951,582.007,33160.467,0.905,0.079,0.8260000000000001,0.92,0.092,0.8280000000000001,0.926,0.102,0.8240000000000001,0.927,0.11,0.8170000000000001,0.8237500000000001,2.0,2.0,0.75,all
