retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.888,461.365,31793.723,0.839,0.174,0.665,0.858,0.202,0.6559999999999999,0.878,0.218,0.66,0.889,0.224,0.665,0.6615,1.0,,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.898,776.995,37244.491,0.795,0.134,0.661,0.811,0.152,0.659,0.825,0.165,0.6599999999999999,0.838,0.172,0.6659999999999999,0.6615,0.25,,0.2,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.88,279.462,23862.72,0.893,0.244,0.649,0.905,0.27,0.635,0.915,0.291,0.6240000000000001,0.919,0.305,0.6140000000000001,0.6305000000000001,0.75,,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.88,279.462,23862.72,0.893,0.244,0.649,0.905,0.27,0.635,0.915,0.291,0.6240000000000001,0.919,0.305,0.6140000000000001,0.6305000000000001,1.5,,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.858,14.244,308.179,0.718,0.107,0.611,0.815,0.203,0.6119999999999999,0.873,0.269,0.604,0.905,0.316,0.589,0.604,0.5,,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.858,14.244,308.179,0.718,0.107,0.611,0.815,0.203,0.6119999999999999,0.873,0.269,0.604,0.905,0.316,0.589,0.604,0.75,,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.858,14.244,308.179,0.718,0.107,0.611,0.815,0.203,0.6119999999999999,0.873,0.269,0.604,0.905,0.316,0.589,0.604,1.0,,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.873,190.716,18257.373,0.904,0.296,0.6080000000000001,0.918,0.318,0.6000000000000001,0.925,0.345,0.5800000000000001,0.927,0.362,0.5650000000000001,0.58825,0.5,,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.862,13.539,303.338,0.775,0.17,0.605,0.888,0.278,0.61,0.926,0.361,0.5650000000000001,0.942,0.457,0.48499999999999993,0.5662499999999999,0.5,,0.5,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.862,13.539,303.338,0.775,0.17,0.605,0.888,0.278,0.61,0.926,0.361,0.5650000000000001,0.942,0.457,0.48499999999999993,0.5662499999999999,0.75,,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b1,1000,0.862,13.539,303.338,0.775,0.17,0.605,0.888,0.278,0.61,0.926,0.361,0.5650000000000001,0.942,0.457,0.48499999999999993,0.5662499999999999,1.0,,1.0,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.2,1000,0.86,12.935,305.836,0.922,0.337,0.585,0.927,0.386,0.541,0.93,0.412,0.518,0.934,0.431,0.5030000000000001,0.5367500000000001,0.25,,0.2,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.5,1000,0.852,81.363,11300.255,0.922,0.359,0.5630000000000001,0.931,0.396,0.535,0.936,0.418,0.518,0.939,0.437,0.502,0.5295000000000001,1.0,,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.75,1000,0.852,81.363,11300.254,0.922,0.359,0.5630000000000001,0.931,0.396,0.535,0.936,0.418,0.518,0.939,0.437,0.502,0.5295000000000001,1.5,,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b1,1000,0.852,81.363,11300.255,0.922,0.359,0.5630000000000001,0.931,0.396,0.535,0.936,0.418,0.518,0.939,0.437,0.502,0.5295000000000001,2.0,,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b0.75,1000,0.855,12.903,305.4,0.924,0.362,0.562,0.928,0.409,0.5190000000000001,0.933,0.435,0.49800000000000005,0.934,0.459,0.47500000000000003,0.5135000000000001,1.0,,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.3,1000,0.849,15.294,304.509,0.558,0.065,0.49300000000000005,0.615,0.107,0.508,0.691,0.17,0.5209999999999999,0.852,0.345,0.507,0.50725,0.25,,0.3,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.852,18.338,311.12,0.536,0.042,0.49400000000000005,0.562,0.059,0.5030000000000001,0.587,0.08,0.507,0.616,0.109,0.507,0.50275,0.25,,0.3,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.2,1000,0.848,12.763,302.257,0.921,0.352,0.5690000000000001,0.93,0.409,0.5210000000000001,0.937,0.453,0.48400000000000004,0.945,0.523,0.42199999999999993,0.49900000000000005,0.25,,0.2,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.825,15.728,304.795,0.515,0.048,0.467,0.575,0.078,0.49699999999999994,0.637,0.121,0.516,0.805,0.291,0.514,0.4985,0.75,,1.0,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.837,19.35,311.887,0.495,0.034,0.46099999999999997,0.531,0.045,0.48600000000000004,0.55,0.054,0.49600000000000005,0.571,0.065,0.506,0.48725,0.75,,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.5,1000,0.835,12.874,304.709,0.925,0.408,0.5170000000000001,0.932,0.449,0.48300000000000004,0.936,0.471,0.4650000000000001,0.94,0.489,0.45099999999999996,0.4790000000000001,0.75,,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b1,1000,0.835,12.874,304.709,0.925,0.408,0.5170000000000001,0.932,0.449,0.48300000000000004,0.936,0.471,0.4650000000000001,0.94,0.489,0.45099999999999996,0.4790000000000001,1.5,,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b0.75,1000,0.843,12.739,302.071,0.923,0.375,0.548,0.931,0.433,0.49800000000000005,0.938,0.475,0.46299999999999997,0.947,0.541,0.4059999999999999,0.47874999999999995,1.0,,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.805,16.111,304.926,0.48,0.037,0.443,0.531,0.065,0.466,0.594,0.096,0.498,0.764,0.27,0.494,0.47525,0.5,,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.3,1000,0.829,12.827,304.16,0.927,0.432,0.49500000000000005,0.932,0.475,0.4570000000000001,0.939,0.502,0.43699999999999994,0.943,0.519,0.42399999999999993,0.45325000000000004,0.5,,0.3,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.5,1000,0.83,12.722,301.799,0.926,0.417,0.5090000000000001,0.932,0.467,0.465,0.941,0.499,0.44199999999999995,0.95,0.569,0.381,0.44925000000000004,0.75,,0.5,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1.5_b1,1000,0.83,12.722,301.799,0.926,0.417,0.5090000000000001,0.932,0.467,0.465,0.941,0.499,0.44199999999999995,0.95,0.569,0.381,0.44925000000000004,1.5,,1.0,10
