retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.948,728.131,40418.453,0.893,0.077,0.8160000000000001,0.91,0.09,0.8200000000000001,0.914,0.097,0.8170000000000001,0.92,0.101,0.8190000000000001,0.8180000000000001,1.0,1.0,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.948,728.13,40418.451,0.893,0.077,0.8160000000000001,0.91,0.09,0.8200000000000001,0.914,0.097,0.8170000000000001,0.92,0.101,0.8190000000000001,0.8180000000000001,1.5,1.5,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.948,728.131,40418.453,0.893,0.077,0.8160000000000001,0.91,0.09,0.8200000000000001,0.914,0.097,0.8170000000000001,0.92,0.101,0.8190000000000001,0.8180000000000001,2.0,2.0,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.957,971.238,53287.59,0.861,0.06,0.8009999999999999,0.877,0.066,0.8109999999999999,0.887,0.075,0.812,0.895,0.079,0.8160000000000001,0.81,0.5,0.5,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.946,547.143,28212.193,0.907,0.1,0.807,0.917,0.113,0.804,0.926,0.124,0.802,0.931,0.137,0.794,0.8017500000000001,0.25,0.25,0.1,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.946,547.143,28212.193,0.907,0.1,0.807,0.917,0.113,0.804,0.926,0.124,0.802,0.931,0.137,0.794,0.8017500000000001,0.5,0.5,0.2,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.946,547.143,28212.195,0.907,0.1,0.807,0.917,0.113,0.804,0.926,0.124,0.802,0.931,0.137,0.794,0.8017500000000001,0.75,0.75,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.5,1000,0.96,1252.118,61050.051,0.836,0.048,0.7879999999999999,0.857,0.054,0.8029999999999999,0.864,0.059,0.8049999999999999,0.87,0.064,0.806,0.8005,0.75,0.75,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b1,1000,0.96,1252.118,61050.051,0.836,0.048,0.7879999999999999,0.857,0.054,0.8029999999999999,0.864,0.059,0.8049999999999999,0.87,0.064,0.806,0.8005,1.5,1.5,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.945,498.115,25363.954,0.907,0.107,0.8,0.919,0.123,0.796,0.928,0.137,0.791,0.932,0.147,0.785,0.793,2.0,2.0,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.5,1000,0.945,423.016,20911.088,0.91,0.117,0.793,0.923,0.137,0.786,0.932,0.152,0.78,0.937,0.161,0.776,0.78375,1.5,1.5,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.3,1000,0.925,13.274,310.921,0.865,0.089,0.776,0.895,0.112,0.783,0.913,0.131,0.782,0.925,0.143,0.782,0.78075,0.5,0.5,0.3,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.5,1000,0.925,13.007,310.405,0.897,0.113,0.784,0.919,0.138,0.781,0.925,0.153,0.772,0.934,0.162,0.772,0.77725,1.0,1.0,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b0.75,1000,0.925,13.007,310.405,0.897,0.113,0.784,0.919,0.138,0.781,0.925,0.153,0.772,0.934,0.162,0.772,0.77725,1.5,1.5,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g2_b1,1000,0.925,13.007,310.405,0.897,0.113,0.784,0.919,0.138,0.781,0.925,0.153,0.772,0.934,0.162,0.772,0.77725,2.0,2.0,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.3,1000,0.941,376.27,17693.968,0.91,0.127,0.783,0.926,0.148,0.778,0.933,0.163,0.77,0.937,0.17,0.767,0.7745,1.0,1.0,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.5,1000,0.928,13.581,311.224,0.829,0.074,0.755,0.869,0.095,0.774,0.895,0.112,0.783,0.911,0.128,0.783,0.7737499999999999,0.75,0.75,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b1,1000,0.928,13.581,311.224,0.829,0.074,0.755,0.869,0.095,0.774,0.895,0.112,0.783,0.911,0.128,0.783,0.7737499999999999,1.5,1.5,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.25_b0.1,1000,0.921,12.874,309.811,0.912,0.134,0.778,0.925,0.152,0.773,0.932,0.171,0.761,0.939,0.192,0.7469999999999999,0.76475,0.25,0.25,0.1,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.2,1000,0.921,12.874,309.811,0.912,0.134,0.778,0.925,0.152,0.773,0.932,0.171,0.761,0.939,0.192,0.7469999999999999,0.76475,0.5,0.5,0.2,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.3,1000,0.921,12.874,309.811,0.912,0.134,0.778,0.925,0.152,0.773,0.932,0.171,0.761,0.939,0.192,0.7469999999999999,0.76475,0.75,0.75,0.3,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.2,1000,0.941,341.449,14804.592,0.915,0.138,0.777,0.929,0.156,0.773,0.934,0.18,0.754,0.937,0.191,0.746,0.7625000000000001,0.75,0.75,0.2,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g2_b0.75,1000,0.921,12.848,309.632,0.915,0.138,0.777,0.928,0.16,0.768,0.932,0.178,0.754,0.938,0.202,0.736,0.75875,2.0,2.0,0.75,20
