retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.74,12.74,299.579,0.934,0.692,0.2420000000000001,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.19374999999999998,,,,
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.907,12.637,301.235,0.919,0.185,0.734,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.31675,0.25,0.25,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.917,12.992,301.489,0.867,0.109,0.758,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.32275,0.25,0.25,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.901,13.799,301.661,0.635,0.044,0.591,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.2809999999999999,0.25,0.25,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.825,14.341,301.64,0.504,0.034,0.47,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.2507499999999999,0.25,0.25,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.775,14.612,301.604,0.432,0.034,0.398,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.23274999999999996,0.25,0.25,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.766,14.746,301.596,0.4,0.036,0.36400000000000005,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.22424999999999998,0.25,0.25,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.9,12.616,301.055,0.925,0.234,0.6910000000000001,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.30599999999999994,0.5,0.5,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.907,12.637,301.235,0.919,0.185,0.734,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.31675,0.5,0.5,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.912,12.741,301.391,0.91,0.137,0.773,0.942,0.746,0.19599999999999995,0.947,0.776,0.17099999999999993,0.955,0.789,0.16599999999999993,0.32649999999999996,0.5,0.5,0.3,5
