retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini,baseline,1000,0.741,13.031,299.064,0.935,0.693,0.2420000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.19349999999999998,,,,
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.617,15.852,300.876,0.147,0.069,0.07799999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.15249999999999994,0.0,,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.617,15.852,300.876,0.147,0.069,0.07799999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.15249999999999994,0.0,,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.617,15.852,300.876,0.147,0.069,0.07799999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.15249999999999994,0.0,,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.617,15.852,300.876,0.147,0.069,0.07799999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.15249999999999994,0.0,,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.617,15.852,300.876,0.147,0.069,0.07799999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.15249999999999994,0.0,,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.617,15.852,300.876,0.147,0.069,0.07799999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.15249999999999994,0.0,,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.775,13.011,299.431,0.93,0.568,0.3620000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.22349999999999998,0.25,,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.808,13.048,299.88,0.915,0.433,0.48200000000000004,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.25349999999999995,0.25,,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.764,14.767,300.726,0.471,0.152,0.31899999999999995,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.21274999999999994,0.25,,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.68,15.419,300.858,0.276,0.098,0.17800000000000002,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.17749999999999996,0.25,,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.75,1000,0.653,15.609,300.879,0.222,0.08,0.14200000000000002,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.16849999999999996,0.25,,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b1,1000,0.642,15.685,300.879,0.199,0.079,0.12000000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.16299999999999995,0.25,,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.1,1000,0.762,13.013,299.238,0.933,0.635,0.29800000000000004,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.20749999999999996,0.5,,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.2,1000,0.775,13.011,299.431,0.93,0.568,0.3620000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.22349999999999998,0.5,,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.3,1000,0.789,13.02,299.64,0.923,0.506,0.41700000000000004,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.23724999999999996,0.5,,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.5,1000,0.796,13.581,300.282,0.871,0.312,0.5589999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.27274999999999994,0.5,,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.75,1000,0.714,15.134,300.823,0.364,0.116,0.248,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.19499999999999995,0.5,,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b1,1000,0.68,15.419,300.858,0.276,0.098,0.17800000000000002,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.17749999999999996,0.5,,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.1,1000,0.757,13.017,299.178,0.934,0.654,0.28,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.20299999999999996,0.75,,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.2,1000,0.764,13.013,299.304,0.932,0.614,0.31800000000000006,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.21249999999999997,0.75,,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.3,1000,0.775,13.011,299.431,0.93,0.568,0.3620000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.22349999999999998,0.75,,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.5,1000,0.79,13.031,299.71,0.92,0.484,0.43600000000000005,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.24199999999999997,0.75,,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.75,1000,0.796,13.581,300.282,0.871,0.312,0.5589999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.27274999999999994,0.75,,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b1,1000,0.736,14.969,300.792,0.407,0.124,0.283,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.20374999999999996,0.75,,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.1,1000,0.754,13.021,299.14,0.934,0.667,0.267,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.19974999999999996,1.0,,0.1,5
