retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.847,862.559,31519.826,0.781,0.219,0.562,0.806,0.25,0.556,0.827,0.264,0.563,0.843,0.281,0.5619999999999999,0.56075,0.25,,0.2,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.839,436.376,26469.866,0.845,0.276,0.569,0.864,0.313,0.5509999999999999,0.874,0.334,0.54,0.882,0.35,0.532,0.548,1.0,,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.826,243.464,19468.692,0.889,0.354,0.535,0.904,0.389,0.515,0.913,0.412,0.5010000000000001,0.917,0.418,0.49900000000000005,0.5125000000000001,0.75,,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.826,243.464,19468.692,0.889,0.354,0.535,0.904,0.389,0.515,0.913,0.412,0.5010000000000001,0.917,0.418,0.49900000000000005,0.5125000000000001,1.5,,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.799,14.403,302.55,0.673,0.208,0.4650000000000001,0.857,0.308,0.5489999999999999,0.912,0.387,0.525,0.93,0.469,0.4610000000000001,0.5,0.5,,0.5,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.799,14.403,302.55,0.673,0.208,0.4650000000000001,0.857,0.308,0.5489999999999999,0.912,0.387,0.525,0.93,0.469,0.4610000000000001,0.5,0.75,,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b1,1000,0.799,14.403,302.55,0.673,0.208,0.4650000000000001,0.857,0.308,0.5489999999999999,0.912,0.387,0.525,0.93,0.469,0.4610000000000001,0.5,1.0,,1.0,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.8,15.498,307.115,0.571,0.164,0.4069999999999999,0.738,0.239,0.499,0.829,0.295,0.534,0.886,0.333,0.5529999999999999,0.49824999999999997,0.5,,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.8,15.498,307.115,0.571,0.164,0.4069999999999999,0.738,0.239,0.499,0.829,0.295,0.534,0.886,0.333,0.5529999999999999,0.49824999999999997,0.75,,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.8,15.498,307.115,0.571,0.164,0.4069999999999999,0.738,0.239,0.499,0.829,0.295,0.534,0.886,0.333,0.5529999999999999,0.49824999999999997,1.0,,1.0,20
