retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.948,1172.457,51537.241,0.868,0.081,0.787,0.887,0.087,0.8,0.897,0.094,0.803,0.905,0.099,0.806,0.799,0.5,0.5,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.942,858.852,37532.131,0.891,0.098,0.793,0.911,0.114,0.797,0.917,0.12,0.797,0.925,0.124,0.801,0.797,1.0,1.0,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.942,858.852,37532.128,0.891,0.098,0.793,0.911,0.114,0.797,0.917,0.12,0.797,0.925,0.124,0.801,0.797,1.5,1.5,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.942,858.852,37532.131,0.891,0.098,0.793,0.911,0.114,0.797,0.917,0.12,0.797,0.925,0.124,0.801,0.797,2.0,2.0,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.5,1000,0.95,1485.296,59649.742,0.841,0.068,0.7729999999999999,0.864,0.074,0.79,0.873,0.079,0.794,0.881,0.08,0.801,0.7895000000000001,0.75,0.75,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b1,1000,0.95,1485.296,59649.742,0.841,0.068,0.7729999999999999,0.864,0.074,0.79,0.873,0.079,0.794,0.881,0.08,0.801,0.7895000000000001,1.5,1.5,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.938,628.501,25371.44,0.909,0.117,0.792,0.921,0.133,0.788,0.927,0.14,0.787,0.935,0.157,0.778,0.78625,0.25,0.25,0.1,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.938,628.501,25371.44,0.909,0.117,0.792,0.921,0.133,0.788,0.927,0.14,0.787,0.935,0.157,0.778,0.78625,0.5,0.5,0.2,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.938,628.501,25371.44,0.909,0.117,0.792,0.921,0.133,0.788,0.927,0.14,0.787,0.935,0.157,0.778,0.78625,0.75,0.75,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.937,562.379,22710.492,0.909,0.122,0.787,0.923,0.139,0.784,0.932,0.154,0.778,0.937,0.164,0.773,0.7805000000000001,2.0,2.0,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.3,1000,0.921,13.689,310.457,0.853,0.097,0.756,0.891,0.111,0.78,0.908,0.128,0.78,0.923,0.141,0.782,0.7745,0.5,0.5,0.3,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.5,1000,0.92,13.35,309.933,0.891,0.119,0.772,0.914,0.141,0.773,0.922,0.155,0.767,0.931,0.162,0.769,0.77025,1.0,1.0,0.5,20
