retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.741,13.031,299.064,0.935,0.693,0.2420000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.19349999999999998,,,,
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.903,12.946,300.73,0.919,0.184,0.7350000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.31675,0.25,0.25,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.913,13.414,300.992,0.843,0.098,0.745,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.3192499999999999,0.25,0.25,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.871,14.704,301.135,0.462,0.039,0.42300000000000004,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.23874999999999996,0.25,0.25,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.749,15.305,301.047,0.305,0.043,0.262,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.19849999999999995,0.25,0.25,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.688,15.547,300.988,0.236,0.046,0.19,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.18049999999999997,0.25,0.25,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.67,15.639,300.97,0.206,0.047,0.15899999999999997,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.17274999999999993,0.25,0.25,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.894,12.915,300.548,0.926,0.231,0.6950000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.30674999999999997,0.5,0.5,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.903,12.946,300.73,0.919,0.184,0.7350000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.31675,0.5,0.5,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.91,13.084,300.875,0.903,0.134,0.769,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.32524999999999993,0.5,0.5,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.5,1000,0.897,14.009,301.073,0.719,0.066,0.653,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.29625,0.5,0.5,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.75,1000,0.818,15.0,301.104,0.383,0.042,0.341,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.21824999999999997,0.5,0.5,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b1,1000,0.749,15.305,301.047,0.305,0.043,0.262,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.19849999999999995,0.5,0.5,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.1,1000,0.891,12.91,300.473,0.927,0.256,0.671,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.30074999999999996,0.75,0.75,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.2,1000,0.896,12.92,300.623,0.926,0.208,0.7180000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.3125,0.75,0.75,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.3,1000,0.903,12.946,300.73,0.919,0.184,0.7350000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.31675,0.75,0.75,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.5,1000,0.907,13.168,300.903,0.892,0.127,0.765,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.3242499999999999,0.75,0.75,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.75,1000,0.897,14.009,301.073,0.719,0.066,0.653,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.29625,0.75,0.75,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b1,1000,0.849,14.856,301.131,0.416,0.038,0.378,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.22749999999999995,0.75,0.75,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.1,1000,0.89,12.911,300.43,0.927,0.27,0.657,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.791,0.16499999999999992,0.29725,1.0,1.0,0.1,5
