retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini,baseline,1000,0.742,13.013,299.54,0.935,0.694,0.2410000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.19349999999999998,,,,
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.916,14.57,301.713,0.562,0.026,0.536,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.26725,0.0,,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.916,14.57,301.713,0.562,0.026,0.536,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.26725,0.0,,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.916,14.57,301.713,0.562,0.026,0.536,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.26725,0.0,,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.916,14.57,301.713,0.562,0.026,0.536,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.26725,0.0,,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.916,14.57,301.713,0.562,0.026,0.536,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.26725,0.0,,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.916,14.57,301.713,0.562,0.026,0.536,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.26725,0.0,,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.814,12.948,300.21,0.932,0.481,0.45100000000000007,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.24599999999999997,0.25,,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.9,12.9,300.744,0.928,0.339,0.589,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.28049999999999997,0.25,,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.916,13.137,301.375,0.893,0.121,0.772,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.32624999999999993,0.25,,0.3,5
