retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.95,667.726,41991.333,0.892,0.048,0.844,0.903,0.058,0.845,0.907,0.059,0.8480000000000001,0.914,0.066,0.8480000000000001,0.84625,1.0,,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.957,886.245,47533.245,0.873,0.04,0.833,0.89,0.042,0.848,0.898,0.047,0.851,0.902,0.049,0.853,0.84625,0.25,,0.2,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.938,458.805,32795.07,0.907,0.07,0.837,0.913,0.093,0.8200000000000001,0.919,0.099,0.8200000000000001,0.927,0.115,0.812,0.8222500000000001,0.75,,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.938,458.805,32795.07,0.907,0.07,0.837,0.913,0.093,0.8200000000000001,0.919,0.099,0.8200000000000001,0.927,0.115,0.812,0.8222500000000001,1.5,,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.933,13.65,311.052,0.859,0.036,0.823,0.877,0.056,0.821,0.897,0.078,0.8190000000000001,0.915,0.093,0.8220000000000001,0.82125,0.25,,0.3,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.939,13.931,311.777,0.831,0.03,0.8009999999999999,0.867,0.044,0.823,0.878,0.052,0.826,0.898,0.069,0.829,0.81975,0.75,,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.75,1000,0.941,14.293,312.265,0.804,0.028,0.776,0.844,0.036,0.8079999999999999,0.864,0.047,0.817,0.877,0.05,0.827,0.8069999999999999,0.5,,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.934,338.645,25408.926,0.911,0.104,0.807,0.92,0.128,0.792,0.929,0.154,0.775,0.934,0.166,0.768,0.7855000000000001,0.5,,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.933,13.587,304.973,0.824,0.035,0.7889999999999999,0.874,0.061,0.813,0.902,0.093,0.809,0.937,0.219,0.7180000000000001,0.78225,0.5,,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.5,1000,0.961,2065.562,71335.08,0.789,0.028,0.761,0.81,0.031,0.779,0.819,0.032,0.7869999999999999,0.828,0.034,0.7939999999999999,0.78025,0.5,,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.75,1000,0.961,2065.562,71335.08,0.789,0.028,0.761,0.81,0.031,0.779,0.819,0.032,0.7869999999999999,0.828,0.034,0.7939999999999999,0.78025,0.75,,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b1,1000,0.961,2065.562,71335.08,0.789,0.028,0.761,0.81,0.031,0.779,0.819,0.032,0.7869999999999999,0.828,0.034,0.7939999999999999,0.78025,1.0,,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.5,1000,0.93,14.092,305.205,0.752,0.027,0.725,0.824,0.039,0.7849999999999999,0.865,0.068,0.7969999999999999,0.922,0.142,0.78,0.7717499999999999,0.25,,0.5,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b1,1000,0.93,14.092,305.205,0.752,0.027,0.725,0.824,0.039,0.7849999999999999,0.865,0.068,0.7969999999999999,0.922,0.142,0.78,0.7717499999999999,0.5,,1.0,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.933,13.41,304.768,0.852,0.041,0.8109999999999999,0.887,0.074,0.8130000000000001,0.915,0.126,0.789,0.94,0.289,0.651,0.766,0.75,,1.0,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.5,1000,0.939,15.441,312.793,0.705,0.016,0.689,0.752,0.026,0.726,0.793,0.033,0.76,0.828,0.039,0.7889999999999999,0.7409999999999999,0.25,,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b1,1000,0.939,15.441,312.793,0.705,0.016,0.689,0.752,0.026,0.726,0.793,0.033,0.76,0.828,0.039,0.7889999999999999,0.7409999999999999,0.5,,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.922,13.254,308.907,0.892,0.075,0.8170000000000001,0.916,0.151,0.765,0.931,0.222,0.7090000000000001,0.939,0.267,0.6719999999999999,0.74075,0.5,,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.922,13.254,308.907,0.892,0.075,0.8170000000000001,0.916,0.151,0.765,0.931,0.222,0.7090000000000001,0.939,0.267,0.6719999999999999,0.74075,0.75,,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.922,13.254,308.907,0.892,0.075,0.8170000000000001,0.916,0.151,0.765,0.931,0.222,0.7090000000000001,0.939,0.267,0.6719999999999999,0.74075,1.0,,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.3,1000,0.929,13.302,304.495,0.863,0.053,0.8099999999999999,0.899,0.094,0.805,0.925,0.189,0.736,0.941,0.346,0.595,0.7364999999999999,0.25,,0.3,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.75,1000,0.926,14.86,305.331,0.623,0.019,0.604,0.733,0.028,0.705,0.811,0.045,0.766,0.904,0.108,0.796,0.7177500000000001,0.25,,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.5,1000,0.92,180.748,15742.874,0.925,0.189,0.736,0.929,0.226,0.7030000000000001,0.938,0.253,0.6849999999999999,0.941,0.273,0.6679999999999999,0.698,1.0,,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.75,1000,0.92,180.748,15742.876,0.925,0.189,0.736,0.929,0.226,0.7030000000000001,0.938,0.253,0.6849999999999999,0.941,0.273,0.6679999999999999,0.698,1.5,,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b1,1000,0.92,180.748,15742.874,0.925,0.189,0.736,0.929,0.226,0.7030000000000001,0.938,0.253,0.6849999999999999,0.941,0.273,0.6679999999999999,0.698,2.0,,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.3,1000,0.964,5177.571,83087.639,0.677,0.018,0.659,0.701,0.018,0.6829999999999999,0.715,0.019,0.696,0.728,0.02,0.708,0.6865000000000001,0.25,,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b1,1000,0.926,15.368,305.372,0.553,0.015,0.538,0.674,0.025,0.649,0.765,0.042,0.723,0.899,0.094,0.805,0.6787500000000001,0.25,,1.0,10
