retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.959,931.91,54655.049,0.881,0.047,0.834,0.902,0.056,0.846,0.907,0.065,0.8420000000000001,0.917,0.069,0.8480000000000001,0.8425,0.5,0.5,0.3,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.5,1000,0.938,13.641,312.12,0.86,0.033,0.827,0.892,0.046,0.846,0.91,0.061,0.849,0.923,0.075,0.8480000000000001,0.8425,0.5,0.5,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.75,1000,0.938,13.641,312.12,0.86,0.033,0.827,0.892,0.046,0.846,0.91,0.061,0.849,0.923,0.075,0.8480000000000001,0.8425,0.75,0.75,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b1,1000,0.938,13.641,312.12,0.86,0.033,0.827,0.892,0.046,0.846,0.91,0.061,0.849,0.923,0.075,0.8480000000000001,0.8425,1.0,1.0,1.0,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.5,1000,0.958,1136.733,61514.218,0.869,0.043,0.826,0.89,0.046,0.844,0.898,0.05,0.848,0.909,0.057,0.852,0.8424999999999999,0.75,0.75,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b1,1000,0.958,1136.733,61514.218,0.869,0.043,0.826,0.89,0.046,0.844,0.898,0.05,0.848,0.909,0.057,0.852,0.8424999999999999,1.5,1.5,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.25_b0.2,1000,0.936,13.325,311.507,0.899,0.061,0.8380000000000001,0.916,0.073,0.8430000000000001,0.924,0.09,0.8340000000000001,0.938,0.104,0.834,0.83725,0.25,0.25,0.2,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.953,681.58,43158.333,0.9,0.066,0.8340000000000001,0.915,0.079,0.8360000000000001,0.919,0.083,0.8360000000000001,0.924,0.084,0.8400000000000001,0.8365,1.0,1.0,0.5,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.953,681.58,43158.333,0.9,0.066,0.8340000000000001,0.915,0.079,0.8360000000000001,0.919,0.083,0.8360000000000001,0.924,0.084,0.8400000000000001,0.8365,1.5,1.5,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.953,681.58,43158.333,0.9,0.066,0.8340000000000001,0.915,0.079,0.8360000000000001,0.919,0.083,0.8360000000000001,0.924,0.084,0.8400000000000001,0.8365,2.0,2.0,1.0,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.75,1000,0.935,13.274,311.336,0.906,0.069,0.837,0.918,0.082,0.8360000000000001,0.928,0.098,0.8300000000000001,0.938,0.116,0.822,0.83125,1.0,1.0,0.75,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.75,1000,0.962,1452.822,68613.457,0.843,0.034,0.8089999999999999,0.866,0.036,0.83,0.878,0.039,0.839,0.885,0.04,0.845,0.8307499999999999,1.0,1.0,0.75,all
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.5,1000,0.931,13.192,311.024,0.912,0.079,0.8330000000000001,0.922,0.097,0.8250000000000001,0.935,0.114,0.8210000000000001,0.941,0.134,0.8069999999999999,0.8215,0.75,0.75,0.5,20
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b1,1000,0.931,13.192,311.024,0.912,0.079,0.8330000000000001,0.922,0.097,0.8250000000000001,0.935,0.114,0.8210000000000001,0.941,0.134,0.8069999999999999,0.8215,1.5,1.5,1.0,20
