retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.742,13.013,299.54,0.935,0.694,0.2410000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.19349999999999998,,,,
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.91,12.876,301.191,0.929,0.185,0.744,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.3192499999999999,0.25,0.25,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.921,12.956,301.44,0.918,0.107,0.811,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33599999999999997,0.25,0.25,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.922,13.241,301.596,0.873,0.059,0.8140000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33674999999999994,0.25,0.25,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.921,13.59,301.671,0.796,0.035,0.761,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.32349999999999995,0.25,0.25,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.921,13.872,301.69,0.736,0.032,0.704,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.3092499999999999,0.25,0.25,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.919,14.013,301.696,0.709,0.031,0.6779999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.30274999999999996,0.25,0.25,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.902,12.876,300.999,0.929,0.245,0.684,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.30424999999999996,0.5,0.5,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.91,12.876,301.191,0.929,0.185,0.744,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.3192499999999999,0.5,0.5,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.917,12.904,301.34,0.922,0.135,0.787,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.32999999999999996,0.5,0.5,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.5,1000,0.921,13.086,301.513,0.908,0.086,0.8220000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33874999999999994,0.5,0.5,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.75,1000,0.921,13.389,301.642,0.833,0.044,0.7889999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.3304999999999999,0.5,0.5,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b1,1000,0.921,13.59,301.671,0.796,0.035,0.761,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.32349999999999995,0.5,0.5,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.1,1000,0.896,12.88,300.914,0.93,0.271,0.659,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.29799999999999993,0.75,0.75,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.2,1000,0.905,12.875,301.073,0.929,0.219,0.7100000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.31074999999999997,0.75,0.75,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.3,1000,0.91,12.876,301.191,0.929,0.185,0.744,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.3192499999999999,0.75,0.75,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.5,1000,0.918,12.917,301.376,0.921,0.128,0.793,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33149999999999996,0.75,0.75,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.75,1000,0.921,13.086,301.513,0.908,0.086,0.8220000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33874999999999994,0.75,0.75,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b1,1000,0.923,13.304,301.626,0.857,0.049,0.8079999999999999,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33524999999999994,0.75,0.75,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.1,1000,0.893,12.881,300.883,0.93,0.281,0.649,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.2955,1.0,1.0,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.2,1000,0.902,12.876,300.999,0.929,0.245,0.684,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.30424999999999996,1.0,1.0,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.3,1000,0.906,12.874,301.103,0.93,0.21,0.7200000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.31325,1.0,1.0,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.5,1000,0.912,12.888,301.258,0.925,0.164,0.761,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.32349999999999995,1.0,1.0,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.75,1000,0.92,12.932,301.422,0.919,0.111,0.808,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33525,1.0,1.0,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b1,1000,0.921,13.086,301.513,0.908,0.086,0.8220000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33874999999999994,1.0,1.0,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.1,1000,0.891,12.88,300.832,0.931,0.3,0.631,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.2909999999999999,1.5,1.5,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.2,1000,0.896,12.88,300.914,0.93,0.271,0.659,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.29799999999999993,1.5,1.5,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.3,1000,0.902,12.876,300.999,0.929,0.245,0.684,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.30424999999999996,1.5,1.5,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.5,1000,0.908,12.875,301.133,0.93,0.202,0.728,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.3152499999999999,1.5,1.5,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.75,1000,0.912,12.888,301.258,0.925,0.164,0.761,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.32349999999999995,1.5,1.5,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b1,1000,0.918,12.917,301.376,0.921,0.128,0.793,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.33149999999999996,1.5,1.5,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.1,1000,0.89,12.88,300.815,0.931,0.304,0.627,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.2899999999999999,2.0,2.0,0.1,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.2,1000,0.893,12.881,300.883,0.93,0.281,0.649,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.2955,2.0,2.0,0.2,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.3,1000,0.898,12.878,300.936,0.93,0.264,0.666,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.29974999999999996,2.0,2.0,0.3,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.5,1000,0.904,12.874,301.051,0.929,0.223,0.7060000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.30974999999999997,2.0,2.0,0.5,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.75,1000,0.909,12.877,301.171,0.929,0.188,0.7410000000000001,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.3185,2.0,2.0,0.75,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b1,1000,0.912,12.888,301.258,0.925,0.164,0.761,0.943,0.748,0.19499999999999995,0.947,0.775,0.17199999999999993,0.956,0.79,0.16599999999999993,0.32349999999999995,2.0,2.0,1.0,5
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.1,1000,0.915,12.936,303.968,0.922,0.144,0.778,0.934,0.18,0.754,0.94,0.232,0.708,0.947,0.351,0.596,0.7090000000000001,0.25,0.25,0.1,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.2,1000,0.93,13.075,304.699,0.909,0.072,0.8370000000000001,0.923,0.099,0.8240000000000001,0.935,0.131,0.804,0.945,0.238,0.707,0.7929999999999999,0.25,0.25,0.2,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.3,1000,0.933,13.528,305.115,0.832,0.031,0.8009999999999999,0.888,0.047,0.841,0.915,0.074,0.8410000000000001,0.94,0.174,0.766,0.81225,0.25,0.25,0.3,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.5,1000,0.93,14.411,305.311,0.703,0.02,0.6829999999999999,0.79,0.034,0.756,0.853,0.054,0.7989999999999999,0.919,0.102,0.8170000000000001,0.76375,0.25,0.25,0.5,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b0.75,1000,0.929,15.19,305.369,0.573,0.015,0.5579999999999999,0.7,0.026,0.6739999999999999,0.796,0.045,0.751,0.905,0.091,0.8140000000000001,0.6992499999999999,0.25,0.25,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.25_b1,1000,0.928,15.668,305.394,0.504,0.013,0.491,0.643,0.022,0.621,0.749,0.041,0.708,0.899,0.088,0.811,0.6577500000000001,0.25,0.25,1.0,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.1,1000,0.907,12.911,303.347,0.927,0.201,0.726,0.937,0.258,0.679,0.942,0.325,0.617,0.949,0.443,0.506,0.6320000000000001,0.5,0.5,0.1,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.2,1000,0.915,12.936,303.968,0.922,0.144,0.778,0.934,0.18,0.754,0.94,0.232,0.708,0.947,0.351,0.596,0.7090000000000001,0.5,0.5,0.2,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.3,1000,0.924,12.971,304.407,0.917,0.096,0.8210000000000001,0.93,0.135,0.795,0.939,0.174,0.7649999999999999,0.948,0.287,0.661,0.7605000000000001,0.5,0.5,0.3,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.5,1000,0.932,13.257,304.942,0.884,0.045,0.839,0.912,0.07,0.8420000000000001,0.93,0.104,0.8260000000000001,0.943,0.203,0.74,0.81175,0.5,0.5,0.5,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b0.75,1000,0.934,13.894,305.248,0.78,0.026,0.754,0.849,0.039,0.8099999999999999,0.89,0.059,0.831,0.934,0.121,0.8130000000000001,0.802,0.5,0.5,0.75,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.5_b1,1000,0.93,14.411,305.311,0.703,0.02,0.6829999999999999,0.79,0.034,0.756,0.853,0.054,0.7989999999999999,0.919,0.102,0.8170000000000001,0.76375,0.5,0.5,1.0,10
qwen3-embedding-4b-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c10_g0.75_b0.1,1000,0.902,12.907,303.106,0.929,0.231,0.6980000000000001,0.938,0.291,0.647,0.944,0.353,0.591,0.948,0.478,0.47,0.6015,0.75,0.75,0.1,10
