retriever,method,samples,recall@3,violation_rate@3,right_rank,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n,recall_minus_violation
bm25,score_anti_rrf_call_a0.75_b1,1000,0.721,0.097,0.928,1663.827,33435.138,0.75,1.0,all,0.624
bm25,score_anti_rrf_call_a1_b1,1000,0.797,0.174,0.903,818.42,23596.684,1.0,1.0,all,0.623
bm25,score_anti_rrf_c20_a0.25_b1,1000,0.738,0.132,0.858,506.127,276.925,0.25,1.0,20,0.606
bm25,score_anti_rrf_c10_a0_b1,1000,0.655,0.049,0.843,506.352,273.074,0.0,1.0,10,0.606
bm25,score_anti_rrf_call_a0.5_b1,1000,0.625,0.022,0.949,3668.337,47331.972,0.5,1.0,all,0.603
bm25,score_anti_rrf_c20_a0_b1,1000,0.571,0.01,0.866,508.086,280.65,0.0,1.0,20,0.5609999999999999
bm25,score_anti_rrf_call_a0.75_b0.75,1000,0.814,0.261,0.848,608.163,16650.395,0.75,0.75,all,0.5529999999999999
bm25,score_anti_rrf_call_a0.5_b0.75,1000,0.726,0.174,0.875,1482.69,25396.926,0.5,0.75,all,0.552
bm25,score_anti_rrf_call_a0.25_b0.75,1000,0.594,0.051,0.904,3691.934,38013.58,0.25,0.75,all,0.5429999999999999
bm25,score_anti_rrf_c10_a0.25_b1,1000,0.777,0.238,0.839,505.575,271.488,0.25,1.0,10,0.539
bm25,score_anti_rrf_c20_a0_b0.75,1000,0.687,0.163,0.809,506.637,275.917,0.0,0.75,20,0.524
bm25,score_anti_rrf_call_a1_b0.75,1000,0.862,0.344,0.827,234.719,11237.386,1.0,0.75,all,0.518
bm25,score_anti_rrf_c20_a0.5_b1,1000,0.821,0.304,0.834,505.373,274.427,0.5,1.0,20,0.5169999999999999
bm25,score_anti_rrf_c5_a0_b1,1000,0.765,0.25,0.801,505.601,269.633,0.0,1.0,5,0.515
bm25,score_anti_rrf_c10_a0_b0.75,1000,0.749,0.294,0.79,505.817,271.073,0.0,0.75,10,0.455
bm25,score_anti_rrf_c20_a0.75_b1,1000,0.867,0.417,0.807,505.034,272.868,0.75,1.0,20,0.45
bm25,score_anti_rrf_c10_a0.5_b1,1000,0.832,0.386,0.814,505.273,270.535,0.5,1.0,10,0.44599999999999995
bm25,score_anti_rrf_call_a0.25_b1,1000,0.445,0.003,0.955,9051.062,67692.641,0.25,1.0,all,0.442
bm25,score_anti_rrf_call_a0.25_b0.5,1000,0.703,0.266,0.789,1493.872,17451.065,0.25,0.5,all,0.43699999999999994
bm25,score_anti_rrf_c20_a0.25_b0.75,1000,0.797,0.368,0.792,505.57,273.409,0.25,0.75,20,0.42900000000000005
bm25,score_anti_rrf_call_a0_b0.5,1000,0.548,0.128,0.791,4507.461,28473.216,0.0,0.5,all,0.42000000000000004
bm25,score_anti_rrf_call_a0.5_b0.5,1000,0.809,0.402,0.772,566.706,9920.221,0.5,0.5,all,0.40700000000000003
bm25,score_anti_rrf_call_a0_b0.75,1000,0.404,0.004,0.915,9689.619,57474.706,0.0,0.75,all,0.4
bm25,score_anti_rrf_call_a0.75_b0.5,1000,0.866,0.479,0.759,188.22,6059.63,0.75,0.5,all,0.387
bm25,score_anti_rrf_c20_a1_b1,1000,0.876,0.494,0.77,504.953,271.873,1.0,1.0,20,0.382
bm25,score_anti_rrf_c5_a0.25_b1,1000,0.817,0.436,0.805,505.339,269.107,0.25,1.0,5,0.38099999999999995
bm25,score_anti_rrf_c10_a0.75_b1,1000,0.859,0.486,0.785,505.145,269.883,0.75,1.0,10,0.373
bm25,score_anti_rrf_c20_a0.5_b0.75,1000,0.857,0.484,0.775,505.125,271.845,0.5,0.75,20,0.373
