retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini,baseline,1000,0.666,24.552,42.827,0.931,0.835,0.09600000000000009,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06374999999999997,,,,
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.725,26.547,45.249,0.377,0.063,0.314,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11824999999999995,0.0,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.725,26.547,45.249,0.377,0.063,0.314,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11824999999999995,0.0,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.725,26.547,45.249,0.377,0.063,0.314,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11824999999999995,0.0,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.725,26.547,45.249,0.377,0.063,0.314,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11824999999999995,0.0,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.725,26.547,45.249,0.377,0.063,0.314,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11824999999999995,0.0,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.725,26.547,45.249,0.377,0.063,0.314,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11824999999999995,0.0,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.755,24.465,43.328,0.928,0.696,0.2320000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09774999999999998,0.25,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.824,24.448,43.977,0.914,0.508,0.406,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.14124999999999996,0.25,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.828,25.351,44.948,0.685,0.19,0.49500000000000005,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.16349999999999998,0.25,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.777,25.838,45.221,0.553,0.085,0.468,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.15674999999999994,0.25,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.75,1000,0.76,26.062,45.252,0.492,0.077,0.415,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.14349999999999996,0.25,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b1,1000,0.75,26.186,45.259,0.459,0.072,0.387,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.13649999999999995,0.25,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.1,1000,0.705,24.506,43.046,0.931,0.771,0.16000000000000003,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07974999999999996,0.5,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.2,1000,0.755,24.465,43.328,0.928,0.696,0.2320000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09774999999999998,0.5,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.3,1000,0.794,24.437,43.63,0.927,0.605,0.32200000000000006,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.12024999999999997,0.5,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.5,1000,0.83,24.76,44.409,0.886,0.382,0.504,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.16574999999999995,0.5,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.75,1000,0.8,25.611,45.135,0.616,0.114,0.502,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.16524999999999995,0.5,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b1,1000,0.777,25.838,45.221,0.553,0.085,0.468,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.15674999999999994,0.5,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.1,1000,0.696,24.516,42.965,0.931,0.798,0.133,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07299999999999995,0.75,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.2,1000,0.723,24.488,43.121,0.929,0.752,0.17700000000000005,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08399999999999996,0.75,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.3,1000,0.755,24.465,43.328,0.928,0.696,0.2320000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09774999999999998,0.75,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.5,1000,0.8,24.445,43.738,0.923,0.569,0.3540000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.12824999999999998,0.75,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b0.75,1000,0.83,24.76,44.409,0.886,0.382,0.504,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.16574999999999995,0.75,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.75_b1,1000,0.812,25.485,45.049,0.646,0.151,0.495,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.16349999999999995,0.75,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.1,1000,0.689,24.523,42.932,0.932,0.805,0.127,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07149999999999995,1.0,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.2,1000,0.705,24.506,43.046,0.931,0.771,0.16000000000000003,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07974999999999996,1.0,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.3,1000,0.73,24.484,43.156,0.928,0.746,0.18200000000000005,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08524999999999996,1.0,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.5,1000,0.772,24.451,43.457,0.93,0.661,0.269,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.10699999999999996,1.0,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b0.75,1000,0.816,24.443,43.886,0.919,0.53,0.389,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.13699999999999996,1.0,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1_b1,1000,0.83,24.76,44.409,0.886,0.382,0.504,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.16574999999999995,1.0,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.1,1000,0.679,24.533,42.894,0.932,0.814,0.1180000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06924999999999998,1.5,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.2,1000,0.696,24.516,42.965,0.931,0.798,0.133,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07299999999999995,1.5,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.3,1000,0.705,24.506,43.046,0.931,0.771,0.16000000000000003,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07974999999999996,1.5,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.5,1000,0.739,24.477,43.213,0.928,0.73,0.19800000000000006,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08924999999999997,1.5,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b0.75,1000,0.772,24.451,43.457,0.93,0.661,0.269,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.10699999999999996,1.5,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a1.5_b1,1000,0.8,24.445,43.738,0.923,0.569,0.3540000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.12824999999999998,1.5,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.1,1000,0.675,24.54,42.879,0.932,0.819,0.1130000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06799999999999998,2.0,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.2,1000,0.689,24.523,42.932,0.932,0.805,0.127,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07149999999999995,2.0,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.3,1000,0.696,24.517,42.989,0.931,0.791,0.14,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07474999999999996,2.0,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.5,1000,0.719,24.491,43.101,0.93,0.759,0.17100000000000004,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08249999999999996,2.0,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b0.75,1000,0.748,24.467,43.285,0.928,0.705,0.2230000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09549999999999997,2.0,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a2_b1,1000,0.772,24.451,43.457,0.93,0.661,0.269,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.10699999999999996,2.0,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0_b0.1,1000,0.717,30.117,49.545,0.172,0.022,0.15,0.26,0.031,0.229,0.354,0.047,0.307,0.671,0.272,0.399,0.27125,0.0,,0.1,10
