retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.863,202.584,14429.304,0.809,0.187,0.6220000000000001,0.835,0.208,0.627,0.848,0.227,0.621,0.858,0.236,0.622,0.623,1.0,,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.869,373.196,20460.519,0.742,0.137,0.605,0.771,0.165,0.606,0.785,0.175,0.6100000000000001,0.796,0.181,0.615,0.609,0.25,,0.2,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.857,65.645,7724.337,0.875,0.25,0.625,0.898,0.294,0.6040000000000001,0.908,0.317,0.591,0.914,0.338,0.5760000000000001,0.599,0.75,,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.857,65.645,7724.337,0.875,0.25,0.625,0.898,0.294,0.6040000000000001,0.908,0.317,0.591,0.914,0.338,0.5760000000000001,0.599,1.5,,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.839,25.804,51.919,0.745,0.15,0.595,0.846,0.25,0.596,0.886,0.338,0.548,0.91,0.403,0.507,0.5615,0.5,,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.839,25.804,51.919,0.745,0.15,0.595,0.846,0.25,0.596,0.886,0.338,0.548,0.91,0.403,0.507,0.5615,0.75,,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.839,25.804,51.919,0.745,0.15,0.595,0.846,0.25,0.596,0.886,0.338,0.548,0.91,0.403,0.507,0.5615,1.0,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.849,33.207,4363.552,0.906,0.308,0.5980000000000001,0.918,0.37,0.548,0.921,0.398,0.523,0.931,0.425,0.506,0.54375,0.5,,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.834,29.373,55.578,0.559,0.052,0.507,0.591,0.077,0.514,0.615,0.108,0.507,0.653,0.139,0.514,0.5105,0.25,,0.3,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.81,30.524,56.659,0.516,0.038,0.47800000000000004,0.544,0.056,0.48800000000000004,0.572,0.076,0.49599999999999994,0.597,0.097,0.5,0.4905,0.75,,1.0,20
