retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.947,790.665,39289.413,0.86,0.077,0.783,0.884,0.092,0.792,0.896,0.098,0.798,0.903,0.104,0.799,0.793,1.0,1.0,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.947,790.665,39289.416,0.86,0.077,0.783,0.884,0.092,0.792,0.896,0.098,0.798,0.903,0.104,0.799,0.793,1.5,1.5,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.947,790.665,39289.413,0.86,0.077,0.783,0.884,0.092,0.792,0.896,0.098,0.798,0.903,0.104,0.799,0.793,2.0,2.0,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.94,569.781,27331.638,0.889,0.093,0.796,0.906,0.114,0.792,0.911,0.126,0.785,0.92,0.135,0.785,0.7895000000000001,0.25,0.25,0.1,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.94,569.781,27331.638,0.889,0.093,0.796,0.906,0.114,0.792,0.911,0.126,0.785,0.92,0.135,0.785,0.7895000000000001,0.5,0.5,0.2,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.94,569.781,27331.64,0.889,0.093,0.796,0.906,0.114,0.792,0.911,0.126,0.785,0.92,0.135,0.785,0.7895000000000001,0.75,0.75,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.94,525.821,24649.97,0.893,0.098,0.795,0.909,0.119,0.79,0.917,0.137,0.78,0.921,0.145,0.776,0.78525,2.0,2.0,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.5,1000,0.941,462.346,20500.348,0.9,0.108,0.792,0.913,0.136,0.777,0.921,0.151,0.77,0.925,0.163,0.762,0.77525,1.5,1.5,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.951,1183.424,51743.141,0.818,0.056,0.7619999999999999,0.838,0.068,0.77,0.851,0.072,0.779,0.867,0.077,0.79,0.77525,0.5,0.5,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.5,1000,0.918,25.027,55.933,0.874,0.093,0.781,0.899,0.122,0.777,0.91,0.139,0.771,0.92,0.155,0.765,0.7735000000000001,1.0,1.0,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b0.75,1000,0.918,25.027,55.933,0.874,0.093,0.781,0.899,0.122,0.777,0.91,0.139,0.771,0.92,0.155,0.765,0.7735000000000001,1.5,1.5,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g2_b1,1000,0.918,25.027,55.933,0.874,0.093,0.781,0.899,0.122,0.777,0.91,0.139,0.771,0.92,0.155,0.765,0.7735000000000001,2.0,2.0,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.3,1000,0.937,421.488,17486.611,0.904,0.12,0.784,0.916,0.148,0.768,0.923,0.162,0.761,0.927,0.17,0.757,0.7675000000000001,1.0,1.0,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.3,1000,0.92,25.374,56.432,0.828,0.082,0.746,0.869,0.101,0.768,0.884,0.117,0.767,0.909,0.131,0.778,0.76475,0.5,0.5,0.3,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.25_b0.1,1000,0.915,24.828,55.268,0.896,0.111,0.785,0.911,0.147,0.764,0.92,0.166,0.754,0.928,0.184,0.744,0.7617499999999999,0.25,0.25,0.1,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.2,1000,0.915,24.828,55.268,0.896,0.111,0.785,0.911,0.147,0.764,0.92,0.166,0.754,0.928,0.184,0.744,0.7617499999999999,0.5,0.5,0.2,20
