retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.666,24.552,42.827,0.931,0.835,0.09600000000000009,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06374999999999997,,,,
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.905,24.426,44.986,0.913,0.174,0.7390000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22449999999999998,0.25,0.25,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.913,24.773,45.23,0.856,0.104,0.752,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22774999999999995,0.25,0.25,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.897,25.392,45.377,0.675,0.058,0.617,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19399999999999995,0.25,0.25,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.836,25.847,45.362,0.549,0.053,0.49600000000000005,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.16374999999999995,0.25,0.25,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.793,26.079,45.32,0.501,0.056,0.445,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.15099999999999997,0.25,0.25,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.778,26.196,45.308,0.469,0.057,0.412,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.14274999999999993,0.25,0.25,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.898,24.379,44.774,0.921,0.251,0.67,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.20724999999999996,0.5,0.5,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.905,24.426,44.986,0.913,0.174,0.7390000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22449999999999998,0.5,0.5,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.908,24.552,45.128,0.9,0.133,0.767,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.23149999999999996,0.5,0.5,0.3,5
