retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.8,653.467,12758.391,0.704,0.235,0.469,0.739,0.274,0.46499999999999997,0.76,0.292,0.468,0.772,0.304,0.468,0.46749999999999997,0.25,,0.2,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.794,312.244,8315.835,0.782,0.3,0.48200000000000004,0.816,0.351,0.46499999999999997,0.831,0.372,0.45899999999999996,0.84,0.388,0.45199999999999996,0.4645,1.0,,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.5,1000,0.771,26.991,51.256,0.598,0.182,0.416,0.762,0.281,0.481,0.832,0.368,0.46399999999999997,0.867,0.429,0.438,0.44975,0.5,,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.75,1000,0.771,26.991,51.256,0.598,0.182,0.416,0.762,0.281,0.481,0.832,0.368,0.46399999999999997,0.867,0.429,0.438,0.44975,0.75,,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b1,1000,0.771,26.991,51.256,0.598,0.182,0.416,0.762,0.281,0.481,0.832,0.368,0.46399999999999997,0.867,0.429,0.438,0.44975,1.0,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.792,90.901,3855.904,0.864,0.404,0.45999999999999996,0.884,0.47,0.41400000000000003,0.893,0.507,0.386,0.901,0.523,0.378,0.4095,0.75,,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.792,90.901,3855.904,0.864,0.404,0.45999999999999996,0.884,0.47,0.41400000000000003,0.893,0.507,0.386,0.901,0.523,0.378,0.4095,1.5,,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.5,1000,0.774,25.927,46.67,0.669,0.234,0.43500000000000005,0.837,0.395,0.44199999999999995,0.893,0.514,0.379,0.937,0.631,0.30600000000000005,0.3905,0.5,,0.5,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.75,1000,0.774,25.927,46.67,0.669,0.234,0.43500000000000005,0.837,0.395,0.44199999999999995,0.893,0.514,0.379,0.937,0.631,0.30600000000000005,0.3905,0.75,,0.75,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b1,1000,0.774,25.927,46.67,0.669,0.234,0.43500000000000005,0.837,0.395,0.44199999999999995,0.893,0.514,0.379,0.937,0.631,0.30600000000000005,0.3905,1.0,,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.782,49.338,1901.533,0.89,0.484,0.406,0.907,0.555,0.352,0.914,0.58,0.3340000000000001,0.921,0.601,0.32000000000000006,0.35300000000000004,0.5,,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.2,1000,0.778,24.922,47.668,0.883,0.47,0.41300000000000003,0.903,0.553,0.35,0.918,0.596,0.32200000000000006,0.929,0.629,0.30000000000000004,0.34625,0.25,,0.2,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b0.75,1000,0.774,24.822,47.049,0.89,0.518,0.372,0.912,0.598,0.31400000000000006,0.927,0.642,0.28500000000000003,0.936,0.663,0.273,0.31100000000000005,1.0,,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.3,1000,0.734,28.371,48.321,0.369,0.09,0.279,0.452,0.152,0.30000000000000004,0.566,0.25,0.31599999999999995,0.809,0.467,0.342,0.30925,0.25,,0.3,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.2,1000,0.778,24.71,45.112,0.885,0.486,0.399,0.913,0.583,0.33000000000000007,0.933,0.651,0.28200000000000003,0.947,0.746,0.20099999999999996,0.30300000000000005,0.25,,0.2,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.739,32.99,55.587,0.318,0.058,0.26,0.36,0.085,0.27499999999999997,0.394,0.112,0.28200000000000003,0.439,0.142,0.29700000000000004,0.27849999999999997,0.25,,0.3,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b0.75,1000,0.774,24.652,44.841,0.898,0.528,0.37,0.917,0.613,0.30400000000000005,0.937,0.682,0.255,0.949,0.769,0.17999999999999994,0.27725,1.0,,0.75,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.697,29.033,48.674,0.324,0.065,0.259,0.376,0.117,0.259,0.463,0.183,0.28,0.716,0.411,0.305,0.27575,0.75,,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.5,1000,0.773,33.576,643.813,0.905,0.588,0.31700000000000006,0.921,0.648,0.273,0.935,0.683,0.252,0.941,0.705,0.236,0.2695,1.0,,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.75,1000,0.773,33.576,643.813,0.905,0.588,0.31700000000000006,0.921,0.648,0.273,0.935,0.683,0.252,0.941,0.705,0.236,0.2695,1.5,,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b1,1000,0.773,33.576,643.813,0.905,0.588,0.31700000000000006,0.921,0.648,0.273,0.935,0.683,0.252,0.941,0.705,0.236,0.2695,2.0,,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b0.5,1000,0.766,24.703,46.143,0.904,0.582,0.32200000000000006,0.922,0.656,0.266,0.937,0.689,0.2480000000000001,0.944,0.719,0.22499999999999998,0.26525000000000004,0.75,,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b1,1000,0.766,24.703,46.143,0.904,0.582,0.32200000000000006,0.922,0.656,0.266,0.937,0.689,0.2480000000000001,0.944,0.719,0.22499999999999998,0.26525000000000004,1.5,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.683,29.463,48.912,0.276,0.051,0.22500000000000003,0.337,0.087,0.25,0.411,0.147,0.264,0.67,0.381,0.28900000000000003,0.257,0.5,,0.75,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.698,34.663,56.607,0.273,0.042,0.231,0.307,0.062,0.245,0.337,0.079,0.258,0.362,0.1,0.262,0.249,0.75,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b0.5,1000,0.76,24.595,44.406,0.907,0.587,0.32000000000000006,0.926,0.669,0.257,0.944,0.734,0.20999999999999996,0.951,0.802,0.1489999999999999,0.23399999999999999,0.75,,0.5,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1.5_b1,1000,0.76,24.595,44.406,0.907,0.587,0.32000000000000006,0.926,0.669,0.257,0.944,0.734,0.20999999999999996,0.951,0.802,0.1489999999999999,0.23399999999999999,1.5,,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.3,1000,0.757,24.632,45.54,0.913,0.63,0.28300000000000003,0.93,0.692,0.2380000000000001,0.943,0.729,0.21399999999999997,0.947,0.76,0.18699999999999994,0.2305,0.5,,0.3,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.75,1000,0.671,35.79,57.237,0.236,0.038,0.19799999999999998,0.264,0.049,0.21500000000000002,0.288,0.057,0.23099999999999998,0.305,0.068,0.237,0.22025,0.5,,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.3,1000,0.753,24.556,44.162,0.915,0.626,0.28900000000000003,0.932,0.705,0.2270000000000001,0.947,0.753,0.19399999999999995,0.953,0.818,0.135,0.21125000000000002,0.5,,0.3,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.1,1000,0.753,28.809,266.178,0.92,0.661,0.259,0.937,0.725,0.21200000000000008,0.947,0.76,0.18699999999999994,0.949,0.775,0.17399999999999993,0.208,0.25,,0.1,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.2,1000,0.753,28.809,266.178,0.92,0.661,0.259,0.937,0.725,0.21200000000000008,0.947,0.76,0.18699999999999994,0.949,0.775,0.17399999999999993,0.208,0.5,,0.2,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.3,1000,0.753,28.809,266.178,0.92,0.661,0.259,0.937,0.725,0.21200000000000008,0.947,0.76,0.18699999999999994,0.949,0.775,0.17399999999999993,0.208,0.75,,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.5,1000,0.645,30.152,49.106,0.205,0.038,0.16699999999999998,0.26,0.065,0.195,0.311,0.103,0.20800000000000002,0.608,0.365,0.243,0.20325000000000001,0.25,,0.5,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b1,1000,0.645,30.152,49.106,0.205,0.038,0.16699999999999998,0.26,0.065,0.195,0.311,0.103,0.20800000000000002,0.608,0.365,0.243,0.20325000000000001,0.5,,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a2_b0.75,1000,0.748,28.158,221.023,0.919,0.673,0.246,0.938,0.741,0.19699999999999995,0.948,0.776,0.17199999999999993,0.949,0.788,0.16099999999999992,0.19399999999999995,2.0,,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1_b0.5,1000,0.74,24.575,44.772,0.921,0.681,0.24,0.935,0.741,0.19400000000000006,0.946,0.777,0.16899999999999993,0.951,0.801,0.1499999999999999,0.18824999999999997,1.0,,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a1.5_b0.75,1000,0.74,24.575,44.772,0.921,0.681,0.24,0.935,0.741,0.19400000000000006,0.946,0.777,0.16899999999999993,0.951,0.801,0.1499999999999999,0.18824999999999997,1.5,,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a2_b1,1000,0.74,24.575,44.772,0.921,0.681,0.24,0.935,0.741,0.19400000000000006,0.946,0.777,0.16899999999999993,0.951,0.801,0.1499999999999999,0.18824999999999997,2.0,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.5,1000,0.776,25568.669,61385.311,0.194,0.023,0.171,0.208,0.027,0.181,0.215,0.03,0.185,0.222,0.03,0.192,0.18224999999999997,0.5,,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.75,1000,0.776,25568.671,61385.304,0.194,0.023,0.171,0.208,0.027,0.181,0.215,0.03,0.185,0.222,0.03,0.192,0.18224999999999997,0.75,,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b1,1000,0.776,25568.669,61385.311,0.194,0.023,0.171,0.208,0.027,0.181,0.215,0.03,0.185,0.222,0.03,0.192,0.18224999999999997,1.0,,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b0.5,1000,0.741,27.289,163.775,0.925,0.705,0.22000000000000008,0.94,0.762,0.17799999999999994,0.947,0.792,0.15499999999999992,0.952,0.813,0.139,0.173,1.5,,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1_b0.5,1000,0.742,24.531,43.784,0.921,0.69,0.2310000000000001,0.936,0.755,0.18100000000000005,0.949,0.793,0.15599999999999992,0.955,0.838,0.11699999999999999,0.17125,1.0,,0.5,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a1.5_b0.75,1000,0.742,24.531,43.784,0.921,0.69,0.2310000000000001,0.936,0.755,0.18100000000000005,0.949,0.793,0.15599999999999992,0.955,0.838,0.11699999999999999,0.17125,1.5,,0.75,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a2_b1,1000,0.742,24.531,43.784,0.921,0.69,0.2310000000000001,0.936,0.755,0.18100000000000005,0.949,0.793,0.15599999999999992,0.955,0.838,0.11699999999999999,0.17125,2.0,,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.5,1000,0.635,37.425,57.846,0.158,0.026,0.132,0.185,0.035,0.15,0.211,0.043,0.16799999999999998,0.228,0.047,0.181,0.15775,0.25,,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b1,1000,0.635,37.425,57.846,0.158,0.026,0.132,0.185,0.035,0.15,0.211,0.043,0.16799999999999998,0.228,0.047,0.181,0.15775,0.5,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.3,1000,0.733,26.657,130.762,0.925,0.726,0.19900000000000007,0.939,0.778,0.16099999999999992,0.947,0.804,0.1429999999999999,0.952,0.826,0.126,0.15724999999999997,1.0,,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.1,1000,0.728,24.54,44.155,0.925,0.726,0.19900000000000007,0.941,0.785,0.15599999999999992,0.951,0.815,0.136,0.953,0.837,0.11599999999999999,0.15175,0.25,,0.1,20
