retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini,baseline,1000,0.666,24.55,42.755,0.931,0.835,0.09600000000000009,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06374999999999997,,,,
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.1,1000,0.587,27.095,45.001,0.195,0.091,0.10400000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06574999999999995,0.0,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.2,1000,0.587,27.095,45.001,0.195,0.091,0.10400000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06574999999999995,0.0,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.3,1000,0.587,27.095,45.001,0.195,0.091,0.10400000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06574999999999995,0.0,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.5,1000,0.587,27.095,45.001,0.195,0.091,0.10400000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06574999999999995,0.0,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b0.75,1000,0.587,27.095,45.001,0.195,0.091,0.10400000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06574999999999995,0.0,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0_b1,1000,0.587,27.095,45.001,0.195,0.091,0.10400000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06574999999999995,0.0,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.1,1000,0.722,24.511,43.105,0.922,0.733,0.18900000000000006,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08699999999999997,0.25,,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.2,1000,0.771,24.572,43.709,0.896,0.548,0.348,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.12674999999999995,0.25,,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.3,1000,0.722,26.024,44.785,0.523,0.203,0.32,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11974999999999995,0.25,,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.5,1000,0.661,26.618,44.994,0.341,0.118,0.22300000000000003,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09549999999999996,0.25,,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b0.75,1000,0.622,26.851,44.995,0.267,0.111,0.15600000000000003,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07874999999999996,0.25,,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.25_b1,1000,0.606,26.935,44.998,0.239,0.103,0.136,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07374999999999995,0.25,,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c5_a0.5_b0.1,1000,0.695,24.526,42.893,0.927,0.796,0.131,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.07249999999999995,0.5,,0.1,5
