retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,baseline,1000,0.666,24.55,42.755,0.931,0.835,0.09600000000000009,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.06374999999999997,,,,
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.1,1000,0.897,24.452,44.913,0.912,0.178,0.734,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22324999999999995,0.25,0.25,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.2,1000,0.908,24.993,45.171,0.818,0.101,0.717,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.21899999999999994,0.25,0.25,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.3,1000,0.87,25.977,45.303,0.517,0.053,0.464,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.15574999999999994,0.25,0.25,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.5,1000,0.752,26.519,45.203,0.356,0.066,0.29,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11224999999999995,0.25,0.25,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b0.75,1000,0.692,26.756,45.139,0.288,0.072,0.21599999999999997,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.09374999999999994,0.25,0.25,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.25_b1,1000,0.664,26.864,45.102,0.254,0.078,0.176,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.08374999999999995,0.25,0.25,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.1,1000,0.892,24.385,44.705,0.917,0.245,0.672,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.20774999999999996,0.5,0.5,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.2,1000,0.897,24.452,44.913,0.912,0.178,0.734,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22324999999999995,0.5,0.5,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.3,1000,0.904,24.636,45.059,0.89,0.139,0.751,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22749999999999995,0.5,0.5,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.5,1000,0.894,25.468,45.247,0.706,0.079,0.627,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19649999999999995,0.5,0.5,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b0.75,1000,0.813,26.265,45.265,0.421,0.055,0.366,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.13124999999999995,0.5,0.5,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.5_b1,1000,0.752,26.519,45.203,0.356,0.066,0.29,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.11224999999999995,0.5,0.5,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.1,1000,0.891,24.374,44.639,0.921,0.268,0.653,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.20299999999999996,0.75,0.75,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.2,1000,0.895,24.396,44.779,0.917,0.22,0.6970000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.21399999999999997,0.75,0.75,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.3,1000,0.897,24.452,44.913,0.912,0.178,0.734,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22324999999999995,0.75,0.75,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.5,1000,0.907,24.741,45.105,0.869,0.127,0.742,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22524999999999995,0.75,0.75,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b0.75,1000,0.894,25.468,45.247,0.706,0.079,0.627,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19649999999999995,0.75,0.75,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g0.75_b1,1000,0.841,26.126,45.28,0.473,0.055,0.418,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.14424999999999993,0.75,0.75,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.1,1000,0.89,24.367,44.602,0.921,0.283,0.6380000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19924999999999998,1.0,1.0,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.2,1000,0.892,24.385,44.705,0.917,0.245,0.672,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.20774999999999996,1.0,1.0,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.3,1000,0.895,24.41,44.812,0.915,0.205,0.7100000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.21724999999999997,1.0,1.0,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.5,1000,0.901,24.528,44.987,0.902,0.151,0.751,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22749999999999995,1.0,1.0,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b0.75,1000,0.907,24.89,45.145,0.837,0.109,0.728,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22174999999999995,1.0,1.0,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1_b1,1000,0.894,25.468,45.247,0.706,0.079,0.627,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19649999999999995,1.0,1.0,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.1,1000,0.891,24.362,44.56,0.922,0.298,0.6240000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19574999999999998,1.5,1.5,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.2,1000,0.891,24.374,44.639,0.921,0.268,0.653,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.20299999999999996,1.5,1.5,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.3,1000,0.892,24.385,44.705,0.917,0.245,0.672,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.20774999999999996,1.5,1.5,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.5,1000,0.895,24.42,44.857,0.915,0.194,0.7210000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.21999999999999997,1.5,1.5,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b0.75,1000,0.901,24.528,44.987,0.902,0.151,0.751,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22749999999999995,1.5,1.5,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g1.5_b1,1000,0.907,24.741,45.105,0.869,0.127,0.742,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22524999999999995,1.5,1.5,1.0,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.1,1000,0.891,24.361,44.547,0.922,0.304,0.6180000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19424999999999998,2.0,2.0,0.1,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.2,1000,0.89,24.367,44.602,0.921,0.283,0.6380000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.19924999999999998,2.0,2.0,0.2,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.3,1000,0.891,24.377,44.657,0.92,0.264,0.656,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.20374999999999996,2.0,2.0,0.3,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.5,1000,0.894,24.391,44.757,0.917,0.229,0.6880000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.21174999999999997,2.0,2.0,0.5,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b0.75,1000,0.896,24.435,44.895,0.915,0.184,0.7310000000000001,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22249999999999998,2.0,2.0,0.75,5
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c5_g2_b1,1000,0.901,24.528,44.987,0.902,0.151,0.751,0.946,0.883,0.06299999999999994,0.953,0.9,0.052999999999999936,0.954,0.911,0.04299999999999993,0.22749999999999995,2.0,2.0,1.0,5
