retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.943,818.513,37518.747,0.863,0.091,0.772,0.886,0.105,0.781,0.901,0.113,0.788,0.907,0.12,0.787,0.782,1.0,1.0,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.943,818.513,37518.746,0.863,0.091,0.772,0.886,0.105,0.781,0.901,0.113,0.788,0.907,0.12,0.787,0.782,1.5,1.5,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.943,818.513,37518.747,0.863,0.091,0.772,0.886,0.105,0.781,0.901,0.113,0.788,0.907,0.12,0.787,0.782,2.0,2.0,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.25_b0.1,1000,0.936,565.797,25484.808,0.889,0.109,0.78,0.909,0.132,0.777,0.915,0.145,0.77,0.92,0.157,0.763,0.7725,0.25,0.25,0.1,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.2,1000,0.936,565.797,25484.808,0.889,0.109,0.78,0.909,0.132,0.777,0.915,0.145,0.77,0.92,0.157,0.763,0.7725,0.5,0.5,0.2,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.75_b0.3,1000,0.936,565.797,25484.808,0.889,0.109,0.78,0.909,0.132,0.777,0.915,0.145,0.77,0.92,0.157,0.763,0.7725,0.75,0.75,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b0.75,1000,0.934,511.473,22834.828,0.892,0.112,0.78,0.912,0.137,0.775,0.918,0.158,0.76,0.92,0.164,0.756,0.7677500000000002,2.0,2.0,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.5,1000,0.913,25.127,55.883,0.86,0.101,0.759,0.89,0.123,0.767,0.908,0.139,0.769,0.917,0.153,0.764,0.76475,1.0,1.0,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1.5_b0.75,1000,0.913,25.127,55.883,0.86,0.101,0.759,0.89,0.123,0.767,0.908,0.139,0.769,0.917,0.153,0.764,0.76475,1.5,1.5,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g2_b1,1000,0.913,25.127,55.883,0.86,0.101,0.759,0.89,0.123,0.767,0.908,0.139,0.769,0.917,0.153,0.764,0.76475,2.0,2.0,1.0,20
