retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b0.75,1000,0.945,339.267,25043.718,0.879,0.055,0.824,0.894,0.067,0.827,0.9,0.073,0.8270000000000001,0.909,0.077,0.8320000000000001,0.8274999999999999,1.0,,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.75_b1,1000,0.923,25.193,56.427,0.863,0.044,0.819,0.883,0.056,0.827,0.898,0.066,0.8320000000000001,0.909,0.085,0.8240000000000001,0.8254999999999999,0.75,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.25_b0.2,1000,0.949,489.864,31956.21,0.864,0.049,0.815,0.877,0.057,0.82,0.884,0.061,0.823,0.894,0.063,0.831,0.8222499999999999,0.25,,0.2,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b0.75,1000,0.922,25.424,57.159,0.846,0.039,0.8069999999999999,0.871,0.049,0.822,0.881,0.058,0.823,0.895,0.071,0.8240000000000001,0.819,0.5,,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.3,1000,0.92,24.976,55.383,0.886,0.048,0.838,0.898,0.07,0.8280000000000001,0.905,0.097,0.808,0.918,0.137,0.781,0.8137500000000001,0.25,,0.3,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.5,1000,0.938,195.898,15476.568,0.898,0.082,0.8160000000000001,0.913,0.103,0.81,0.918,0.118,0.8,0.923,0.123,0.8,0.8065,0.75,,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1.5_b1,1000,0.938,195.898,15476.568,0.898,0.082,0.8160000000000001,0.913,0.103,0.81,0.918,0.118,0.8,0.923,0.123,0.8,0.8065,1.5,,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.25_b0.5,1000,0.923,26.125,57.909,0.782,0.032,0.75,0.828,0.041,0.7869999999999999,0.844,0.048,0.7959999999999999,0.857,0.056,0.8009999999999999,0.7834999999999999,0.25,,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c20_a0.5_b1,1000,0.923,26.125,57.909,0.782,0.032,0.75,0.828,0.041,0.7869999999999999,0.844,0.048,0.7959999999999999,0.857,0.056,0.8009999999999999,0.7834999999999999,0.5,,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.3,1000,0.929,116.04,9728.146,0.914,0.109,0.805,0.921,0.135,0.786,0.924,0.157,0.767,0.93,0.175,0.7550000000000001,0.7782500000000001,0.5,,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.5,1000,0.921,25.166,49.35,0.81,0.036,0.774,0.858,0.057,0.8009999999999999,0.891,0.082,0.809,0.926,0.206,0.7200000000000001,0.776,0.25,,0.5,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b1,1000,0.921,25.166,49.35,0.81,0.036,0.774,0.858,0.057,0.8009999999999999,0.891,0.082,0.809,0.926,0.206,0.7200000000000001,0.776,0.5,,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.5_b0.5,1000,0.954,2337.995,64700.904,0.773,0.029,0.744,0.797,0.036,0.761,0.814,0.037,0.7769999999999999,0.82,0.039,0.7809999999999999,0.7657499999999999,0.5,,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a0.75_b0.75,1000,0.954,2337.995,64700.902,0.773,0.029,0.744,0.797,0.036,0.761,0.814,0.037,0.7769999999999999,0.82,0.039,0.7809999999999999,0.7657499999999999,0.75,,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_call_a1_b1,1000,0.954,2337.995,64700.904,0.773,0.029,0.744,0.797,0.036,0.761,0.814,0.037,0.7769999999999999,0.82,0.039,0.7809999999999999,0.7657499999999999,1.0,,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.5_b0.75,1000,0.925,24.848,49.058,0.864,0.04,0.824,0.891,0.072,0.8190000000000001,0.91,0.131,0.779,0.934,0.326,0.6080000000000001,0.7575000000000001,0.5,,0.75,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b0.75,1000,0.923,25.756,49.487,0.715,0.031,0.6839999999999999,0.804,0.051,0.753,0.857,0.072,0.785,0.923,0.146,0.777,0.74975,0.25,,0.75,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.75_b1,1000,0.925,24.73,48.756,0.879,0.048,0.831,0.901,0.097,0.804,0.918,0.186,0.732,0.938,0.402,0.5359999999999999,0.72575,0.75,,1.0,10
text-embedding-3-small-rewriter-gpt4o-mini,score_anti_rrf_no_target_c10_a0.25_b1,1000,0.923,26.189,49.539,0.654,0.026,0.628,0.754,0.045,0.709,0.835,0.068,0.7669999999999999,0.92,0.136,0.784,0.722,0.25,,1.0,10
