retriever,method,samples,right_rank,mean_answer_rank,mean_trap_rank,recall@3,violation_rate@3,recall_minus_violation@3,recall@5,violation_rate@5,recall_minus_violation@5,recall@7,violation_rate@7,recall_minus_violation@7,recall@9,violation_rate@9,recall_minus_violation@9,avg_recall_minus_violation,alpha,gamma,beta,candidate_top_n
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.5_b0.5,1000,0.925,25.264,57.394,0.85,0.039,0.8109999999999999,0.885,0.053,0.832,0.901,0.07,0.831,0.91,0.084,0.8260000000000001,0.825,0.5,0.5,0.5,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.75_b0.75,1000,0.925,25.264,57.394,0.85,0.039,0.8109999999999999,0.885,0.053,0.832,0.901,0.07,0.831,0.91,0.084,0.8260000000000001,0.825,0.75,0.75,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b1,1000,0.925,25.264,57.394,0.85,0.039,0.8109999999999999,0.885,0.053,0.832,0.901,0.07,0.831,0.91,0.084,0.8260000000000001,0.825,1.0,1.0,1.0,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1_b0.5,1000,0.95,733.137,41026.337,0.884,0.065,0.819,0.9,0.077,0.8230000000000001,0.907,0.081,0.8260000000000001,0.914,0.086,0.8280000000000001,0.8240000000000001,1.0,1.0,0.5,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g1.5_b0.75,1000,0.95,733.137,41026.334,0.884,0.065,0.819,0.9,0.077,0.8230000000000001,0.907,0.081,0.8260000000000001,0.914,0.086,0.8280000000000001,0.8240000000000001,1.5,1.5,0.75,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g2_b1,1000,0.95,733.137,41026.337,0.884,0.065,0.819,0.9,0.077,0.8230000000000001,0.907,0.081,0.8260000000000001,0.914,0.086,0.8280000000000001,0.8240000000000001,2.0,2.0,1.0,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.25_b0.2,1000,0.926,24.942,56.835,0.882,0.062,0.8200000000000001,0.907,0.077,0.8300000000000001,0.913,0.094,0.8190000000000001,0.921,0.102,0.8190000000000001,0.8220000000000001,0.25,0.25,0.2,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g1_b0.75,1000,0.925,24.887,56.663,0.89,0.067,0.823,0.908,0.081,0.8270000000000001,0.916,0.103,0.8130000000000001,0.922,0.114,0.808,0.81775,1.0,1.0,0.75,20
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_call_g0.5_b0.3,1000,0.952,1005.458,52150.031,0.859,0.052,0.8069999999999999,0.876,0.064,0.812,0.884,0.068,0.8160000000000001,0.891,0.073,0.8180000000000001,0.81325,0.5,0.5,0.3,all
text-embedding-3-small-rewriter-gpt4o-mini-target-minus-trap,score_target_minus_trap_c20_g0.25_b0.3,1000,0.928,25.634,57.816,0.809,0.033,0.776,0.859,0.042,0.817,0.877,0.051,0.826,0.894,0.062,0.8320000000000001,0.8127500000000001,0.25,0.25,0.3,20
