embedding_model	condition	candidate_top_n	beta	avg_recall	avg_violation	recall@3	recall@5	recall@7	recall@9	violation@3	violation@5	violation@7	violation@9
text-embedding-3-small	baseline - beta*q_trap	all	0.00	0.946	0.88225	0.931	0.946	0.953	0.954	0.835	0.883	0.9	0.911
text-embedding-3-small	baseline - beta*q_trap	all	0.01	0.94625	0.87375	0.931	0.947	0.953	0.954	0.821	0.877	0.895	0.902
text-embedding-3-small	baseline - beta*q_trap	all	0.02	0.9465	0.86775	0.931	0.948	0.953	0.954	0.815	0.866	0.891	0.899
text-embedding-3-small	baseline - beta*q_trap	all	0.03	0.9465	0.8615	0.932	0.947	0.953	0.954	0.807	0.858	0.887	0.894
text-embedding-3-small	baseline - beta*q_trap	all	0.04	0.94675	0.85475	0.931	0.948	0.953	0.955	0.795	0.85	0.885	0.889
text-embedding-3-small	baseline - beta*q_trap	all	0.05	0.947	0.851	0.931	0.948	0.953	0.956	0.792	0.844	0.88	0.888
text-embedding-3-small	baseline - beta*q_trap	all	0.06	0.94625	0.84375	0.93	0.946	0.953	0.956	0.784	0.839	0.87	0.882
text-embedding-3-small	baseline - beta*q_trap	all	0.07	0.94625	0.83375	0.93	0.946	0.953	0.956	0.768	0.834	0.858	0.875
text-embedding-3-small	baseline - beta*q_trap	all	0.08	0.9465	0.8275	0.93	0.946	0.953	0.957	0.758	0.828	0.855	0.869
text-embedding-3-small	baseline - beta*q_trap	all	0.09	0.947	0.819	0.932	0.946	0.952	0.958	0.747	0.817	0.847	0.865
text-embedding-3-small	baseline - beta*q_trap	all	0.10	0.947	0.81375	0.932	0.946	0.952	0.958	0.74	0.811	0.842	0.862
text-embedding-3-small	baseline - beta*q_trap	all	0.11	0.947	0.80325	0.932	0.946	0.953	0.957	0.728	0.799	0.834	0.852
text-embedding-3-small	baseline - beta*q_trap	all	0.12	0.94725	0.7935	0.932	0.947	0.953	0.957	0.718	0.791	0.823	0.842
text-embedding-3-small	baseline - beta*q_trap	all	0.13	0.94775	0.7845	0.933	0.948	0.953	0.957	0.711	0.776	0.814	0.837
text-embedding-3-small	baseline - beta*q_trap	all	0.14	0.9475	0.77	0.933	0.948	0.952	0.957	0.699	0.758	0.797	0.826
text-embedding-3-small	baseline - beta*q_trap	all	0.15	0.947	0.759	0.932	0.948	0.952	0.956	0.687	0.747	0.79	0.812
text-embedding-3-small	baseline - beta*q_trap	all	0.16	0.9465	0.7475	0.931	0.947	0.952	0.956	0.67	0.739	0.778	0.803
text-embedding-3-small	baseline - beta*q_trap	all	0.17	0.94575	0.73475	0.931	0.946	0.951	0.955	0.657	0.731	0.765	0.786
text-embedding-3-small	baseline - beta*q_trap	all	0.18	0.9455	0.726	0.932	0.946	0.951	0.953	0.644	0.721	0.76	0.779
text-embedding-3-small	baseline - beta*q_trap	all	0.19	0.94525	0.712	0.931	0.946	0.951	0.953	0.631	0.703	0.744	0.77
text-embedding-3-small	baseline - beta*q_trap	all	0.20	0.94525	0.70025	0.931	0.947	0.95	0.953	0.617	0.69	0.738	0.756
text-embedding-3-small	baseline - beta*q_trap	all	0.21	0.9455	0.68675	0.931	0.948	0.95	0.953	0.609	0.674	0.718	0.746
text-embedding-3-small	baseline - beta*q_trap	all	0.22	0.946	0.675	0.932	0.949	0.95	0.953	0.596	0.665	0.706	0.733
text-embedding-3-small	baseline - beta*q_trap	all	0.23	0.94625	0.66025	0.933	0.949	0.95	0.953	0.58	0.653	0.691	0.717
text-embedding-3-small	baseline - beta*q_trap	all	0.24	0.94625	0.6495	0.933	0.949	0.95	0.953	0.566	0.646	0.677	0.709
text-embedding-3-small	baseline - beta*q_trap	all	0.25	0.94625	0.63475	0.933	0.949	0.95	0.953	0.552	0.626	0.667	0.694
text-embedding-3-small	baseline - beta*q_trap	all	0.26	0.94575	0.6195	0.932	0.948	0.95	0.953	0.539	0.605	0.653	0.681
text-embedding-3-small	baseline - beta*q_trap	all	0.27	0.94575	0.6045	0.932	0.948	0.95	0.953	0.526	0.589	0.637	0.666
text-embedding-3-small	baseline - beta*q_trap	all	0.28	0.946	0.5955	0.934	0.948	0.949	0.953	0.516	0.584	0.624	0.658
text-embedding-3-small	baseline - beta*q_trap	all	0.29	0.94525	0.581	0.933	0.948	0.949	0.951	0.507	0.571	0.607	0.639
text-embedding-3-small	baseline - beta*q_trap	all	0.30	0.945	0.567	0.933	0.947	0.949	0.951	0.492	0.559	0.592	0.625
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.00	0.94575	0.7415	0.931	0.942	0.953	0.957	0.669	0.739	0.771	0.787
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.01	0.94525	0.7295	0.931	0.941	0.953	0.956	0.656	0.724	0.761	0.777
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.02	0.94525	0.71875	0.931	0.941	0.953	0.956	0.646	0.712	0.749	0.768
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.03	0.94525	0.7085	0.93	0.941	0.953	0.957	0.641	0.7	0.735	0.758
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.04	0.9455	0.6955	0.93	0.941	0.954	0.957	0.628	0.688	0.721	0.745
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.05	0.94575	0.683	0.931	0.941	0.954	0.957	0.614	0.676	0.707	0.735
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.06	0.946	0.67025	0.93	0.943	0.954	0.957	0.598	0.667	0.695	0.721
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.07	0.9465	0.65925	0.931	0.944	0.954	0.957	0.591	0.654	0.684	0.708
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.08	0.946	0.6485	0.931	0.943	0.953	0.957	0.581	0.647	0.671	0.695
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.09	0.9455	0.64	0.931	0.943	0.952	0.956	0.571	0.64	0.667	0.682
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.10	0.94525	0.6295	0.93	0.944	0.952	0.955	0.563	0.622	0.659	0.674
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.11	0.9445	0.6175	0.929	0.943	0.951	0.955	0.549	0.61	0.645	0.666
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.12	0.944	0.6075	0.929	0.941	0.951	0.955	0.539	0.602	0.635	0.654
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.13	0.943	0.59725	0.929	0.941	0.948	0.954	0.527	0.59	0.626	0.646
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.14	0.94275	0.58825	0.929	0.941	0.947	0.954	0.516	0.583	0.614	0.64
Qwen/Qwen3-Embedding-0.6B	baseline - beta*q_trap	all	0.15	0.942	0.57475	0.929	0.941	0.947	0.951	0.506	0.568	0.6	0.625
