embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
text-embedding-3-small,baseline - beta*q_trap,all,0.11,1000,23.071,86.795,0.932,0.728,0.0010000000000000009,-0.10699999999999998,0.946,0.799,0.0,-0.08399999999999996,0.953,0.834,0.0,-0.06600000000000006,0.957,0.852,0.0030000000000000027,-0.05900000000000005,0.947,0.80325,0.0010000000000000009,-0.07899999999999996,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.12,1000,22.974,94.273,0.932,0.718,0.0010000000000000009,-0.11699999999999999,0.947,0.791,0.0010000000000000009,-0.09199999999999997,0.953,0.823,0.0,-0.07700000000000007,0.957,0.842,0.0030000000000000027,-0.06900000000000006,0.9472499999999999,0.7935,0.0012499999999999734,-0.08875,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.13,1000,22.868,102.688,0.933,0.711,0.0020000000000000018,-0.124,0.948,0.776,0.0020000000000000018,-0.10699999999999998,0.953,0.814,0.0,-0.08600000000000008,0.957,0.837,0.0030000000000000027,-0.07400000000000007,0.94775,0.7845,0.0017500000000000293,-0.09775,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.14,1000,22.768,112.125,0.933,0.699,0.0020000000000000018,-0.136,0.948,0.758,0.0020000000000000018,-0.125,0.952,0.797,-0.0010000000000000009,-0.10299999999999998,0.957,0.826,0.0030000000000000027,-0.08500000000000008,0.9475,0.77,0.0015000000000000568,-0.11224999999999996,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.15,1000,22.72,122.709,0.932,0.687,0.0010000000000000009,-0.1479999999999999,0.948,0.747,0.0020000000000000018,-0.136,0.952,0.79,-0.0010000000000000009,-0.10999999999999999,0.956,0.812,0.0020000000000000018,-0.09899999999999998,0.947,0.7590000000000001,0.0010000000000000009,-0.12324999999999986,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.16,1000,22.64,134.42,0.931,0.67,0.0,-0.16499999999999992,0.947,0.739,0.0010000000000000009,-0.14400000000000002,0.952,0.778,-0.0010000000000000009,-0.122,0.956,0.803,0.0020000000000000018,-0.10799999999999998,0.9465,0.7475,0.000500000000000056,-0.13474999999999993,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.17,1000,22.592,147.649,0.931,0.657,0.0,-0.17799999999999994,0.946,0.731,0.0,-0.15200000000000002,0.951,0.765,-0.0020000000000000018,-0.135,0.955,0.786,0.0010000000000000009,-0.125,0.94575,0.73475,-0.00024999999999997247,-0.14749999999999996,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.18,1000,22.532,162.41,0.932,0.644,0.0010000000000000009,-0.19099999999999995,0.946,0.721,0.0,-0.16200000000000003,0.951,0.76,-0.0020000000000000018,-0.14,0.953,0.779,-0.0010000000000000009,-0.132,0.9455,0.726,-0.0004999999999999449,-0.15625,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.19,1000,22.472,178.876,0.931,0.631,0.0,-0.20399999999999996,0.946,0.703,0.0,-0.18000000000000005,0.951,0.744,-0.0020000000000000018,-0.15600000000000003,0.953,0.77,-0.0010000000000000009,-0.14100000000000001,0.9452499999999999,0.7120000000000001,-0.0007500000000000284,-0.1702499999999999,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.20,1000,22.44,197.524,0.931,0.617,0.0,-0.21799999999999997,0.947,0.69,0.0010000000000000009,-0.19300000000000006,0.95,0.738,-0.0030000000000000027,-0.16200000000000003,0.953,0.756,-0.0010000000000000009,-0.15500000000000003,0.94525,0.70025,-0.0007499999999999174,-0.18199999999999994,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.21,1000,22.354,218.224,0.931,0.609,0.0,-0.22599999999999998,0.948,0.674,0.0020000000000000018,-0.20899999999999996,0.95,0.718,-0.0030000000000000027,-0.18200000000000005,0.953,0.746,-0.0010000000000000009,-0.16500000000000004,0.9454999999999999,0.68675,-0.000500000000000056,-0.1955,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.22,1000,22.327,241.547,0.932,0.596,0.0010000000000000009,-0.239,0.949,0.665,0.0030000000000000027,-0.21799999999999997,0.95,0.706,-0.0030000000000000027,-0.19400000000000006,0.953,0.733,-0.0010000000000000009,-0.17800000000000005,0.946,0.675,0.0,-0.20724999999999993,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.23,1000,22.287,267.279,0.933,0.58,0.0020000000000000018,-0.255,0.949,0.653,0.0030000000000000027,-0.22999999999999998,0.95,0.691,-0.0030000000000000027,-0.20900000000000007,0.953,0.717,-0.0010000000000000009,-0.19400000000000006,0.9462499999999999,0.66025,0.00024999999999997247,-0.22199999999999998,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.24,1000,22.29,296.423,0.933,0.566,0.0020000000000000018,-0.269,0.949,0.646,0.0030000000000000027,-0.237,0.95,0.677,-0.0030000000000000027,-0.22299999999999998,0.953,0.709,-0.0010000000000000009,-0.20200000000000007,0.9462499999999999,0.6495,0.00024999999999997247,-0.23275,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.25,1000,22.324,328.493,0.933,0.552,0.0020000000000000018,-0.2829999999999999,0.949,0.626,0.0030000000000000027,-0.257,0.95,0.667,-0.0030000000000000027,-0.23299999999999998,0.953,0.694,-0.0010000000000000009,-0.21700000000000008,0.9462499999999999,0.6347499999999999,0.00024999999999997247,-0.24750000000000005,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.26,1000,22.374,364.304,0.932,0.539,0.0010000000000000009,-0.29599999999999993,0.948,0.605,0.0020000000000000018,-0.278,0.95,0.653,-0.0030000000000000027,-0.247,0.953,0.681,-0.0010000000000000009,-0.22999999999999998,0.94575,0.6195,-0.00024999999999997247,-0.26274999999999993,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.27,1000,22.442,404.281,0.932,0.526,0.0010000000000000009,-0.30899999999999994,0.948,0.589,0.0020000000000000018,-0.29400000000000004,0.95,0.637,-0.0030000000000000027,-0.263,0.953,0.666,-0.0010000000000000009,-0.245,0.94575,0.6045,-0.00024999999999997247,-0.27774999999999994,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.28,1000,22.51,448.934,0.934,0.516,0.0030000000000000027,-0.31899999999999995,0.948,0.584,0.0020000000000000018,-0.29900000000000004,0.949,0.624,-0.0040000000000000036,-0.276,0.953,0.658,-0.0010000000000000009,-0.253,0.946,0.5955,0.0,-0.28674999999999995,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.29,1000,22.631,498.121,0.933,0.507,0.0020000000000000018,-0.32799999999999996,0.948,0.571,0.0020000000000000018,-0.31200000000000006,0.949,0.607,-0.0040000000000000036,-0.29300000000000004,0.951,0.639,-0.0030000000000000027,-0.272,0.94525,0.581,-0.0007499999999999174,-0.30125,False,False,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.30,1000,22.776,552.986,0.933,0.492,0.0020000000000000018,-0.34299999999999997,0.947,0.559,0.0010000000000000009,-0.32399999999999995,0.949,0.592,-0.0040000000000000036,-0.30800000000000005,0.951,0.625,-0.0030000000000000027,-0.28600000000000003,0.945,0.5670000000000001,-0.0010000000000000009,-0.3152499999999999,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.11,1000,69.992,714.754,0.929,0.549,-0.0020000000000000018,-0.12,0.943,0.61,0.0010000000000000009,-0.129,0.951,0.645,-0.0020000000000000018,-0.126,0.955,0.666,-0.0020000000000000018,-0.121,0.9445,0.6175,-0.0012499999999999734,-0.12399999999999989,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.12,1000,72.458,787.215,0.929,0.539,-0.0020000000000000018,-0.13,0.941,0.602,-0.0010000000000000009,-0.137,0.951,0.635,-0.0020000000000000018,-0.136,0.955,0.654,-0.0020000000000000018,-0.133,0.9440000000000001,0.6075,-0.0017499999999999183,-0.1339999999999999,False,False,True,True
Qwen/Qwen3-Embedding-0.6B,baseline - beta*q_trap,all,0.13,1000,75.048,866.439,0.929,0.527,-0.0020000000000000018,-0.14200000000000002,0.941,0.59,-0.0010000000000000009,-0.14900000000000002,0.948,0.626,-0.0050000000000000044,-0.14500000000000002,0.954,0.646,-0.0030000000000000027,-0.14100000000000001,0.9430000000000001,0.59725,-0.002749999999999919,-0.14425,False,False,True,True
