retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n
bm25,baseline,1000,0.997,0.932,1.67,2.4,,,
bm25,score_anti_rrf_c5_a0_b0.1,1000,0.997,0.832,1.664,2.699,0.0,0.1,5
bm25,score_anti_rrf_c5_a0_b0.2,1000,0.997,0.688,1.656,3.124,0.0,0.2,5
bm25,score_anti_rrf_c5_a0_b0.3,1000,0.997,0.528,1.653,3.586,0.0,0.3,5
bm25,score_anti_rrf_c5_a0_b0.5,1000,0.998,0.268,1.648,4.362,0.0,0.5,5
bm25,score_anti_rrf_c5_a0_b0.75,1000,0.996,0.095,1.649,4.846,0.0,0.75,5
bm25,score_anti_rrf_c5_a0_b1,1000,0.993,0.018,1.674,5.063,0.0,1.0,5
bm25,score_anti_rrf_c5_a0.25_b0.1,1000,0.997,0.849,1.665,2.624,0.25,0.1,5
bm25,score_anti_rrf_c5_a0.25_b0.2,1000,0.997,0.761,1.657,2.935,0.25,0.2,5
bm25,score_anti_rrf_c5_a0.25_b0.3,1000,0.997,0.618,1.654,3.322,0.25,0.3,5
bm25,score_anti_rrf_c5_a0.25_b0.5,1000,0.998,0.386,1.65,4.007,0.25,0.5,5
bm25,score_anti_rrf_c5_a0.25_b0.75,1000,0.998,0.181,1.646,4.597,0.25,0.75,5
bm25,score_anti_rrf_c5_a0.25_b1,1000,0.996,0.079,1.65,4.903,0.25,1.0,5
bm25,score_anti_rrf_c5_a0.5_b0.1,1000,0.997,0.87,1.667,2.581,0.5,0.1,5
bm25,score_anti_rrf_c5_a0.5_b0.2,1000,0.997,0.796,1.661,2.834,0.5,0.2,5
bm25,score_anti_rrf_c5_a0.5_b0.3,1000,0.997,0.688,1.656,3.124,0.5,0.3,5
bm25,score_anti_rrf_c5_a0.5_b0.5,1000,0.997,0.483,1.652,3.743,0.5,0.5,5
bm25,score_anti_rrf_c5_a0.5_b0.75,1000,0.998,0.268,1.648,4.362,0.5,0.75,5
bm25,score_anti_rrf_c5_a0.5_b1,1000,0.997,0.14,1.646,4.718,0.5,1.0,5
bm25,score_anti_rrf_c5_a0.75_b0.1,1000,0.997,0.88,1.668,2.553,0.75,0.1,5
bm25,score_anti_rrf_c5_a0.75_b0.2,1000,0.997,0.817,1.664,2.761,0.75,0.2,5
bm25,score_anti_rrf_c5_a0.75_b0.3,1000,0.997,0.737,1.657,2.998,0.75,0.3,5
bm25,score_anti_rrf_c5_a0.75_b0.5,1000,0.997,0.549,1.654,3.528,0.75,0.5,5
bm25,score_anti_rrf_c5_a0.75_b0.75,1000,0.998,0.352,1.649,4.127,0.75,0.75,5
bm25,score_anti_rrf_c5_a0.75_b1,1000,0.998,0.203,1.646,4.541,0.75,1.0,5
bm25,score_anti_rrf_c5_a1_b0.1,1000,0.997,0.887,1.668,2.528,1.0,0.1,5
bm25,score_anti_rrf_c5_a1_b0.2,1000,0.997,0.832,1.664,2.699,1.0,0.2,5
bm25,score_anti_rrf_c5_a1_b0.3,1000,0.997,0.778,1.659,2.887,1.0,0.3,5
bm25,score_anti_rrf_c5_a1_b0.5,1000,0.997,0.601,1.654,3.373,1.0,0.5,5
bm25,score_anti_rrf_c5_a1_b0.75,1000,0.997,0.416,1.651,3.911,1.0,0.75,5
bm25,score_anti_rrf_c5_a1_b1,1000,0.998,0.268,1.648,4.362,1.0,1.0,5
bm25,score_anti_rrf_c5_a1.5_b0.1,1000,0.997,0.897,1.669,2.497,1.5,0.1,5
bm25,score_anti_rrf_c5_a1.5_b0.2,1000,0.997,0.849,1.665,2.624,1.5,0.2,5
bm25,score_anti_rrf_c5_a1.5_b0.3,1000,0.997,0.813,1.663,2.787,1.5,0.3,5
bm25,score_anti_rrf_c5_a1.5_b0.5,1000,0.997,0.688,1.656,3.124,1.5,0.5,5
bm25,score_anti_rrf_c5_a1.5_b0.75,1000,0.997,0.528,1.653,3.586,1.5,0.75,5
bm25,score_anti_rrf_c5_a1.5_b1,1000,0.998,0.386,1.65,4.007,1.5,1.0,5
bm25,score_anti_rrf_c5_a2_b0.1,1000,0.997,0.9,1.67,2.482,2.0,0.1,5
bm25,score_anti_rrf_c5_a2_b0.2,1000,0.997,0.87,1.667,2.581,2.0,0.2,5
bm25,score_anti_rrf_c5_a2_b0.3,1000,0.997,0.832,1.664,2.699,2.0,0.3,5
bm25,score_anti_rrf_c5_a2_b0.5,1000,0.997,0.748,1.657,2.971,2.0,0.5,5
bm25,score_anti_rrf_c5_a2_b0.75,1000,0.997,0.601,1.654,3.373,2.0,0.75,5
bm25,score_anti_rrf_c5_a2_b1,1000,0.997,0.483,1.652,3.743,2.0,1.0,5
bm25,score_anti_rrf_c10_a0_b0.1,1000,0.997,0.823,1.664,3.05,0.0,0.1,10
bm25,score_anti_rrf_c10_a0_b0.2,1000,0.997,0.663,1.653,4.109,0.0,0.2,10
bm25,score_anti_rrf_c10_a0_b0.3,1000,0.998,0.503,1.652,5.392,0.0,0.3,10
bm25,score_anti_rrf_c10_a0_b0.5,1000,0.998,0.226,1.646,7.636,0.0,0.5,10
bm25,score_anti_rrf_c10_a0_b0.75,1000,0.997,0.065,1.651,9.163,0.0,0.75,10
bm25,score_anti_rrf_c10_a0_b1,1000,0.991,0.003,1.702,9.837,0.0,1.0,10
bm25,score_anti_rrf_c10_a0.25_b0.1,1000,0.997,0.848,1.664,2.883,0.25,0.1,10
bm25,score_anti_rrf_c10_a0.25_b0.2,1000,0.997,0.738,1.657,3.626,0.25,0.2,10
bm25,score_anti_rrf_c10_a0.25_b0.3,1000,0.997,0.597,1.654,4.586,0.25,0.3,10
bm25,score_anti_rrf_c10_a0.25_b0.5,1000,0.998,0.355,1.648,6.588,0.25,0.5,10
bm25,score_anti_rrf_c10_a0.25_b0.75,1000,0.998,0.15,1.644,8.407,0.25,0.75,10
bm25,score_anti_rrf_c10_a0.25_b1,1000,0.997,0.047,1.656,9.35,0.25,1.0,10
bm25,score_anti_rrf_c10_a0.5_b0.1,1000,0.997,0.866,1.666,2.776,0.5,0.1,10
bm25,score_anti_rrf_c10_a0.5_b0.2,1000,0.997,0.787,1.658,3.352,0.5,0.2,10
bm25,score_anti_rrf_c10_a0.5_b0.3,1000,0.997,0.663,1.653,4.109,0.5,0.3,10
bm25,score_anti_rrf_c10_a0.5_b0.5,1000,0.998,0.449,1.651,5.804,0.5,0.5,10
bm25,score_anti_rrf_c10_a0.5_b0.75,1000,0.998,0.226,1.646,7.636,0.5,0.75,10
bm25,score_anti_rrf_c10_a0.5_b1,1000,0.998,0.102,1.644,8.771,0.5,1.0,10
bm25,score_anti_rrf_c10_a0.75_b0.1,1000,0.997,0.874,1.667,2.713,0.75,0.1,10
bm25,score_anti_rrf_c10_a0.75_b0.2,1000,0.997,0.807,1.662,3.179,0.75,0.2,10
bm25,score_anti_rrf_c10_a0.75_b0.3,1000,0.997,0.717,1.657,3.756,0.75,0.3,10
bm25,score_anti_rrf_c10_a0.75_b0.5,1000,0.998,0.526,1.652,5.202,0.75,0.5,10
bm25,score_anti_rrf_c10_a0.75_b0.75,1000,0.998,0.311,1.648,6.908,0.75,0.75,10
bm25,score_anti_rrf_c10_a0.75_b1,1000,0.998,0.163,1.645,8.221,0.75,1.0,10
bm25,score_anti_rrf_c10_a1_b0.1,1000,0.997,0.884,1.668,2.662,1.0,0.1,10
bm25,score_anti_rrf_c10_a1_b0.2,1000,0.997,0.823,1.664,3.05,1.0,0.2,10
bm25,score_anti_rrf_c10_a1_b0.3,1000,0.997,0.761,1.658,3.511,1.0,0.3,10
bm25,score_anti_rrf_c10_a1_b0.5,1000,0.998,0.579,1.652,4.717,1.0,0.5,10
bm25,score_anti_rrf_c10_a1_b0.75,1000,0.998,0.39,1.648,6.277,1.0,0.75,10
bm25,score_anti_rrf_c10_a1_b1,1000,0.998,0.226,1.646,7.636,1.0,1.0,10
bm25,score_anti_rrf_c10_a1.5_b0.1,1000,0.997,0.895,1.668,2.591,1.5,0.1,10
bm25,score_anti_rrf_c10_a1.5_b0.2,1000,0.997,0.848,1.664,2.883,1.5,0.2,10
bm25,score_anti_rrf_c10_a1.5_b0.3,1000,0.997,0.802,1.66,3.217,1.5,0.3,10
bm25,score_anti_rrf_c10_a1.5_b0.5,1000,0.997,0.663,1.653,4.109,1.5,0.5,10
bm25,score_anti_rrf_c10_a1.5_b0.75,1000,0.998,0.503,1.652,5.392,1.5,0.75,10
bm25,score_anti_rrf_c10_a1.5_b1,1000,0.998,0.355,1.648,6.588,1.5,1.0,10
bm25,score_anti_rrf_c10_a2_b0.1,1000,0.997,0.9,1.669,2.56,2.0,0.1,10
bm25,score_anti_rrf_c10_a2_b0.2,1000,0.997,0.866,1.666,2.776,2.0,0.2,10
bm25,score_anti_rrf_c10_a2_b0.3,1000,0.997,0.823,1.664,3.05,2.0,0.3,10
