retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n,recall_minus_violation
bm25,score_anti_rrf_c10_a0_b1,1000,0.991,0.003,1.702,9.837,0.0,1.0,10,0.988
bm25,score_anti_rrf_c20_a0_b1,1000,0.987,0.001,1.751,19.552,0.0,1.0,20,0.986
bm25,score_anti_rrf_c5_a0_b1,1000,0.993,0.018,1.674,5.063,0.0,1.0,5,0.975
bm25,score_anti_rrf_call_a0.5_b1,1000,0.977,0.003,2.199,1738.878,0.5,1.0,all,0.974
bm25,score_anti_rrf_call_a0.25_b0.75,1000,0.989,0.016,1.756,1577.605,0.25,0.75,all,0.973
bm25,score_anti_rrf_call_a0.75_b1,1000,0.992,0.023,1.656,1486.487,0.75,1.0,all,0.969
bm25,score_anti_rrf_c20_a0.25_b1,1000,0.996,0.029,1.672,18.325,0.25,1.0,20,0.967
bm25,score_anti_rrf_call_a0_b0.75,1000,0.96,0.001,4.232,1864.511,0.0,0.75,all,0.959
bm25,score_anti_rrf_c10_a0.25_b1,1000,0.997,0.047,1.656,9.35,0.25,1.0,10,0.95
bm25,score_anti_rrf_c20_a0_b0.75,1000,0.996,0.046,1.659,17.9,0.0,0.75,20,0.95
bm25,score_anti_rrf_call_a0_b0.5,1000,0.994,0.046,1.511,1198.458,0.0,0.5,all,0.948
bm25,score_anti_rrf_call_a0.5_b0.75,1000,0.994,0.046,1.511,1198.458,0.5,0.75,all,0.948
bm25,score_anti_rrf_call_a1_b1,1000,0.994,0.046,1.511,1198.458,1.0,1.0,all,0.948
bm25,score_anti_rrf_call_a0.25_b1,1000,0.947,0.001,7.85,1916.229,0.25,1.0,all,0.946
bm25,score_anti_rrf_c10_a0_b0.75,1000,0.997,0.065,1.651,9.163,0.0,0.75,10,0.9319999999999999
dense,score_anti_rrf_c20_a0_b1,1000,0.931,0.007,2.273,81.497,0.0,1.0,20,0.924
dense,score_anti_rrf_c10_a0_b1,1000,0.932,0.014,2.257,75.554,0.0,1.0,10,0.918
bm25,score_anti_rrf_c5_a0.25_b1,1000,0.996,0.079,1.65,4.903,0.25,1.0,5,0.917
bm25,score_anti_rrf_c20_a0.5_b1,1000,0.998,0.087,1.644,16.894,0.5,1.0,20,0.911
bm25,score_anti_rrf_call_a0.75_b0.75,1000,0.995,0.09,1.442,865.51,0.75,0.75,all,0.905
dense,score_anti_rrf_c5_a0_b1,1000,0.957,0.052,2.211,73.002,0.0,1.0,5,0.9049999999999999
dense,score_anti_rrf_call_a0.5_b1,1000,0.916,0.012,6.549,1228.771,0.5,1.0,all,0.904
dense,score_anti_rrf_call_a0.25_b0.75,1000,0.924,0.022,5.29,1049.495,0.25,0.75,all,0.902
bm25,score_anti_rrf_c5_a0_b0.75,1000,0.996,0.095,1.649,4.846,0.0,0.75,5,0.901
dense,score_anti_rrf_call_a0.75_b1,1000,0.927,0.027,4.853,971.93,0.75,1.0,all,0.9
bm25,score_anti_rrf_c10_a0.5_b1,1000,0.998,0.102,1.644,8.771,0.5,1.0,10,0.896
dense,score_anti_rrf_call_a0_b0.75,1000,0.892,0.002,9.077,1439.411,0.0,0.75,all,0.89
bm25,score_anti_rrf_call_a0.25_b0.5,1000,0.995,0.106,1.43,730.834,0.25,0.5,all,0.889
bm25,score_anti_rrf_call_a1.5_b1,1000,0.995,0.106,1.43,730.834,1.5,1.0,all,0.889
dense,score_anti_rrf_c20_a0.25_b1,1000,0.948,0.063,2.143,80.309,0.25,1.0,20,0.885
dense,score_anti_rrf_call_a0_b0.5,1000,0.934,0.049,4.0,783.263,0.0,0.5,all,0.885
dense,score_anti_rrf_call_a0.5_b0.75,1000,0.934,0.049,4.0,783.263,0.5,0.75,all,0.885
dense,score_anti_rrf_call_a1_b1,1000,0.934,0.049,4.0,783.263,1.0,1.0,all,0.885
bm25,score_anti_rrf_call_a0_b1,1000,0.882,0.0,58.856,1991.878,0.0,1.0,all,0.882
bm25,score_anti_rrf_c20_a0.25_b0.75,1000,0.998,0.125,1.644,15.879,0.25,0.75,20,0.873
dense,score_anti_rrf_call_a0.25_b1,1000,0.873,0.0,11.286,1552.496,0.25,1.0,all,0.873
bm25,score_anti_rrf_call_a1_b0.75,1000,0.995,0.126,1.429,615.819,1.0,0.75,all,0.869
dense,score_anti_rrf_c20_a0_b0.75,1000,0.952,0.083,2.13,79.914,0.0,0.75,20,0.869
dense,score_anti_rrf_c10_a0.25_b1,1000,0.953,0.086,2.123,75.09,0.25,1.0,10,0.867
dense,score_anti_rrf_c10_a0_b0.75,1000,0.955,0.095,2.115,74.957,0.0,0.75,10,0.86
dense,score_anti_rrf_c5_a0.25_b1,1000,0.958,0.1,2.092,72.863,0.25,1.0,5,0.858
bm25,score_anti_rrf_c5_a0.5_b1,1000,0.997,0.14,1.646,4.718,0.5,1.0,5,0.857
dense,score_anti_rrf_call_a0.75_b0.75,1000,0.944,0.087,3.387,608.425,0.75,0.75,all,0.857
bm25,score_anti_rrf_c20_a0.75_b1,1000,0.998,0.143,1.643,15.433,0.75,1.0,20,0.855
dense,score_anti_rrf_c20_a0.5_b1,1000,0.957,0.104,2.111,79.264,0.5,1.0,20,0.853
bm25,score_anti_rrf_c10_a0.25_b0.75,1000,0.998,0.15,1.644,8.407,0.25,0.75,10,0.848
dense,score_anti_rrf_c5_a0_b0.75,1000,0.958,0.113,2.083,72.823,0.0,0.75,5,0.845
