retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,variant,alpha,beta,margin,threshold,candidate_top_n
bm25,baseline,50,0.88,0.86,6.12,6.36,baseline,,,,,
bm25,linear_score_c5_a0_b0.25_m0_t0,50,0.84,0.86,6.18,6.38,linear,0.0,0.25,0.0,0.0,5
bm25,linear_score_c5_a0_b0.5_m0_t0,50,0.84,0.82,6.26,6.46,linear,0.0,0.5,0.0,0.0,5
bm25,linear_score_c5_a0_b0.75_m0_t0,50,0.84,0.8,6.32,6.6,linear,0.0,0.75,0.0,0.0,5
bm25,linear_score_c5_a0_b1_m0_t0,50,0.66,0.52,6.96,7.72,linear,0.0,1.0,0.0,0.0,5
bm25,linear_score_c5_a0_b1.5_m0_t0,50,0.28,0.18,7.96,8.6,linear,0.0,1.5,0.0,0.0,5
bm25,linear_score_c5_a0_b2_m0_t0,50,0.2,0.16,8.14,8.6,linear,0.0,2.0,0.0,0.0,5
bm25,linear_score_c5_a0_b3_m0_t0,50,0.14,0.12,8.28,8.64,linear,0.0,3.0,0.0,0.0,5
bm25,linear_score_c5_a0.25_b0.25_m0_t0,50,0.86,0.88,6.18,6.3,linear,0.25,0.25,0.0,0.0,5
bm25,linear_score_c5_a0.25_b0.5_m0_t0,50,0.84,0.86,6.22,6.34,linear,0.25,0.5,0.0,0.0,5
bm25,linear_score_c5_a0.25_b0.75_m0_t0,50,0.84,0.82,6.3,6.46,linear,0.25,0.75,0.0,0.0,5
bm25,linear_score_c5_a0.25_b1_m0_t0,50,0.84,0.8,6.34,6.6,linear,0.25,1.0,0.0,0.0,5
bm25,linear_score_c5_a0.25_b1.5_m0_t0,50,0.38,0.2,7.8,8.44,linear,0.25,1.5,0.0,0.0,5
bm25,linear_score_c5_a0.25_b2_m0_t0,50,0.26,0.18,8.02,8.58,linear,0.25,2.0,0.0,0.0,5
bm25,linear_score_c5_a0.25_b3_m0_t0,50,0.14,0.14,8.26,8.62,linear,0.25,3.0,0.0,0.0,5
bm25,linear_score_c5_a0.5_b0.25_m0_t0,50,0.88,0.88,6.12,6.3,linear,0.5,0.25,0.0,0.0,5
bm25,linear_score_c5_a0.5_b0.5_m0_t0,50,0.84,0.88,6.2,6.32,linear,0.5,0.5,0.0,0.0,5
bm25,linear_score_c5_a0.5_b0.75_m0_t0,50,0.84,0.88,6.24,6.32,linear,0.5,0.75,0.0,0.0,5
