retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,variant,alpha,beta,margin,threshold,candidate_top_n,recall_minus_violation,balanced_score
bm25,gate_score_c5_a0.5_b1.5_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.5,1.5,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.5_b2_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.5,2.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.5_b3_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.5,3.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.75_b1.5_m0_t0.2,50,0.92,0.84,6.08,6.36,gate,0.75,1.5,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.75_b2_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.75,2.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.75_b3_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.75,3.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a1_b2_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,1.0,2.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a1_b3_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,1.0,3.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b1_m0_t0.2,50,0.92,0.84,6.04,6.44,gate,0.25,1.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b1.5_m0_t0.2,50,0.92,0.84,6.04,6.46,gate,0.25,1.5,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b2_m0_t0.2,50,0.92,0.84,6.04,6.46,gate,0.25,2.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b3_m0_t0.2,50,0.92,0.84,6.04,6.46,gate,0.25,3.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b1_m0_t0.2,50,0.92,0.84,6.06,6.28,gate,0.5,1.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b1.5_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,0.5,1.5,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b2_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,0.5,2.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b3_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,0.5,3.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.75_b1.5_m0_t0.2,50,0.92,0.84,6.02,6.42,gate,0.75,1.5,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.75_b2_m0_t0.2,50,0.92,0.84,6.02,6.42,gate,0.75,2.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.75_b3_m0_t0.2,50,0.92,0.84,6.02,6.42,gate,0.75,3.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b1_m0_t0.2,50,0.92,0.84,6.02,6.44,gate,0.25,1.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b1.5_m0_t0.2,50,0.92,0.84,6.02,6.66,gate,0.25,1.5,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b2_m0_t0.2,50,0.92,0.84,6.02,6.66,gate,0.25,2.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b3_m0_t0.2,50,0.92,0.84,6.02,6.66,gate,0.25,3.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b1_m0_t0.2,50,0.92,0.84,6.04,6.34,gate,0.5,1.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b1.5_m0_t0.2,50,0.92,0.84,6.04,6.6,gate,0.5,1.5,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b2_m0_t0.2,50,0.92,0.84,6.04,6.6,gate,0.5,2.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b3_m0_t0.2,50,0.92,0.84,6.04,6.6,gate,0.5,3.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_call_a2_b1_m0_t0,50,0.88,0.8,2.84,3.64,gate,2.0,1.0,0.0,0.0,all,0.07999999999999996,0.48
dense,gate_score_c10_a2_b2_m0_t0,50,0.86,0.78,3.98,4.42,gate,2.0,2.0,0.0,0.0,10,0.07999999999999996,0.47
dense,gate_score_c20_a1.5_b1.5_m0_t0,50,0.84,0.74,3.94,4.6,gate,1.5,1.5,0.0,0.0,20,0.09999999999999998,0.47
dense,gate_score_call_a0.25_b0.5_m0_t0,50,0.82,0.68,4.9,5.18,gate,0.25,0.5,0.0,0.0,all,0.1399999999999999,0.4799999999999999
dense,linear_score_c5_a2_b3_m0_t0,50,0.78,0.6,4.72,5.08,linear,2.0,3.0,0.0,0.0,5,0.18000000000000005,0.48000000000000004
dense,gate_score_c5_a2_b3_m0_t0,50,0.78,0.6,4.44,4.9,gate,2.0,3.0,0.0,0.0,5,0.18000000000000005,0.48000000000000004
dense,gate_score_c5_a0.75_b2_m0_t0,50,0.7,0.54,4.66,5.16,gate,0.75,2.0,0.0,0.0,5,0.15999999999999992,0.42999999999999994
bm25,gate_score_c5_a0_b1_m0_t0,50,0.68,0.52,6.7,7.58,gate,0.0,1.0,0.0,0.0,5,0.16000000000000003,0.42000000000000004
bm25,gate_score_call_a1_b1.5_m0_t0,50,0.64,0.36,14.18,20.5,gate,1.0,1.5,0.0,0.0,all,0.28,0.46
bm25,gate_score_call_a1.5_b2_m0_t0,50,0.58,0.3,17.06,24.92,gate,1.5,2.0,0.0,0.0,all,0.27999999999999997,0.42999999999999994
bm25,gate_score_call_a0.25_b1_m0_t0,50,0.54,0.26,20.9,28.98,gate,0.25,1.0,0.0,0.0,all,0.28,0.41000000000000003
bm25,linear_score_c5_a0.75_b2_m0_t0,50,0.46,0.24,7.62,8.36,linear,0.75,2.0,0.0,0.0,5,0.22000000000000003,0.34
bm25,linear_score_c10_a0_b1_m0_t0,50,0.44,0.2,9.08,10.3,linear,0.0,1.0,0.0,0.0,10,0.24,0.33999999999999997
bm25,linear_score_c10_a0.5_b1.5_m0_t0,50,0.4,0.14,9.4,10.52,linear,0.5,1.5,0.0,0.0,10,0.26,0.33
bm25,linear_score_c20_a1_b2_m0_t0,50,0.24,0.1,14.46,16.36,linear,1.0,2.0,0.0,0.0,20,0.13999999999999999,0.19
bm25,linear_score_c20_a2_b3_m0_t0,50,0.24,0.1,14.4,16.4,linear,2.0,3.0,0.0,0.0,20,0.13999999999999999,0.19
bm25,linear_score_c10_a0.5_b2_m0_t0,50,0.12,0.08,11.46,12.44,linear,0.5,2.0,0.0,0.0,10,0.039999999999999994,0.07999999999999999
dense,linear_score_c10_a0_b3_m0_t0,50,0.12,0.08,9.9,10.16,linear,0.0,3.0,0.0,0.0,10,0.039999999999999994,0.07999999999999999
dense,linear_score_call_a0_b1.5_m0_t0,50,0.06,0.04,77.26,77.48,linear,0.0,1.5,0.0,0.0,all,0.019999999999999997,0.039999999999999994
dense,linear_score_call_a0.5_b2_m0_t0,50,0.06,0.04,72.48,72.9,linear,0.5,2.0,0.0,0.0,all,0.019999999999999997,0.039999999999999994
dense,linear_score_call_a1_b3_m0_t0,50,0.06,0.04,78.08,78.5,linear,1.0,3.0,0.0,0.0,all,0.019999999999999997,0.039999999999999994
dense,linear_score_call_a0_b2_m0_t0,50,0.02,0.02,84.58,85.12,linear,0.0,2.0,0.0,0.0,all,0.0,0.01
dense,linear_score_call_a0.5_b3_m0_t0,50,0.02,0.02,84.48,85.24,linear,0.5,3.0,0.0,0.0,all,0.0,0.01
dense,linear_score_call_a0_b3_m0_t0,50,0.0,0.0,88.48,89.02,linear,0.0,3.0,0.0,0.0,all,0.0,0.0
dense,linear_score_call_a0.25_b3_m0_t0,50,0.0,0.0,86.44,87.22,linear,0.25,3.0,0.0,0.0,all,0.0,0.0
