retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,variant,alpha,beta,margin,threshold,candidate_top_n,recall_minus_violation,balanced_score
bm25,gate_score_c5_a0.5_b1.5_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.5,1.5,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.5_b2_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.5,2.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.5_b3_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.5,3.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.75_b1.5_m0_t0.2,50,0.92,0.84,6.08,6.36,gate,0.75,1.5,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.75_b2_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.75,2.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a0.75_b3_m0_t0.2,50,0.92,0.84,6.08,6.38,gate,0.75,3.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a1_b2_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,1.0,2.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c5_a1_b3_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,1.0,3.0,0.0,0.2,5,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b1_m0_t0.2,50,0.92,0.84,6.04,6.44,gate,0.25,1.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b1.5_m0_t0.2,50,0.92,0.84,6.04,6.46,gate,0.25,1.5,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b2_m0_t0.2,50,0.92,0.84,6.04,6.46,gate,0.25,2.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.25_b3_m0_t0.2,50,0.92,0.84,6.04,6.46,gate,0.25,3.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b1_m0_t0.2,50,0.92,0.84,6.06,6.28,gate,0.5,1.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b1.5_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,0.5,1.5,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b2_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,0.5,2.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.5_b3_m0_t0.2,50,0.92,0.84,6.06,6.4,gate,0.5,3.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.75_b1.5_m0_t0.2,50,0.92,0.84,6.02,6.42,gate,0.75,1.5,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.75_b2_m0_t0.2,50,0.92,0.84,6.02,6.42,gate,0.75,2.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c10_a0.75_b3_m0_t0.2,50,0.92,0.84,6.02,6.42,gate,0.75,3.0,0.0,0.2,10,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b1_m0_t0.2,50,0.92,0.84,6.02,6.44,gate,0.25,1.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b1.5_m0_t0.2,50,0.92,0.84,6.02,6.66,gate,0.25,1.5,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b2_m0_t0.2,50,0.92,0.84,6.02,6.66,gate,0.25,2.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.25_b3_m0_t0.2,50,0.92,0.84,6.02,6.66,gate,0.25,3.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b1_m0_t0.2,50,0.92,0.84,6.04,6.34,gate,0.5,1.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b1.5_m0_t0.2,50,0.92,0.84,6.04,6.6,gate,0.5,1.5,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b2_m0_t0.2,50,0.92,0.84,6.04,6.6,gate,0.5,2.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,gate_score_c20_a0.5_b3_m0_t0.2,50,0.92,0.84,6.04,6.6,gate,0.5,3.0,0.0,0.2,20,0.08000000000000007,0.5
bm25,hinge_score_c5_a0.5_b0.25_m0_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.25,0.0,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.25_m0.05_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.25,0.05,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.25_m0.1_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.25,0.1,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.25_m0.2_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.25,0.2,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.25_m0.3_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.25,0.3,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.5_m0_t0,50,0.92,0.86,6.06,6.34,hinge,0.5,0.5,0.0,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.5_m0.05_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.5,0.05,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.5_m0.1_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.5,0.1,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.5_m0.2_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.5,0.2,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.5_m0.3_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.5,0.3,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.75_m0_t0,50,0.92,0.86,6.04,6.36,hinge,0.5,0.75,0.0,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.75_m0.05_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.75,0.05,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.75_m0.1_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.75,0.1,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.75_m0.2_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.75,0.2,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b0.75_m0.3_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,0.75,0.3,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1_m0_t0,50,0.92,0.86,6.04,6.36,hinge,0.5,1.0,0.0,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1_m0.05_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,1.0,0.05,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1_m0.1_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,1.0,0.1,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1_m0.2_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,1.0,0.2,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1_m0.3_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,1.0,0.3,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1.5_m0_t0,50,0.92,0.86,6.04,6.36,hinge,0.5,1.5,0.0,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1.5_m0.05_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,1.5,0.05,0.0,5,0.06000000000000005,0.49000000000000005
bm25,hinge_score_c5_a0.5_b1.5_m0.1_t0,50,0.92,0.86,6.08,6.32,hinge,0.5,1.5,0.1,0.0,5,0.06000000000000005,0.49000000000000005
