retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,variant,alpha,beta,margin,threshold,candidate_top_n,recall_minus_violation,balanced_score
dense,gate_score_call_a0.25_b0.5_m0_t0,50,0.82,0.68,4.9,5.18,gate,0.25,0.5,0.0,0.0,all,0.1399999999999999,0.4799999999999999
dense,gate_score_call_a0.75_b0.75_m0_t0,50,0.8,0.68,5.12,5.54,gate,0.75,0.75,0.0,0.0,all,0.12,0.46
dense,gate_score_call_a1.5_b1_m0_t0,50,0.82,0.7,5.0,5.38,gate,1.5,1.0,0.0,0.0,all,0.12,0.47
dense,gate_score_c20_a0.5_b1_m0_t0,50,0.82,0.72,4.02,4.66,gate,0.5,1.0,0.0,0.0,20,0.09999999999999998,0.45999999999999996
dense,gate_score_c20_a2_b2_m0_t0,50,0.82,0.72,4.14,4.78,gate,2.0,2.0,0.0,0.0,20,0.09999999999999998,0.45999999999999996
dense,gate_score_call_a1_b0.75_m0_t0,50,0.82,0.72,4.68,5.08,gate,1.0,0.75,0.0,0.0,all,0.09999999999999998,0.45999999999999996
bm25,gate_score_call_a1_b1_m0_t0,50,0.8,0.72,5.92,8.02,gate,1.0,1.0,0.0,0.0,all,0.08000000000000007,0.44000000000000006
dense,gate_score_c20_a1.5_b1.5_m0_t0,50,0.84,0.74,3.94,4.6,gate,1.5,1.5,0.0,0.0,20,0.09999999999999998,0.47
bm25,linear_score_c10_a0_b0.75_m0_t0,50,0.8,0.74,6.78,7.2,linear,0.0,0.75,0.0,0.0,10,0.06000000000000005,0.43000000000000005
dense,gate_score_c20_a0.75_b1_m0_t0,50,0.84,0.76,3.92,4.4,gate,0.75,1.0,0.0,0.0,20,0.07999999999999996,0.45999999999999996
bm25,gate_score_c20_a1.5_b1.5_m0_t0,50,0.82,0.76,6.8,7.08,gate,1.5,1.5,0.0,0.0,20,0.05999999999999994,0.43999999999999995
bm25,linear_score_c10_a1_b1.5_m0_t0,50,0.8,0.76,6.7,7.14,linear,1.0,1.5,0.0,0.0,10,0.040000000000000036,0.42000000000000004
bm25,gate_score_call_a2_b1.5_m0_t0,50,0.8,0.76,4.46,6.24,gate,2.0,1.5,0.0,0.0,all,0.040000000000000036,0.42000000000000004
dense,gate_score_c10_a0.25_b1_m0_t0,50,0.8,0.76,4.14,4.36,gate,0.25,1.0,0.0,0.0,10,0.040000000000000036,0.42000000000000004
dense,gate_score_c10_a2_b2_m0_t0,50,0.86,0.78,3.98,4.42,gate,2.0,2.0,0.0,0.0,10,0.07999999999999996,0.47
bm25,linear_score_c10_a0.5_b1_m0_t0,50,0.84,0.78,6.68,6.88,linear,0.5,1.0,0.0,0.0,10,0.05999999999999994,0.44999999999999996
bm25,linear_score_c20_a0_b0.5_m0_t0,50,0.84,0.78,7.24,7.42,linear,0.0,0.5,0.0,0.0,20,0.05999999999999994,0.44999999999999996
bm25,gate_score_call_a0.25_b0.5_m0_t0,50,0.84,0.78,7.12,9.14,gate,0.25,0.5,0.0,0.0,all,0.05999999999999994,0.44999999999999996
bm25,gate_score_call_a0.75_b0.75_m0_t0,50,0.84,0.78,5.52,7.42,gate,0.75,0.75,0.0,0.0,all,0.05999999999999994,0.44999999999999996
dense,gate_score_c10_a1_b1.5_m0_t0,50,0.84,0.78,4.04,4.42,gate,1.0,1.5,0.0,0.0,10,0.05999999999999994,0.44999999999999996
bm25,linear_score_c20_a0.25_b0.75_m0_t0,50,0.82,0.78,7.42,7.54,linear,0.25,0.75,0.0,0.0,20,0.039999999999999925,0.42999999999999994
bm25,linear_score_call_a0.25_b0.5_m0_t0,50,0.82,0.78,7.24,8.48,linear,0.25,0.5,0.0,0.0,all,0.039999999999999925,0.42999999999999994
bm25,linear_score_c5_a0.75_b1.5_m0_t0,50,0.8,0.78,6.4,6.66,linear,0.75,1.5,0.0,0.0,5,0.020000000000000018,0.41000000000000003
bm25,gate_score_call_a2_b1_m0_t0,50,0.88,0.8,2.84,3.64,gate,2.0,1.0,0.0,0.0,all,0.07999999999999996,0.48
bm25,gate_score_c10_a0.25_b1.5_m0_t0.05,50,0.86,0.8,6.52,6.86,gate,0.25,1.5,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.25_b2_m0_t0.05,50,0.86,0.8,6.52,6.94,gate,0.25,2.0,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.25_b3_m0_t0.05,50,0.86,0.8,6.52,6.94,gate,0.25,3.0,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.5_b1_m0_t0,50,0.86,0.8,6.42,6.94,gate,0.5,1.0,0.0,0.0,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.5_b1.5_m0_t0.05,50,0.86,0.8,6.52,6.76,gate,0.5,1.5,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.5_b2_m0_t0.05,50,0.86,0.8,6.52,6.9,gate,0.5,2.0,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.5_b3_m0_t0.05,50,0.86,0.8,6.52,6.92,gate,0.5,3.0,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.75_b2_m0_t0.05,50,0.86,0.8,6.5,6.86,gate,0.75,2.0,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_c10_a0.75_b3_m0_t0.05,50,0.86,0.8,6.5,6.94,gate,0.75,3.0,0.0,0.05,10,0.05999999999999994,0.45999999999999996
bm25,gate_score_call_a1.5_b1_m0_t0,50,0.86,0.8,3.66,5.0,gate,1.5,1.0,0.0,0.0,all,0.05999999999999994,0.45999999999999996
bm25,linear_score_c5_a0_b0.75_m0_t0,50,0.84,0.8,6.32,6.6,linear,0.0,0.75,0.0,0.0,5,0.039999999999999925,0.43999999999999995
bm25,linear_score_c5_a0.25_b1_m0_t0,50,0.84,0.8,6.34,6.6,linear,0.25,1.0,0.0,0.0,5,0.039999999999999925,0.43999999999999995
bm25,linear_score_c10_a0_b0.5_m0_t0,50,0.84,0.8,6.64,6.84,linear,0.0,0.5,0.0,0.0,10,0.039999999999999925,0.43999999999999995
bm25,linear_score_c10_a0.25_b0.75_m0_t0,50,0.84,0.8,6.68,6.82,linear,0.25,0.75,0.0,0.0,10,0.039999999999999925,0.43999999999999995
bm25,linear_score_c20_a0_b0.25_m0_t0,50,0.84,0.8,6.58,6.78,linear,0.0,0.25,0.0,0.0,20,0.039999999999999925,0.43999999999999995
bm25,linear_score_c20_a0.25_b0.5_m0_t0,50,0.84,0.8,6.7,6.78,linear,0.25,0.5,0.0,0.0,20,0.039999999999999925,0.43999999999999995
bm25,linear_score_call_a0_b0.25_m0_t0,50,0.84,0.8,6.88,7.6,linear,0.0,0.25,0.0,0.0,all,0.039999999999999925,0.43999999999999995
bm25,gate_score_c10_a2_b2_m0_t0,50,0.84,0.8,6.34,6.86,gate,2.0,2.0,0.0,0.0,10,0.039999999999999925,0.43999999999999995
bm25,gate_score_c20_a0_b0.5_m0_t0,50,0.84,0.8,6.94,7.4,gate,0.0,0.5,0.0,0.0,20,0.039999999999999925,0.43999999999999995
bm25,gate_score_c20_a0.75_b1_m0_t0,50,0.84,0.8,6.9,7.3,gate,0.75,1.0,0.0,0.0,20,0.039999999999999925,0.43999999999999995
dense,gate_score_c20_a2_b1.5_m0_t0,50,0.84,0.8,3.84,4.42,gate,2.0,1.5,0.0,0.0,20,0.039999999999999925,0.43999999999999995
bm25,linear_score_c20_a0.5_b0.75_m0_t0,50,0.82,0.8,6.84,6.94,linear,0.5,0.75,0.0,0.0,20,0.019999999999999907,0.41999999999999993
bm25,linear_score_c20_a0.75_b1_m0_t0,50,0.82,0.8,7.06,7.14,linear,0.75,1.0,0.0,0.0,20,0.019999999999999907,0.41999999999999993
bm25,linear_score_call_a0.75_b0.75_m0_t0,50,0.82,0.8,5.42,6.68,linear,0.75,0.75,0.0,0.0,all,0.019999999999999907,0.41999999999999993
bm25,gate_score_c10_a0_b1_m0_t0.05,50,0.82,0.8,6.5,6.82,gate,0.0,1.0,0.0,0.05,10,0.019999999999999907,0.41999999999999993
bm25,gate_score_c10_a0_b1.5_m0_t0.05,50,0.82,0.8,6.6,6.98,gate,0.0,1.5,0.0,0.05,10,0.019999999999999907,0.41999999999999993
