dataset	split	embedding_model	condition_label	condition	candidate_top_n	beta	samples	recall@3	recall@5	recall@7	recall@9	violation@3	violation@5	violation@7	violation@9	avg_recall	avg_violation	avg_recall_delta	avg_violation_delta	strict_recall_kept_all_k	avg_recall_kept	violation_lower_all_k	avg_violation_lower	mean_answer_rank	mean_trap_rank	recall_delta@3	violation_delta@3	recall_delta@5	violation_delta@5	recall_delta@7	violation_delta@7	recall_delta@9	violation_delta@9
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.0	3452	0.9165701042873696	0.9377172653534184	0.9446697566628042	0.947276940903824	0.8250289687137891	0.8789107763615296	0.899188876013905	0.9119351100811124	0.936558516801854	0.878765932792584	0.0	0.0	True	True	False	False	53.07821552723059	141.79374275782155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.01	3452	0.9168597914252608	0.9382966396292004	0.944380069524913	0.9469872537659328	0.8157589803012746	0.8736964078794901	0.895712630359212	0.906720741599073	0.9366309385863268	0.8729721900347625	7.242178447275371e-05	-0.0057937427578215	False	True	True	True	52.931344148319816	143.35544611819236	0.0002896871378911	-0.0092699884125144	0.0005793742757822	-0.0052143684820394	-0.0002896871378911	-0.0034762456546929	-0.000289687137891	-0.0052143684820393
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.02	3452	0.9174391657010428	0.9385863267670916	0.944380069524913	0.9466975666280416	0.8082271147161066	0.8626882966396292	0.8907879490150638	0.9015063731170336	0.9367757821552724	0.8658024333719583	0.0002172653534183	-0.0129634994206256	False	True	True	True	52.816338354577056	145.17439165701043	0.0008690614136732	-0.0168018539976824	0.0008690614136732	-0.0162224797219003	-0.0002896871378911	-0.0084009269988412	-0.0005793742757821	-0.0104287369640787
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.03	3452	0.9185979142526072	0.9382966396292004	0.944380069524913	0.9469872537659328	0.7960602549246814	0.8557358053302433	0.8847045191193511	0.8968713789107764	0.9370654692931634	0.8583429895712631	0.0005069524913093	-0.0204229432213208	False	True	True	True	52.70712630359212	147.19177288528388	0.0020278099652375	-0.0289687137891077	0.0005793742757822	-0.0231749710312862	-0.0002896871378911	-0.0144843568945538	-0.000289687137891	-0.0150637311703359
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.04	3452	0.9185979142526072	0.9380069524913094	0.944380069524913	0.947566628041715	0.787369640787949	0.8487833140208575	0.8783314020857474	0.8922363847045192	0.9371378910776362	0.8516801853997682	0.0005793742757822	-0.0270857473928157	False	True	True	True	52.57618771726536	149.43655851680185	0.0020278099652375	-0.03765932792584	0.0002896871378911	-0.030127462340672	-0.0002896871378911	-0.0208574739281575	0.0002896871378911	-0.0196987253765932
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.05	3452	0.9188876013904984	0.9377172653534184	0.9446697566628042	0.9481460023174972	0.7801274623406721	0.8406720741599073	0.8728273464658169	0.8870220162224797	0.9373551564310544	0.845162224797219	0.0007966396292005	-0.0336037079953649	True	True	True	True	52.49623406720742	152.00811123986094	0.0023174971031286	-0.0449015063731169	0.0	-0.0382387022016222	0.0	-0.026361529548088	0.0008690614136732	-0.0249130938586327
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.06	3452	0.9185979142526072	0.937137891077636	0.944380069524913	0.947856315179606	0.7711471610660486	0.8340092699884125	0.8647161066048668	0.8820973348783314	0.9369930475086904	0.8379924681344149	0.0004345307068365	-0.0407734646581691	False	True	True	True	52.39687137891077	154.8519698725377	0.0020278099652375	-0.0538818076477404	-0.0005793742757821	-0.044901506373117	-0.0002896871378911	-0.0344727694090382	0.0005793742757821	-0.0298377752027809
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.07	3452	0.9188876013904984	0.937137891077636	0.9446697566628042	0.9481460023174972	0.757531865585168	0.8256083429895713	0.8554461181923523	0.8734067207415991	0.937210312862109	0.8279982618771726	0.000651796060255	-0.0507676709154113	False	True	True	True	52.31344148319815	158.07502896871378	0.0023174971031286	-0.067497103128621	-0.0005793742757821	-0.0533024333719582	0.0	-0.0437427578215526	0.0008690614136732	-0.0385283893395133
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.08	3452	0.9194669756662804	0.9374275782155272	0.9449594438006952	0.948435689455388	0.7473928157589803	0.8148899188876014	0.8476245654692932	0.8664542294322132	0.9375724217844728	0.819090382387022	0.0010139049826187	-0.0596755504055619	False	True	True	True	52.245365005793744	161.70220162224797	0.0028968713789108	-0.0776361529548087	-0.000289687137891	-0.0640208574739281	0.0002896871378911	-0.0515643105446117	0.0011587485515642	-0.0454808806488992
ExcluIR	full	text-embedding-3-small	baseline-q_trap	baseline - beta*q_trap	all	0.09	3452	0.9206257242178448	0.9377172653534184	0.9446697566628042	0.9487253765932792	0.7346465816917729	0.805619930475087	0.839513325608343	0.858342989571263	0.9379345307068366	0.8095307068366165	0.0013760139049826	-0.0692352259559674	True	True	True	True	52.17699884125145	165.7563731170336	0.004055619930475	-0.0903823870220161	0.0	-0.0732908458864426	0.0	-0.0596755504055619	0.0014484356894554	-0.0535921205098494
