embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
text-embedding-3-small,baseline - beta*q_trap,all,0.00,3452,53.07821552723059,141.79374275782155,0.9165701042873696,0.8250289687137891,0.0,0.0,0.9377172653534183,0.8789107763615296,0.0,0.0,0.9446697566628042,0.899188876013905,0.0,0.0,0.9472769409038239,0.9119351100811124,0.0,0.0,0.936558516801854,0.878765932792584,0.0,0.0,True,True,False,False
text-embedding-3-small,baseline - beta*q_trap,all,0.01,3452,52.931344148319816,143.35544611819236,0.9168597914252608,0.8157589803012746,0.0002896871378911259,-0.009269988412514474,0.9382966396292005,0.8736964078794901,0.0005793742757822518,-0.005214368482039489,0.944380069524913,0.895712630359212,-0.0002896871378911259,-0.0034762456546929554,0.9469872537659328,0.906720741599073,-0.00028968713789101486,-0.005214368482039378,0.9366309385863267,0.8729721900347625,7.242178447275371e-05,-0.005793742757821518,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.02,3452,52.816338354577056,145.17439165701043,0.9174391657010429,0.8082271147161066,0.0008690614136732666,-0.016801853997682414,0.9385863267670915,0.8626882966396292,0.0008690614136732666,-0.016222479721900385,0.944380069524913,0.8907879490150638,-0.0002896871378911259,-0.008400926998841207,0.9466975666280417,0.9015063731170336,-0.0005793742757821407,-0.010428736964078755,0.9367757821552724,0.8658024333719583,0.00021726535341837216,-0.01296349942062569,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.03,3452,52.70712630359212,147.19177288528388,0.9185979142526072,0.7960602549246814,0.002027809965237548,-0.028968713789107703,0.9382966396292005,0.8557358053302433,0.0005793742757822518,-0.023174971031286296,0.944380069524913,0.8847045191193511,-0.0002896871378911259,-0.014484356894553851,0.9469872537659328,0.8968713789107764,-0.00028968713789101486,-0.015063731170335992,0.9370654692931634,0.8583429895712631,0.000506952491309387,-0.020422943221320877,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.04,3452,52.576187717265356,149.43655851680185,0.9185979142526072,0.787369640787949,0.002027809965237548,-0.037659327925840036,0.9380069524913094,0.8487833140208575,0.0002896871378911259,-0.030127462340672095,0.944380069524913,0.8783314020857474,-0.0002896871378911259,-0.02085747392815751,0.947566628041715,0.8922363847045192,0.0002896871378911259,-0.01969872537659323,0.9371378910776362,0.8516801853997682,0.0005793742757822518,-0.027085747392815773,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.05,3452,52.49623406720742,152.00811123986094,0.9188876013904983,0.7801274623406721,0.002317497103128674,-0.04490150637311696,0.9377172653534183,0.8406720741599073,0.0,-0.03823870220162229,0.9446697566628042,0.8728273464658169,0.0,-0.026361529548088014,0.9481460023174971,0.8870220162224797,0.0008690614136732666,-0.024913093858632718,0.9373551564310545,0.845162224797219,0.0007966396292005129,-0.03360370799536494,True,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.06,3452,52.396871378910774,154.85196987253767,0.9185979142526072,0.7711471610660486,0.002027809965237548,-0.05388180764774042,0.9371378910776361,0.8340092699884125,-0.0005793742757821407,-0.04490150637311707,0.944380069524913,0.8647161066048668,-0.0002896871378911259,-0.034472769409038206,0.947856315179606,0.8820973348783314,0.0005793742757821407,-0.02983777520278097,0.9369930475086905,0.8379924681344149,0.0004345307068365223,-0.04077346465816911,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.07,3452,52.31344148319815,158.07502896871378,0.9188876013904983,0.757531865585168,0.002317497103128674,-0.067497103128621,0.9371378910776361,0.8256083429895713,-0.0005793742757821407,-0.05330243337195828,0.9446697566628042,0.8554461181923523,0.0,-0.04374275782155268,0.9481460023174971,0.8734067207415991,0.0008690614136732666,-0.0385283893395133,0.937210312862109,0.8279982618771726,0.0006517960602550055,-0.050767670915411345,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.08,3452,52.245365005793744,161.70220162224797,0.9194669756662804,0.7473928157589803,0.0028968713789108147,-0.07763615295480875,0.9374275782155272,0.8148899188876014,-0.00028968713789101486,-0.06402085747392816,0.9449594438006953,0.8476245654692932,0.0002896871378911259,-0.05156431054461175,0.9484356894553881,0.8664542294322132,0.0011587485515642815,-0.04548088064889921,0.9375724217844728,0.819090382387022,0.001013904982618774,-0.05967555040556194,False,True,True,True
text-embedding-3-small,baseline - beta*q_trap,all,0.09,3452,52.17699884125145,165.7563731170336,0.9206257242178447,0.7346465816917729,0.004055619930475096,-0.09038238702201618,0.9377172653534183,0.805619930475087,0.0,-0.07329084588644263,0.9446697566628042,0.839513325608343,0.0,-0.05967555040556194,0.9487253765932793,0.858342989571263,0.0014484356894554073,-0.053592120509849406,0.9379345307068366,0.8095307068366165,0.0013760139049826536,-0.06923522595596743,True,True,True,True
