embedding_model,condition,candidate_top_n,beta,samples,mean_answer_rank,mean_trap_rank,recall@3,violation@3,recall_delta@3,violation_delta@3,recall@5,violation@5,recall_delta@5,violation_delta@5,recall@7,violation@7,recall_delta@7,violation_delta@7,recall@9,violation@9,recall_delta@9,violation_delta@9,avg_recall,avg_violation,avg_recall_delta,avg_violation_delta,strict_recall_kept_all_k,avg_recall_kept,violation_lower_all_k,avg_violation_lower
text-embedding-3-small,target - beta*q_trap,all,0.00,3452,159.73928157589802,3287.949304750869,0.9148319814600232,0.2421784472769409,-0.0017381228273464222,-0.5828505214368481,0.9267091541135574,0.30127462340672073,-0.011008111239860896,-0.5776361529548089,0.9339513325608343,0.3340092699884125,-0.010718424101969881,-0.5651796060254924,0.9368482039397451,0.35979142526071844,-0.010428736964078755,-0.552143684820394,0.92808516801854,0.30931344148319817,-0.008473348783313961,-0.5694524913093858,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.01,3452,167.58603707995366,3541.1442641946696,0.9148319814600232,0.23783314020857474,-0.0017381228273464222,-0.5871958285052143,0.9264194669756662,0.29374275782155274,-0.011297798377752022,-0.5851680185399768,0.9333719582850522,0.3258980301274623,-0.011297798377752022,-0.5732908458864426,0.9368482039397451,0.35168018539976825,-0.010428736964078755,-0.5602549246813442,0.9278679026651216,0.3022885283893395,-0.008690614136732333,-0.5764774044032445,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.02,3452,175.8467555040556,3810.4110660486676,0.9151216685979142,0.22769409038238703,-0.0014484356894554073,-0.5973348783314021,0.9261297798377752,0.2876593279258401,-0.011587485515643037,-0.5912514484356894,0.933082271147161,0.3183661645422943,-0.011587485515643148,-0.5808227114716107,0.936558516801854,0.34269988412514485,-0.010718424101969881,-0.5692352259559675,0.9277230590961761,0.29410486674391656,-0.00883545770567784,-0.5846610660486674,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.03,3452,184.470741599073,4097.494206257242,0.9145422943221321,0.2230590961761298,-0.002027809965237548,-0.6019698725376592,0.9258400926998841,0.27752027809965235,-0.011877172653534163,-0.6013904982618772,0.9333719582850522,0.3105446118192352,-0.011297798377752022,-0.5886442641946698,0.936558516801854,0.3366164542294322,-0.010718424101969881,-0.5753186558516802,0.9275782155272306,0.2869351100811124,-0.008980301274623348,-0.5918308227114716,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.04,3452,193.47508690614137,4402.646581691773,0.9145422943221321,0.216396292004635,-0.002027809965237548,-0.6086326767091541,0.9258400926998841,0.2711471610660487,-0.011877172653534163,-0.6077636152954808,0.93279258400927,0.3004055619930475,-0.011877172653534163,-0.5987833140208574,0.936268829663963,0.32444959443800697,-0.011008111239860896,-0.5874855156431054,0.9273609501738123,0.27809965237543455,-0.00919756662804172,-0.6006662804171494,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.05,3452,202.79924681344147,4726.878331402086,0.9136732329084588,0.21176129779837774,-0.0028968713789108147,-0.6132676709154113,0.9258400926998841,0.261297798377752,-0.011877172653534163,-0.6176129779837776,0.9325028968713789,0.28968713789107764,-0.012166859791425289,-0.6095017381228274,0.9368482039397451,0.31662804171494785,-0.010428736964078755,-0.5953070683661645,0.9272161066048666,0.2698435689455388,-0.009342410196987339,-0.6089223638470451,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.06,3452,212.59530706836617,5070.535921205099,0.9128041714947857,0.20683661645422943,-0.0037659327925839703,-0.6181923522595596,0.9258400926998841,0.253765932792584,-0.011877172653534163,-0.6251448435689455,0.9319235225955967,0.2809965237543453,-0.01274623406720743,-0.6181923522595596,0.936268829663963,0.3047508690614137,-0.011008111239860896,-0.6071842410196987,0.9267091541135574,0.26158748551564315,-0.009849362688296615,-0.6171784472769408,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.07,3452,222.72161066048668,5435.021436848204,0.9130938586326767,0.19988412514484358,-0.0034762456546929554,-0.6251448435689455,0.9246813441483198,0.24565469293163383,-0.013035921205098444,-0.6332560834298957,0.9307647740440325,0.27143684820393976,-0.01390498261877171,-0.6277520278099652,0.9356894553881807,0.29287369640787947,-0.011587485515643148,-0.6190614136732329,0.9260573580533025,0.2524623406720742,-0.010501158748551509,-0.6263035921205098,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.08,3452,233.05909617612977,5820.115585168019,0.9128041714947857,0.19495944380069524,-0.0037659327925839703,-0.6300695249130939,0.9249710312862109,0.24044032444959443,-0.012746234067207318,-0.6384704519119352,0.9304750869061413,0.2639049826187717,-0.014194669756662837,-0.6352838933951332,0.9359791425260718,0.2859212050984936,-0.011297798377752022,-0.6260139049826188,0.9260573580533025,0.24630648899188876,-0.010501158748551509,-0.6324594438006952,False,False,True,True
text-embedding-3-small,target - beta*q_trap,all,0.09,3452,243.79171494785632,6227.76245654693,0.9122247972190035,0.1880069524913094,-0.004345307068366111,-0.6370220162224797,0.9246813441483198,0.23232908458864426,-0.013035921205098444,-0.6465816917728853,0.9307647740440325,0.2566628041714948,-0.01390498261877171,-0.6425260718424102,0.9353997682502897,0.2778099652375435,-0.011877172653534163,-0.634125144843569,0.9257676709154115,0.23870220162224798,-0.010790845886442524,-0.640063731170336,False,False,True,True
