retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n
bm25,baseline,50,0.88,0.86,6.12,6.36,,,
bm25,score_anti_rrf_c5_a0_b0.1,50,0.92,0.88,6.0,6.22,0.0,0.1,5
bm25,score_anti_rrf_c5_a0_b0.2,50,0.92,0.88,5.98,6.24,0.0,0.2,5
bm25,score_anti_rrf_c5_a0_b0.3,50,0.92,0.88,5.98,6.24,0.0,0.3,5
bm25,score_anti_rrf_c5_a0_b0.5,50,0.92,0.88,6.1,6.22,0.0,0.5,5
bm25,score_anti_rrf_c5_a0_b0.75,50,0.88,0.88,6.14,6.4,0.0,0.75,5
bm25,score_anti_rrf_c5_a0_b1,50,0.68,0.56,6.92,7.56,0.0,1.0,5
bm25,score_anti_rrf_c5_a0.25_b0.1,50,0.92,0.88,5.98,6.28,0.25,0.1,5
bm25,score_anti_rrf_c5_a0.25_b0.2,50,0.92,0.88,6.04,6.26,0.25,0.2,5
bm25,score_anti_rrf_c5_a0.25_b0.3,50,0.92,0.88,6.02,6.28,0.25,0.3,5
bm25,score_anti_rrf_c5_a0.25_b0.5,50,0.92,0.88,6.06,6.26,0.25,0.5,5
bm25,score_anti_rrf_c5_a0.25_b0.75,50,0.9,0.88,6.1,6.28,0.25,0.75,5
bm25,score_anti_rrf_c5_a0.25_b1,50,0.82,0.86,6.22,6.48,0.25,1.0,5
bm25,score_anti_rrf_c5_a0.5_b0.1,50,0.92,0.88,6.04,6.26,0.5,0.1,5
bm25,score_anti_rrf_c5_a0.5_b0.2,50,0.92,0.88,6.08,6.24,0.5,0.2,5
bm25,score_anti_rrf_c5_a0.5_b0.3,50,0.9,0.88,6.1,6.28,0.5,0.3,5
bm25,score_anti_rrf_c5_a0.5_b0.5,50,0.9,0.88,6.12,6.28,0.5,0.5,5
bm25,score_anti_rrf_c5_a0.5_b0.75,50,0.9,0.88,6.12,6.3,0.5,0.75,5
bm25,score_anti_rrf_c5_a0.5_b1,50,0.84,0.88,6.24,6.36,0.5,1.0,5
bm25,score_anti_rrf_c5_a0.75_b0.1,50,0.92,0.86,6.1,6.3,0.75,0.1,5
bm25,score_anti_rrf_c5_a0.75_b0.2,50,0.9,0.88,6.12,6.28,0.75,0.2,5
bm25,score_anti_rrf_c5_a0.75_b0.3,50,0.9,0.88,6.12,6.28,0.75,0.3,5
bm25,score_anti_rrf_c5_a0.75_b0.5,50,0.9,0.88,6.12,6.28,0.75,0.5,5
bm25,score_anti_rrf_c5_a0.75_b0.75,50,0.88,0.88,6.1,6.32,0.75,0.75,5
bm25,score_anti_rrf_c5_a0.75_b1,50,0.84,0.88,6.2,6.36,0.75,1.0,5
bm25,score_anti_rrf_c5_a1_b0.1,50,0.92,0.86,6.08,6.32,1.0,0.1,5
bm25,score_anti_rrf_c5_a1_b0.2,50,0.92,0.86,6.08,6.32,1.0,0.2,5
bm25,score_anti_rrf_c5_a1_b0.3,50,0.9,0.88,6.1,6.3,1.0,0.3,5
bm25,score_anti_rrf_c5_a1_b0.5,50,0.9,0.88,6.08,6.32,1.0,0.5,5
bm25,score_anti_rrf_c5_a1_b0.75,50,0.88,0.88,6.1,6.32,1.0,0.75,5
bm25,score_anti_rrf_c5_a1_b1,50,0.84,0.88,6.2,6.34,1.0,1.0,5
