retriever,method,samples,recall@3,violation_rate@3,mean_answer_rank,mean_trap_rank,alpha,beta,candidate_top_n,recall_minus_violation
dense,score_anti_rrf_c5_a0_b1,50,0.78,0.6,4.6,5.14,0.0,1.0,5,0.18000000000000005
dense,score_anti_rrf_c10_a0_b1,50,0.52,0.34,5.8,6.6,0.0,1.0,10,0.18
bm25,score_anti_rrf_c10_a0_b1,50,0.36,0.2,9.12,10.06,0.0,1.0,10,0.15999999999999998
bm25,score_anti_rrf_c20_a0_b1,50,0.24,0.1,14.08,15.96,0.0,1.0,20,0.13999999999999999
bm25,score_anti_rrf_c5_a0_b1,50,0.68,0.56,6.92,7.56,0.0,1.0,5,0.12
dense,score_anti_rrf_call_a0_b0.75,50,0.68,0.56,7.88,8.24,0.0,0.75,all,0.12
dense,score_anti_rrf_c20_a0_b1,50,0.32,0.2,8.68,9.68,0.0,1.0,20,0.12
bm25,score_anti_rrf_call_a0_b1,50,0.2,0.1,54.42,65.74,0.0,1.0,all,0.1
bm25,score_anti_rrf_call_a0.25_b1,50,0.42,0.34,15.86,19.4,0.25,1.0,all,0.07999999999999996
bm25,score_anti_rrf_c5_a0.75_b0.1,50,0.92,0.86,6.1,6.3,0.75,0.1,5,0.06000000000000005
bm25,score_anti_rrf_c5_a1_b0.1,50,0.92,0.86,6.08,6.32,1.0,0.1,5,0.06000000000000005
bm25,score_anti_rrf_c5_a1_b0.2,50,0.92,0.86,6.08,6.32,1.0,0.2,5,0.06000000000000005
bm25,score_anti_rrf_c5_a1.5_b0.1,50,0.92,0.86,6.08,6.32,1.5,0.1,5,0.06000000000000005
bm25,score_anti_rrf_c5_a1.5_b0.2,50,0.92,0.86,6.08,6.32,1.5,0.2,5,0.06000000000000005
bm25,score_anti_rrf_c5_a2_b0.1,50,0.92,0.86,6.08,6.32,2.0,0.1,5,0.06000000000000005
bm25,score_anti_rrf_c5_a2_b0.2,50,0.92,0.86,6.06,6.34,2.0,0.2,5,0.06000000000000005
bm25,score_anti_rrf_c10_a1_b0.1,50,0.92,0.86,6.0,6.24,1.0,0.1,10,0.06000000000000005
bm25,score_anti_rrf_c10_a1.5_b0.1,50,0.92,0.86,6.04,6.24,1.5,0.1,10,0.06000000000000005
bm25,score_anti_rrf_c10_a2_b0.1,50,0.92,0.86,6.06,6.24,2.0,0.1,10,0.06000000000000005
bm25,score_anti_rrf_c10_a2_b0.2,50,0.92,0.86,6.06,6.26,2.0,0.2,10,0.06000000000000005
bm25,score_anti_rrf_c20_a1.5_b0.1,50,0.92,0.86,6.02,6.26,1.5,0.1,20,0.06000000000000005
bm25,score_anti_rrf_c20_a2_b0.1,50,0.92,0.86,6.04,6.24,2.0,0.1,20,0.06000000000000005
bm25,score_anti_rrf_call_a0.25_b0.3,50,0.92,0.86,2.4,2.14,0.25,0.3,all,0.06000000000000005
dense,score_anti_rrf_c10_a0.25_b0.3,50,0.92,0.86,3.92,4.12,0.25,0.3,10,0.06000000000000005
dense,score_anti_rrf_c20_a0.5_b0.5,50,0.92,0.86,3.88,4.1,0.5,0.5,20,0.06000000000000005
