model,condition,row_type,goal_achieved_strict_all_k,recall_kept_all_k,violation_lower_all_k,avg_violation_lower,method,candidate_top_n,alpha,gamma,beta,avg_recall_minus_violation,avg_violation,baseline_avg_violation,recall@3,recall@5,recall@7,recall@9,baseline_recall@3,baseline_recall@5,baseline_recall@7,baseline_recall@9,recall_kept@3,recall_kept@5,recall_kept@7,recall_kept@9,violation_rate@3,violation_rate@5,violation_rate@7,violation_rate@9,baseline_violation_rate@3,baseline_violation_rate@5,baseline_violation_rate@7,baseline_violation_rate@9,violation_lower@3,violation_lower@5,violation_lower@7,violation_lower@9,source_csv
text-embedding-3-small,baseline - q_trap,baseline,,,,,baseline,,,,,0.06374999999999997,0.882250,0.882250,0.931,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,,,,,0.835,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,,,,,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.1,5,0.0,,0.1,0.06574999999999995,0.696250,0.882250,0.195,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.091,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.2,5,0.0,,0.2,0.06574999999999995,0.696250,0.882250,0.195,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.091,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.3,5,0.0,,0.3,0.06574999999999995,0.696250,0.882250,0.195,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.091,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.5,5,0.0,,0.5,0.06574999999999995,0.696250,0.882250,0.195,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.091,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0_b0.75,5,0.0,,0.75,0.06574999999999995,0.696250,0.882250,0.195,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.091,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0_b1,5,0.0,,1.0,0.06574999999999995,0.696250,0.882250,0.195,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.091,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.1,5,0.25,,0.1,0.08699999999999997,0.856750,0.882250,0.922,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.733,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.2,5,0.25,,0.2,0.12674999999999995,0.810500,0.882250,0.896,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.548,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
text-embedding-3-small,baseline - q_trap,config,False,False,False,True,score_anti_rrf_no_target_c5_a0.25_b0.3,5,0.25,,0.3,0.11974999999999995,0.724250,0.882250,0.523,0.946,0.953,0.954,0.931000,0.946000,0.953000,0.954000,False,True,True,True,0.203,0.883,0.9,0.911,0.835000,0.883000,0.900000,0.911000,True,False,False,False,/Users/canho/Desktop/codes/ai/FLIP/results/excluir_1000_text_embedding_3_small_rewriter_gpt4o_mini_v2_recall_preserving_no_target_top3579/score_anti_rrf_results.csv
